Age of Case in Months,2005 Number of Cases,2005 Percent of Docket,2006 Number of Cases,2006 Percent of Docket,2007 Number of Cases,2007 Percent of Docket,2008 Number of Cases,2008 Percent of Docket,2009 Number of Cases,2009 Percent of Docket
3 or younger,11,4.2%,16,6.1%,2,0.9%,0,0%,0,0%
4 months,12,4.6%,21,8%,10,4.6%,3,1.9%,1,0.5%
5 months,21,8.1%,27,10.2%,30,13.9%,7,4.3%,2,1%
6 months,19,7.3%,21,8%,21,9.7%,9,5.6%,5,2.5%
7 months,23,8.8%,23,8.7%,16,7.4%,16,9.9%,10,5.1%
8 months,21,8.1%,23,8.7%,25,11.6%,10,6.2%,11,5.6%
9 months,17,6.5%,22,8.3%,17,7.9%,16,9.9%,9,4.6%
10 months,24,9.2%,19,7.2%,17,7.9%,7,4.3%,20,10.2%
11 months,12,4.6%,22,8.3%,9,4.2%,18,11.2%,21,10.7%
12 months,26,10%,19,7.2%,19,8.8%,18,11.2%,18,9.1%
13 months,17,6.5%,11,4.2%,13,6%,11,6.8%,22,11.2%
14 months,25,9.6%,17,6.4%,12,5.6%,13,8.1%,13,6.6%
15 or older,32,12.3%,23,8.7%,25,11.6%,33,20.5%,65,33%
Total Docket,260,100%,264,100%,216,100%,161,100%,197,100%
