Manhattan North,2005,2006,2007,2008,2009,Total
19th Precinct,1%,5%,1%,1%,4%,12%
20th Precinct,0%,3%,0%,0%,1%,4%
23rd Precinct,7%,4%,5%,2%,2%,20%
24th Precinct,0%,2%,5%,1%,2%,10%
25th Precinct,3%,3%,0%,1%,2%,9%
26th Precinct,1%,4%,3%,0%,0%,8%
Central Park,1%,2%,0%,1%,0%,4%
28th Precinct,3%,4%,6%,0%,1%,14%
30th Precinct,5%,1%,1%,2%,0%,9%
32nd Precinct,8%,3%,9%,6%,8%,34%
33rd Precinct,6%,3%,0%,1%,6%,16%
34th Precinct,3%,4%,5%,1%,4%,17%
Precincts Total,38%,38%,35%,16%,30%,157%
Task Force,0%,0%,4%,0%,2%,6%
Borough Headquarters,1%,0%,1%,1%,0%,3%
Anti-crime Unit,0%,1%,1%,0%,1%,3%
Impact Response Team,0%,0%,0%,0%,1%,1%
Patrol Borough Manhattan North Total,39%,39%,41%,17%,34%,170%
Percent of All Subject Officers Against Whom Allegations were Substantiated,13.2%,9.9%,7.4%,4.6%,9.8%,8.7%
