Fee Type Name,Certificate Name,Fee Application Name,Fee Amount
Certificate,1. Blasting contractor certificate,Original application,$105.00
Certificate,1. Blasting contractor certificate,Renewal application,$50.00
Certificate,2. Certificate of approval (per application),Original application,$625.00
Certificate,2. Certificate of approval (per application),Amended application,$625.00
Certificate,2. Certificate of approval (per application),Change of ownership,$625.00
Certificate,2. Certificate of approval (per application),"Change in manufacturing process, chemical composition or design",$625.00
Certificate,2. Certificate of approval (per application),Renewal application,$50.00
Certificate,2. Certificate of approval (per application),"Change of identification, including change in name of article, model number or name of manufacturer",$210.00
Certificate,3. Certificate of fitness,Original application (including written examination) (for 3 years),$25.00
Certificate,3. Certificate of fitness,Practical (on-site) examination for fire safety director,$445.00
Certificate,3. Certificate of fitness,Practical (on-site) examination for fire safety/EAP director,$305.00
Certificate,3. Certificate of fitness,Renewal application (without examination),$5.00
Certificate,4. Certificate of license for flammable and combustible liquid storage systems,Original application (including written examination),$145.00
Certificate,4. Certificate of license for flammable and combustible liquid storage systems,Renewal application (without examination),$15.00
Certificate,5. Certificate of license for motor fuel storage and dispensing systems,Original application (including written examination),$145.00
Certificate,5. Certificate of license for motor fuel storage and dispensing systems,Renewal application (without examination),$15.00
Certificate,6. Certificate of operation,Original application,"$3,500.00"
Certificate,6. Certificate of operation,Renewal application,"$2,500.00"
Certificate,7. Certificate of qualification for refrigerating system operating engineer,Original application (including written examination) (for 3 years),$60.00
Certificate,7. Certificate of qualification for refrigerating system operating engineer,Practical examination,$225.00
Certificate,7. Certificate of qualification for refrigerating system operating engineer,Renewal application (without examination),$5.00
Certificate,8. Commercial cooking exhaust system servicing company certificate,Original application,$105.00
Certificate,8. Commercial cooking exhaust system servicing company certificate,Renewal application,$50.00
Certificate,9. Fireworks contractor certificate,Original application,$110.00
Certificate,9. Fireworks contractor certificate,Renewal application,$110.00
Certificate,10. Fumigation and thermal insecticidal fogging operation company certificate,Original application,$105.00
Certificate,10. Fumigation and thermal insecticidal fogging operation company certificate,Renewal application,$50.00
Certificate,11. Portable fire extinguisher sales company certificate,Original application,$105.00
Certificate,11. Portable fire extinguisher sales company certificate,Renewal application,$50.00
Certificate,12. Portable fire extinguisher servicing company certificate,Original application,$100.00
Certificate,12. Portable fire extinguisher servicing company certificate,Renewal application,$50.00
Certificate,13. Pyrotechnic supplier certificate,Original application,$105.00
Certificate,13. Pyrotechnic supplier certificate,Renewal application,$50.00
Certificate,14. Registration of expeditors,Original application,$105.00
Certificate,14. Registration of expeditors,Renewal application,$50.00
Certificate,15. Smoke detector maintenance company certificate,Original application,$105.00
Certificate,15. Smoke detector maintenance company certificate,Renewal application,$50.00
Training Schools,1. Fire safety director training school,Original application,"$2,940.00"
Training Schools,1. Fire safety director training school,Renewal application,$420.00
Training Schools,2. Fire safety/EAP director training school,Original application,"$2,940.00"
Training Schools,2. Fire safety/EAP director training school,Renewal application,$420.00
Training Schools,3. Refrigeration and related technology training school,Original application,"$2,940.00"
Training Schools,3. Refrigeration and related technology training school,Renewal application,$420.00
Permits and Inspections,1. Aerosol products,"Store, handle or use up to and including 2,500 pounds",$105.00
Permits and Inspections,1. Aerosol products,"Store, handle or use more than 2,500 pounds",$210.00
Permits and Inspections,2. Assembly occupancies,Fire safety inspection/permit (frequency of inspection as required by code or rule) Occupancy 75 to 149,$415.00
Permits and Inspections,2. Assembly occupancies,Fire safety inspection/permit (frequency of inspection as required by code or rule) Occupancy 150 to 499,$520.00
Permits and Inspections,2. Assembly occupancies,Fire safety inspection/permit (frequency of inspection as required by code or rule) Occupancy 500 to 999,$625.00
Permits and Inspections,2. Assembly occupancies,"Fire safety inspection/permit (frequency of inspection as required by code or rule) Occupancy 1,000 to 2,499",$725.00
Permits and Inspections,2. Assembly occupancies,"Fire safety inspection/permit (frequency of inspection as required by code or rule) Occupancy 2,500 to 9,999",$830.00
Permits and Inspections,2. Assembly occupancies,"Fire safety inspection/permit (frequency of inspection as required by code or rule) Occupancy 10,000 or greater, and arenas and stadiums (per hour)",$210.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Maintain or operate an automotive liquid motor fuel-dispensing facility,$105.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Precision test of underground tank and piping (frequency of inspection as required by code or rule) (per hour),$210.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Leak detection functionality test (per hour) (frequency of test as required by code or rule),$210.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Tank test (per site) (frequency of test as required by code or rule),$355.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Tank reopening and repair (frequency of inspection as required by code or rule),$320.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,"Installation and alteration (frequency of inspection as required by code or rule) With discharge lines For tank with capacity of 4,000 gallons or less",$980.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Installation and alteration (frequency of inspection as required by code or rule) With discharge lines Each additional tank,$210.00
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,"Installation and alteration (frequency of inspection as required by code or rule) With discharge lines For tank with a capacity greater than 4,000 gallons","$1,210.00"
Permits and Inspections,3. Automotive liquid motor fuel-dispensing facilities,Installation and alteration (frequency of inspection as required by code or rule) With discharge lines Each additional tank,$420.00
