Other Bureaus,2005,2006,2007,2008,2009,Total
Internal Affairs Bureau,,,,,,
Internal Affairs,0%,0%,0%,0%,,0%
Criminal Justice Bureau,,,,,,
Court Division,0%,1%,1%,0%,,2%
Criminal Justice HQ,0%,0%,0%,0%,,0%
Support Services Bureau,,,,,,
Property Clerk,0%,0%,1%,0%,,1%
Fleet Services,0%,0%,0%,0%,,0%
Central Record Division,0%,0%,0%,0%,,0%
Personnel Bureau,,,,,,
Applicant Processing,0%,0%,0%,0%,,0%
Health Services,0%,0%,0%,0%,,0%
Personnel Bureau HQ,0%,0%,0%,0%,,0%
Other Bureaus Total,0%,1%,2%,0%,0%,3%
Percent of All Subject Officers Against Whom Allegations were Substantiated,0%,0.3%,0.4%,0%,0%,0.2%
