ZIP,Building type (service class), Consumption (mlbs) , Consumption (Mg) ,Utility/Data Source
"10001
(40.75025902143676, -73.99688630375988)",Commercial,13108,5946,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Commercial,177244,80397,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Large Residential,422902,191825,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Commercial,32974,14957,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Commercial,2962,1343,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Large Residential,154049,69876,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Commercial,104967,47612,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Commercial,10168,4612,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Commercial,186776,84720,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Large Residential,101042,45832,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Commercial,7757,3519,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Commercial,13951,6328,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Commercial,277308,125785,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Large Residential,58818,26679,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Commercial,21594,9795,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Commercial,5521,2504,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Commercial,28535,12943,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Large Residential,34476,15638,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Commercial,7007,3178,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Commercial,71987,32653,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Large Residential,16759,7602,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Commercial,9050,4105,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Commercial,176697,80148,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Large Residential,200407,90903,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Commercial,1326,602,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Large Residential,5547,2516,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Commercial,26038,11811,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Commercial,356037,161496,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Commercial,8039,3646,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Commercial,331014,150145,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Large Residential,98209,44547,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Commercial,3185,1445,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Commercial,93803,42549,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Large Residential,71882,32605,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Commercial,338,154,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Commercial,628,285,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Commercial,9855,4470,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Large Residential,2514,1140,ConEd
"10013
(40.721242188776046, -74.00888900022716)",Commercial,862,391,ConEd
