Position,Event Date,Check-in Time,Event Location
Account Receivable / Payable,"Mon, Mar 4th",8:30am - 9:00am,Queens
Gourmet retailer,,,
Diesel Techs,"Mon, Mar 4th",8:30am - 9:00am,Queens
L.I. Based Bus Company,,,
Boiler Mechanic-Plumber,"Mon, Mar 4th",8:30am - 9:00am,Queens
Brooklyn Based Plumbing Company,,,
CDL B Driver Recruitment Event,"Mon, Mar 4th",8:30am - 9:00am,Queens
CDL B Driver for Airline Caterer,,,
Cleaners,"Mon, Mar 4th",8:45am - 9:15am,Queens
Maids Pros,,,
Gym Membership Sales Representatives,"Mon, Mar 4th",8:45am - 9:15am,Brooklyn
Blink Fitness,,,
Models (Sales Associates) and Impacters ( Stock Room Associates) ,"Mon, Mar 4th",8:45am - 9:15am,Brooklyn
Abercrombie & Fitch/Hollister,,,
Sales / Cashiers,"Mon, Mar 4th",8:45am - 9:15am,Brooklyn
Kmart,,,
Kitchen Staff,"Mon, Mar 4th",8:45am - 9:15am,Queens
Miller's Alehouse,,,
Security Guards,"Mon, Mar 4th",8:45am - 9:15am,Queens
Affinita Security Group,,,
Security Guards,"Mon, Mar 4th",8:45am - 9:15am,Queens
Mega Security,,,
Certified HHA,"Mon, Mar 4th",8:45am - 9:15am,Queens
HCS Home Care,,,
Bilingual Customer Service Reps ,"Mon, Mar 4th",8:45am - 9:15am,Queens
Dish Network,,,
"HHA, CNA, LPN, Experienced Companions","Mon, Mar 4th",8:45am - 9:15am,Queens
"Sara Companions (Nassau, Suffolk, Manhattan, Queens)",,,
Cable Technicians ,"Mon, Mar 4th",8:45am - 9:15am,Queens
Time Warner Cable,,,
Merchandise Associate,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
TJ Maxx,,,
Chopper,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Just Salad,,,
Banquet Servers / Door Attendant,"Mon, Mar 4th",9:00am - 11:30am,Staten Island
Our Pleasure Hospitality,,,
Assistant Manager,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Applebee's,,,
Team Members,"Mon, Mar 4th",9:00am - 2:30pm,Staten Island
Lowes,,,
Name-taker,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Just Salad,,,
Uncertified Health Aide,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Sunnyside,,,
Cable Technician,"Mon, Mar 4th",9:00am - 2:30pm,Staten Island
Time Warner Cable,,,
Direct Care Specialists,"Mon, Mar 4th",9:00am - 9:30am,Brooklyn
Healthcare Agency,,,
Telephone Interviewer Representative,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Universal Survey / Opinion Access,,,
Certified Home Health Aide,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Sunnyside,,,
Certified Home Health Aides ,"Mon, Mar 4th",9:00am - 9:30am,Brooklyn
Healthcare Agency,,,
Cashier,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Just Salad,,,
Sales Associate,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
The Home Depot,,,
Topper,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Just Salad,,,
Customer Service Representative,"Mon, Mar 4th",9:00am - 11:30am,Staten Island
PLS Check Cashing,,,
Cook,"Mon, Mar 4th",9:00am - 9:30am,Manhattan
Hard Rock Café,,,
Security Guards,"Mon, Mar 4th",9:30am - 3:00pm,Manhattan
Sottile Security,,,
Retail Pre-Screening Event,"Mon, Mar 4th",9:30am - 10:00am,Bronx
Home Depot,,,
Newspaper Distributors,"Mon, Mar 4th",9:30am - 2:30pm,Manhattan
Newsday LLC,,,
P / T Fundraiser / Grant Writer,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
Project Enterprise,,,
Personal Trainer,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
Equinox,,,
Interviewers,"Mon, Mar 4th",10:00am - 3:00pm,Manhattan
Universal Survey,,,
Security,"Mon, Mar 4th",10:00am,Bronx
Large Security Agency,,,
Sales Associates / Cashiers / Customer Service ,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
Century 21,,,
Passenger Service Agent,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
Swissport,,,
Ramp Agents,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
Swissport,,,
Public Relations Manager ,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
Off The Wall Frozen Yogurt,,,
Field Sales Representative,"Mon, Mar 4th",10:00am - 11:00am,Manhattan
FedEx Services,,,
Cashiers / Sales Associates,"Mon, Mar 4th",10:30am - 11:00am,Brooklyn
Big Box Retail,,,
Security Pre-Screening Event ,"Mon, Mar 4th",10:30am - 11:00am,Bronx
Various Employers,,,
Food Service Workers,"Mon, Mar 4th",10:45am - 11:00am,Brooklyn
Union Market,,,
Shift Leaders,"Mon, Mar 4th",10:45am - 11:45am,Brooklyn
Five Guys,,,
Security Guards (JFK Airport),"Mon, Mar 4th",10:45am - 11:45am,Brooklyn
AirServ,,,
Junior Agents / Telemarketers (Full Time),"Mon, Mar 4th",10:45am - 11:00am,Brooklyn
National Merchant Services,,,
