JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
State Assembly District 022,2,1,0.5%,1,0.5%,0,0,2,100%,0,0%,1,0.5%,0,0%,0,0%,0,0%,0,0%,1,0.5%,0,0%,2,100%,2,1%,0,0%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,2,100%
State Assembly District 023,13,3,0.23%,10,0.77%,0,0,13,100%,0,0%,0,0%,0,0%,0,0%,13,1%,0,0%,0,0%,0,0%,13,100%,0,0%,13,1%,0,0%,0,0%,13,100%,0,0%,13,1%,0,0%,13,100%
State Assembly District 024,2,0,0%,2,1%,0,0,2,100%,0,0%,1,0.5%,0,0%,0,0%,0,0%,1,0.5%,0,0%,0,0%,2,100%,1,0.5%,1,0.5%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,2,100%
State Assembly District 025,6,4,0.67%,2,0.33%,0,0,6,100%,0,0%,1,0.17%,0,0%,1,0.17%,0,0%,2,0.33%,1,0.17%,1,0.17%,6,100%,0,0%,6,1%,0,0%,0,0%,6,100%,1,0.17%,5,0.83%,0,0%,6,100%
State Assembly District 026,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 027,11,7,0.64%,4,0.36%,0,0,11,100%,0,0%,1,0.09%,0,0%,0,0%,10,0.91%,0,0%,0,0%,0,0%,11,100%,1,0.09%,10,0.91%,0,0%,0,0%,11,100%,5,0.45%,6,0.55%,0,0%,11,100%
State Assembly District 028,9,4,0.44%,5,0.56%,0,0,9,100%,0,0%,1,0.11%,0,0%,0,0%,4,0.44%,4,0.44%,0,0%,0,0%,9,99%,0,0%,9,1%,0,0%,0,0%,9,100%,1,0.11%,8,0.89%,0,0%,9,100%
State Assembly District 029,4,1,0.25%,3,0.75%,0,0,4,100%,0,0%,0,0%,0,0%,0,0%,0,0%,4,1%,0,0%,0,0%,4,100%,1,0.25%,3,0.75%,0,0%,0,0%,4,100%,0,0%,4,1%,0,0%,4,100%
State Assembly District 030,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 031,26,10,0.38%,16,0.62%,0,0,26,100%,0,0%,1,0.04%,0,0%,0,0%,24,0.92%,0,0%,1,0.04%,0,0%,26,100%,0,0%,26,1%,0,0%,0,0%,26,100%,5,0.19%,21,0.81%,0,0%,26,100%
State Assembly District 032,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 033,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 034,2,1,0.5%,1,0.5%,0,0,2,100%,0,0%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,0,0%,2,100%,1,0.5%,1,0.5%,0,0%,2,100%
State Assembly District 035,5,4,0.8%,1,0.2%,0,0,5,100%,0,0%,3,0.6%,0,0%,1,0.2%,1,0.2%,0,0%,0,0%,0,0%,5,100%,1,0.2%,4,0.8%,0,0%,0,0%,5,100%,0,0%,5,1%,0,0%,5,100%
State Assembly District 036,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 037,1,0,0%,1,1%,0,0,1,100%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,1,100%,0,0%,1,1%,0,0%,0,0%,1,100%,0,0%,1,1%,0,0%,1,100%
State Assembly District 038,1,0,0%,1,1%,0,0,1,100%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,1,100%,0,0%,1,1%,0,0%,0,0%,1,100%,0,0%,1,1%,0,0%,1,100%
State Assembly District 039,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 040,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 041,39,14,0.36%,25,0.64%,0,0,39,100%,0,0%,1,0.03%,0,0%,2,0.05%,34,0.87%,1,0.03%,0,0%,1,0.03%,39,100%,2,0.05%,37,0.95%,0,0%,0,0%,39,100%,5,0.13%,34,0.87%,0,0%,39,100%
State Assembly District 042,34,31,0.91%,3,0.09%,0,0,34,100%,0,0%,6,0.18%,0,0%,0,0%,20,0.59%,4,0.12%,4,0.12%,0,0%,34,100%,0,0%,34,1%,0,0%,0,0%,34,100%,6,0.18%,28,0.82%,0,0%,34,100%
State Assembly District 043,101,80,0.79%,21,0.21%,0,0,101,100%,0,0%,2,0.02%,0,0%,1,0.01%,82,0.81%,8,0.08%,8,0.08%,0,0%,101,100%,2,0.02%,99,0.98%,0,0%,0,0%,101,100%,32,0.32%,69,0.68%,0,0%,101,100%
State Assembly District 044,93,76,0.82%,17,0.18%,0,0,93,100%,0,0%,2,0.02%,0,0%,5,0.05%,72,0.77%,6,0.06%,8,0.09%,0,0%,93,99%,9,0.1%,84,0.9%,0,0%,0,0%,93,100%,31,0.33%,62,0.67%,0,0%,93,100%
State Assembly District 045,241,192,0.8%,49,0.2%,0,0,241,100%,0,0%,1,0%,0,0%,1,0%,223,0.93%,1,0%,10,0.04%,5,0.02%,241,99%,3,0.01%,237,0.98%,1,0%,0,0%,241,99%,42,0.17%,199,0.83%,0,0%,241,100%
State Assembly District 046,176,84,0.48%,92,0.52%,0,0,176,100%,0,0%,21,0.12%,0,0%,16,0.09%,68,0.39%,62,0.35%,9,0.05%,0,0%,176,100%,12,0.07%,162,0.92%,2,0.01%,0,0%,176,100%,36,0.2%,140,0.8%,0,0%,176,100%
State Assembly District 047,11,5,0.45%,6,0.55%,0,0,11,100%,0,0%,0,0%,0,0%,2,0.18%,7,0.64%,1,0.09%,1,0.09%,0,0%,11,100%,0,0%,11,1%,0,0%,0,0%,11,100%,0,0%,11,1%,0,0%,11,100%
State Assembly District 048,263,204,0.78%,59,0.22%,0,0,263,100%,0,0%,1,0%,0,0%,5,0.02%,241,0.92%,2,0.01%,13,0.05%,1,0%,263,100%,3,0.01%,259,0.98%,1,0%,0,0%,263,99%,133,0.51%,130,0.49%,0,0%,263,100%
State Assembly District 049,79,32,0.41%,47,0.59%,0,0,79,100%,0,0%,0,0%,0,0%,3,0.04%,72,0.91%,0,0%,4,0.05%,0,0%,79,100%,1,0.01%,78,0.99%,0,0%,0,0%,79,100%,32,0.41%,47,0.59%,0,0%,79,100%
State Assembly District 050,47,34,0.72%,13,0.28%,0,0,47,100%,0,0%,2,0.04%,0,0%,1,0.02%,41,0.87%,1,0.02%,2,0.04%,0,0%,47,99%,0,0%,47,1%,0,0%,0,0%,47,100%,31,0.66%,16,0.34%,0,0%,47,100%
State Assembly District 051,14,7,0.5%,7,0.5%,0,0,14,100%,0,0%,0,0%,0,0%,0,0%,13,0.93%,0,0%,1,0.07%,0,0%,14,100%,0,0%,14,1%,0,0%,0,0%,14,100%,9,0.64%,5,0.36%,0,0%,14,100%
State Assembly District 052,12,7,0.58%,5,0.42%,0,0,12,100%,0,0%,2,0.17%,0,0%,2,0.17%,1,0.08%,5,0.42%,2,0.17%,0,0%,12,100%,0,0%,12,1%,0,0%,0,0%,12,100%,2,0.17%,10,0.83%,0,0%,12,100%
State Assembly District 053,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
