Entity Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Location 1
LAUNDRY,495191,"DOW, DANNY H",,WILLIAMSBRIDGE ROAD,2490 WILLIAMSBRIDGE ROAD,,10469,9146936015,"2490 WILLIAMSBRIDGE ROAD
BRONX, NY 10469
(40.86225398077611, -73.85769114807104)"
LAUNDRY,524545,"SCHWARTZ, MELVYN",NEW ECONOWASH,NEW DORP LANE,319 NEW DORP LANE,,10306,7189845822,"319 NEW DORP LANE
STATEN ISLAND, NY 10306
(40.57164820834806, -74.11190116018)"
LAUNDRY,527675,"SETO, WILLIAM",,MYRTLE AVENUE,65-28 MYRTLE AVENUE,,11385,7189999999,"65 28 MYRTLE AVENUE
QUEENS, NY 11385
(40.70122489161548, -73.88334858436963)"
LAUNDRY,528928,"LABADY, RAOUL",DAWN LAUNDROMAT AND CLEANERS,WASHINGTON AVENUE,754 WASHINGTON AVENUE,,11238,7186382102,"754 WASHINGTON AVENUE
BROOKLYN, NY 11238
(40.67519536635756, -73.96330260218811)"
LAUNDRY,529419,"NEWTON, KATHERINE C",,GATES AVENUE,264 GATES AVENUE,,11216,7187745777,"264 GATES AVENUE
BROOKLYN, NY 11216
(40.685519314300926, -73.9563907602587)"
LAUNDRY,574975,LUCKY MACHINE WASH CORP,,2 AVENUE,2325 2 AVENUE,,10035,2129879424,"2325 2 AVENUE
NEW YORK, NY 10035
(40.7991493325996, -73.93621127396972)"
LAUNDRY,620298,"CYNGIEL, SHLOMO",,BRIGHTON   11 STREET,116 BRIGHTON   11 STREET,,11235,7188913383,"116 BRIGHTON 11 STREET
BKLYN, NY 11235
(40.579958193138125, -73.95776104939968)"
LAUNDRY,622520,"KONG, KEE VOIR",SCHENLEY'S LAUNDROMAT,NORTHERN BOULEVARD,86-15 NORTHERN BOULEVARD,,11372,7184249715,"86 15 NORTHERN BOULEVARD
QUEENS, NY 11372
(40.75163073936716, -73.88361254528269)"
LAUNDRY,628065,BOWNE ST LAUNDROMAT INC,,BOWNE STREET,41-85 BOWNE STREET,,11355,7187672477,"41 85 BOWNE STREET
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
LAUNDRY,628612,"ALPHONSO, LEWIS",,AVENUE D,4124 AVENUE D,,11203,7182825174,"4124 AVENUE
BKLYN, NY 11203
(40.649721601170995, -73.93427608567276)"
LAUNDRY,677988,"PRASINOS, MAROUSA",,24 AVENUE,23-19 24 AVENUE,,11102,7185453095,"23 19 24 AVENUE
L I CITY, NY 11102
(40.77152402451418, -73.92643545073543)"
LAUNDRY,788138,FOURTEENTH AVENUE   COIN-OP INC,,14 AVENUE,5910 14 AVENUE,,11219,7183761841,"5910 14 AVENUE
BROOKLYN, NY 11219
(40.62804187320339, -73.99583466728838)"
LAUNDRY,803996,"S.A.B. COIN-OP.I, INC.",YOUR PROFESSIONAL   WASH & DRY,8 AVENUE,5611 8 AVENUE,,11220,7183761841,"5611 8 AVENUE
BROOKLYN, NY 11220
(40.6376698882598, -74.00723879932099)"
LAUNDRY,811447,67 LAUNDROMAT INC,,WOODSIDE AVENUE,67-01 WOODSIDE AVENUE,,11377,7186515638,"67 01 WOODSIDE AVENUE
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,813266,"HONG, SUNG MIN",SNOW WHITE LAUNDROMAT,61 STREET,2006 61 STREET,,11204,7182369690,"2006 61 STREET
BROOKLYN, NY 11204
(40.61871043845009, -73.9833937543566)"
LAUNDRY,837346,WHITEPOINT CLEANERS INC,,14 AVENUE,132-07 14 AVENUE,,11356,7187466566,"132 07 14 AVENUE
COLLEGE POINT, NY 11356
(40.7849280967543, -73.84181070040347)"
LAUNDRY,839629,M V L LAUNDROMAT INC,,MANHATTAN AVENUE,1012 MANHATTAN AVENUE,,11222,7183838429,"1012 MANHATTAN AVENUE
BROOKLYN, NY 11222
(40.73353845555149, -73.9547629315884)"
LAUNDRY,853865,123 JS INC.,,HUNTER STREET,42-73 HUNTER STREET,,11101,7189176740,"42 73 HUNTER STREET
L I CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
LAUNDRY,854584,"CHOW, ALEXANDER",CHOW'S TAILOR AND   DRY CLEANER,EAST   82 STREET,405 EAST   82 STREET,APT 3C,10028,2124720193,"405 82 STREET
NEW YORK, NY 10028
(40.77404026154153, -73.95069035864145)"
LAUNDRY,881691,"WIEGAND, WILLIAM",LAUNDER MAGIC,EAST MT EDEN AVENUE,70 EAST MT EDEN AVENUE,,10452,7189999999,"70 MT EDEN AVENUE
BRONX, NY 10452
(40.84375373960081, -73.9133938567241)"
LAUNDRY,886215,"JUNG, SO SUN",HEIGHTS HAND LAUNDRYAND DRY CLEANERS,HENRY STREET,117 HENRY STREET,,11201,7186247812,"117 HENRY STREET
BROOKLYN, NY 11201
(40.69719535416945, -73.99308619061551)"
LAUNDRY,891376,"KNAPIC, MARIO AND KNAPIC BISERKA",M & B LAUNDROMAT,CRESCENT STREET,28-20 CRESCENT STREET,,11102,7186263545,"28 20 CRESCENT STREET
QUEENS, NY 11102
(40.77152402451418, -73.92643545073543)"
LAUNDRY,891384,KEARNEY STREET LAUNDROMAT INC,,ASTORIA BOULEVARD,100-11 ASTORIA BOULEVARD,,11369,7184299814,"100 11 ASTORIA BOULEVARD
EAST ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)"
LAUNDRY,900404,"BERNAL, ANDRES",S O S LAUNDROMAT,KEAP STREET,332 KEAP STREET,,11211,7182187020,"332 KEAP STREET
BROOKLYN, NY 11211
(40.70864431174045, -73.95485252743647)"
LAUNDRY,902633,SEKAR CLEANERS INC,DOUGLASTON FRENCH   CLEANERS,NORTHERN BOULEVARD,242-01 NORTHERN BOULEVARD,,11363,7182257974,"242 01 NORTHERN BOULEVARD
DOUGLASTON, NY 11363
(40.772398418252465, -73.74679788741253)"
LAUNDRY,903205,J & J CLEANERS INC,,46 AVENUE,172-18 46 AVENUE,,11358,7183580024,"172 18 46 AVENUE
FLUSHING, NY 11358
(40.760350968822195, -73.79632645819947)"
LAUNDRY,910205,NEW FERRARI CLEANERS INC.,,DITMAS BOULEVARD,35-06 DITMAS BOULEVARD,,11105,7182048193,"35 06 DITMAS BOULEVARD
ASTORIA, NY 11105
(40.780092072491186, -73.90960650023976)"
LAUNDRY,910243,SIMA LAUNDROMAT INC,,BRITTON AVENUE,87-31 BRITTON AVENUE,,11373,7184467550,"87 31 BRITTON AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
LAUNDRY,911582,EXCELLENT LAUNDROMAT INC,,BELL BOULEVARD,48-01 BELL BOULEVARD,,11364,7184238888,"48 01 BELL BOULEVARD
QUEENS, NY 11364
(40.745924680379744, -73.75790275560763)"
LAUNDRY,911657,CHRISTOPHER STREET CLEANERS INC,,CHRISTOPHER STREET,120 CHRISTOPHER STREET,1ST FLOOR,10014,2122428843,"120 CHRISTOPHER STREET
NEW YORK, NY 10014
(40.73318406175042, -74.00563893463169)"
LAUNDRY,912072,SUPER LAUNDRY OF CRESCENT INC,,CRESCENT STREET,38-06 CRESCENT STREET,,11101,7187849878,"38 06 CRESCENT STREET
QUEENS, NY 11101
(40.74570244980828, -73.93866902925225)"
LAUNDRY,914774,FLUFF AND FOLD INC,FLUFF AND FOLD,JAMAICA AVENUE,95-06 JAMAICA AVENUE,,11421,7188465925,"95 06 JAMAICA AVENUE
WOODHAVEN, NY 11421
(40.69176458756573, -73.85702228584978)"
LAUNDRY,925721,SUDZY INC,BEECHHURST WASH & DRY,154 STREET,40872 154 STREET,,11357,7187470940,"40872 154 STREET
WHITESTONE, NY 11357
(40.775352768215214, -73.80958591608075)"
LAUNDRY,926491,"GRAHAM, CLINTON",C & G LAUNDROMAT,SUTPHIN BOULEVARD,108-51 SUTPHIN BOULEVARD,,11435,7185236800,"108 51 SUTPHIN BOULEVARD
JAMAICA, NY 11435
(40.70119264912154, -73.80979665579099)"
