Traffic Control Division,2005,2006,2007,2008,2009,Total
Headquarters Command,0,1,3,1,0,5
Manhattan Task Force,30,35,31,29,19,144
Brooklyn Task Force,0,0,0,0,0,0
Bronx Task Force,0,0,0,0,0,0
Queens Task Force,0,0,0,0,0,0
Surface Transportation,9,6,5,6,2,
     Enforcement Division,0,4,5,4,3,28
Bus,0,4,5,4,3,16
Parking Enforcement District,0,0,3,0,0,3
Tow Units,0,0,0,0,0,0
Summons Enforcement,0,0,0,0,0,0
Intersection Control.,0,0,0,0,0,0
Intelligence,0,0,0,0,0,0
Highway District,0,2,4,1,2,9
Highway 1,14,10,14,13,11,62
Highway 2,5,7,6,7,4,29
Highway 3,8,9,1,16,9,43
Highway 4,1,1,2,3,1,8
Highway 5,5,3,4,2,2,16
Highway Safety,0,0,0,0,0,0
Movie and Television,0,0,1,0,0,1
Traffic Control Division Total,72,82,84,86,56,380
