MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
1-00011-0014,"26 BEAVER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,21,1909,51387,1456821,28.3,7060000,137,1-00008-0039,"32 PEARL STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,4660000,137,0.1,1-00385-0002,"21 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",ALPHABET CITY,C7-WALK-UP,16,1900,10588,307052,29,1490000,141,1.95
1-00028-0001,"3 HANOVER SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D0-ELEVATOR,209,1926,239121,6456267,27,31300000,131,1-00021-0006,"69 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,237,1900,303086,9067550,29.9,43900000,145,0.25,1-00042-0001,"100 MAIDEN LANE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D6-ELEVATOR,342,1930,290116,10154060,35,51100000,176,0.15
1-00052-0021,"120 LIBERTY STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D0-ELEVATOR,24,1900,57945,1648740,28.5,7990000,138,1-00008-0039,"32 PEARL STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,4660000,137,0.45,1-00393-0034,"173 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",ALPHABET CITY,C4-WALK-UP,19,1900,7665,239012,31.2,1160000,151,2.1
1-00064-0008,"53 LIBERTY STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,94,1911,167448,5274612,31.5,25600000,153,1-00878-0004,"295 PARK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GRAMERCY,D9-ELEVATOR,190,1900,145299,4811189,33.1,23300000,160,2.45,1-00844-0017,"31 UNION SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FLATIRON,D9-ELEVATOR,88,1902,118067,3369000,28.5,16300000,138,2.15
1-00065-0017,"176 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,82,1927,168176,5297544,31.5,25700000,153,1-00077-0001,"87 JOHN STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D7-ELEVATOR,164,1926,160000,5248420,32.8,25400000,159,0.15,1-00561-0005,"47 UNIVERSITY PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,144,1928,144516,4437685,30.7,21500000,149,1.75
1-00094-0001,"80 GOLD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,62267700,30,176000000,85,1-00106-0004,"272 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,488063,29.7,2360000,144,0.1,1-00008-0039,"32 PEARL STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,4660000,137,0.65
1-00100-0026,"138 NASSAU STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,1906128,24,8520000,107,1-00393-0014,"612 11 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",ALPHABET CITY,C4-WALK-UP,61,1900,81576,1868542,22.91,5280000,65,1.75,1-00400-0001,"58 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",ALPHABET CITY,D6-ELEVATOR,84,1940,79956,1926119,24.09,8610000,108,1.45
1-00101-0001,"36 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,51,1900,111685,2680440,24,12000000,107,1-01212-0053,"150 82 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D3-ELEVATOR,60,1926,49977,1255376,25.1,5610000,112,5.2,1-00393-0014,"612 11 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",ALPHABET CITY,C4-WALK-UP,61,1900,81576,1868542,22.91,5280000,65,1.75
1-00106-0007,"266 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D0-ELEVATOR,24,1900,41203,1129200,27.4,5470000,133,1-00008-0039,"32 PEARL STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,4660000,137,0.65,1-00106-0004,"272 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,488063,29.7,2360000,144,0
1-00117-0001,"185 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,880,1960,515425,12885625,25,57600000,112,1-00126-0027,"38 MURRAY STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D5-ELEVATOR,392,1964,620552,19861350,32,96200000,155,0.5,1-00151-0001,"101 DUANE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D6-ELEVATOR,441,1988,434418,15185169,35,76400000,176,0.4
1-00134-0025,"258 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,46,1915,88320,2384640,27,11600000,131,1-00126-0013,"53 PARK PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D5-ELEVATOR,116,1921,138600,3816911,27.5,18500000,133,0.1,1-00173-0017,"74 LEONARD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D7-ELEVATOR,19,1920,23000,764408,33.2,3700000,161,0.25
1-00137-0005,"76 WARREN STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,34,1915,70000,1820000,26,8820000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.5,,,,,,,,,,,,
1-00137-0035,"90 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,21,1920,48079,1250054,26,6060000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.5,,,,,,,,,,,,
1-00140-0001,"139 CHAMBERS STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,11,1915,26531,689806,26,3340000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.45,,,,,,,,,,,,
1-00143-0001,"47 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,45,1930,77630,2018380,26,9780000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.35,,,,,,,,,,,,
1-00143-0004,"55 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,63,1900,103750,2697500,26,13100000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.35,,,,,,,,,,,,
1-00143-0009,"173 DUANE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,11,1925,24500,637000,26,3090000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.35,,,,,,,,,,,,
1-00143-0021,"335 GREENWICH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,29,1931,55800,1450800,26,7030000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.35,,,,,,,,,,,,
1-00144-0001,"16 HUDSON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,33,1915,78306,2035956,26,9860000,126,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.4,1-00126-0013,"53 PARK PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D5-ELEVATOR,116,1921,138600,3816911,27.5,18500000,133,0.2
1-00144-0023,"84 THOMAS STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D4-ELEVATOR,16,1910,37960,1024920,27,4970000,131,1-00126-0013,"53 PARK PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D5-ELEVATOR,116,1921,138600,3816911,27.5,18500000,133,0.25,1-00220-0027,"36 LAIGHT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,3530000,132,0.35
1-00146-0021,"134 DUANE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D0-ELEVATOR,22,1920,38700,967500,25,4320000,112,1-00173-0020,"80 LEONARD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D7-ELEVATOR,11,1910,26815,687607,25.6,3330000,124,0.15,1-00126-0013,"53 PARK PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D5-ELEVATOR,116,1921,138600,3816911,27.5,18500000,133,0.2
1-00150-0010,"74 READE STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,12,1915,17056,460512,27,2230000,131,1-00126-0013,"53 PARK PLACE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D5-ELEVATOR,116,1921,138600,3816911,27.5,18500000,133,0.2,1-00173-0017,"74 LEONARD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D7-ELEVATOR,19,1920,23000,764408,33.2,3700000,161,0.15
