BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,100337,9.3,235000,21.78,2-02285-0001,"401 140 STREET
Bronx, NY
(40.810411837191104, -73.92189788277214)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,14,1910,11510,107064,9.3,305000,26.5,0.25,2-02550-0007,"218 ST ANNS AVENUE
Bronx, NY
(40.80635278553079, -73.91777134483357)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,16,1910,13440,115858,8.62,271000,20.16,0.5
2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,125985,11.62,295000,27.2,2-02551-0064,"605 138 STREET
Bronx, NY
(40.80633208693502, -73.91624647804682)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,26,1905,16020,144473,9.02,373000,23.28,0.6,2-02285-0070,"441 140 STREET
Bronx, NY
(40.81007369210936, -73.92108286642132)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,11,1905,13235,87642,6.62,205000,15.49,0.4
2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,119570,12.7,280000,29.7,2-02285-0003,"306 WILLIS AVENUE
Bronx, NY
(40.81054332618791, -73.92182611052176)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,8870,65434,7.38,163000,18.38,0.2,2-02550-0003,"214 ST ANNS AVENUE
Bronx, NY
(40.806244297320795, -73.91784883641213)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,9180,116467,12.69,402000,43.8,0.5
2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,415890,9,974000,21.08,2-02748-0060,"1001 BRYANT AVENUE
Bronx, NY
(40.823290282837036, -73.8885882162631)",MORRISANIA/LONGWOOD,D3-ELEVATOR,26,1928,22075,224163,10.15,525000,23.78,1.15,2-02612-0058,"1229 FRANKLIN AVENUE
Bronx, NY
(40.83051205520179, -73.90338176338274)",MORRISANIA/LONGWOOD,D7-ELEVATOR,62,1928,68722,758209,11.03,2160000,31.4,0.85
2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,126510,10,296000,23.4,2-02603-0067,"576 TIMPSON PLACE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D1-ELEVATOR,50,1920,51384,556936,10.84,1730000,33.7,1.4,2-02665-0061,"721 UNION AVENUE
Bronx, NY
(40.817112732397234, -73.90379396408963)",MORRISANIA/LONGWOOD,C7-WALK-UP,49,1920,43750,408800,9.34,957000,21.87,1.05
2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,194586,11.3,456000,26.5,2-02615-0050,"1239 BOSTON ROAD
Bronx, NY
(40.830081087930616, -73.90172135574859)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1912,15765,177661,11.27,552000,35,1.05,2-02676-0045,"806 WESTCHESTER AVENUE
Bronx, NY
(40.81883673370835, -73.90322129039565)",MORRISANIA/LONGWOOD,C7-WALK-UP,20,1912,24560,205939,8.39,482000,19.63,0.65
2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,91018,13.1,213000,30.7,2-02407-0016,"386 161 STREET
Bronx, NY
(40.82426061303626, -73.91418938844102)",MELROSE/CONCOURSE,C7-WALK-UP,15,1918,12800,129323,10.1,369000,28.8,0.5,2-02472-0023,"1055 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,C7-WALK-UP,59,1918,47850,628155,13.13,2290000,47.9,0.95
2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,99036,13.1,232000,30.7,2-02407-0016,"386 161 STREET
Bronx, NY
(40.82426061303626, -73.91418938844102)",MELROSE/CONCOURSE,C7-WALK-UP,15,1918,12800,129323,10.1,369000,28.8,0.5,2-02472-0023,"1055 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,C7-WALK-UP,59,1918,47850,628155,13.13,2290000,47.9,0.95
2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,117425,11,275000,25.8,2-02398-0027,"395 151 STREET
Bronx, NY
(40.81759320900292, -73.91732677202516)",MELROSE/CONCOURSE,D7-ELEVATOR,39,1931,36360,399132,10.98,1240000,34.1,0.55,2-02418-0001,"299 158 STREET
Bronx, NY
(40.8232941753595, -73.91799700102091)",MELROSE/CONCOURSE,C7-WALK-UP,15,1931,11815,143848,12.18,496000,42,0.15
2-02422-0030,"943 TELLER AVENUE
Bronx, NY
(40.82615911625451, -73.91557814166602)",MELROSE/CONCOURSE,C6-WALK-UP,37,1920,33055,347077,10.5,813000,24.6,2-02398-0022,"398 152 STREET
Bronx, NY
(40.81821151286269, -73.91686857473591)",MELROSE/CONCOURSE,C7-WALK-UP,81,1920,76876,632159,8.22,1630000,21.2,0.6,2-02426-0004,"1120 CLAY AVENUE
Bronx, NY
(40.830197066486335, -73.9117636721695)",MELROSE/CONCOURSE,D1-ELEVATOR,54,1920,46400,581802,12.54,1360000,29.3,0.35
