Boro/Central Library,Network,Branch,ADULT Program,ADULT Attendance,YOUNG ADULT Program,YOUNG ADULT Attendance,JUVENILE Program,JUVENILE Attendance,OUTREACH SERVICES Program,OUTREACH SERVICES Attendance, TOTAL Program, TOTAL Attendance, REFERENCE TRANSACTIONS Adult, REFERENCE TRANSACTIONS Young Adult, REFERENCE TRANSACTIONS Juvenile, REFERENCE TRANSACTIONS,CIRCULATION Adult,CIRCULATION Young Adult,CIRCULATION Juvenile,CIRCULATION,Weekly Hours of Public Service
Manhattan,Countee Cullen Network,67th Street ,146,1298,80,884,253,9004,71,834,550,12020,66209,3497,5343,75049,173087,20149,112878,306114,42
Manhattan,Countee Cullen Network,96th Street,154,2466,90,1710,276,8470,28,706,548,13352,71448,19591,9503,100542,228111,39402,105718,373231,50
Manhattan,Countee Cullen Network,115th Street ,53,497,75,1036,142,5382,12,708,282,7623,14924,3471,6903,25298,77833,16783,65517,160133,42
Manhattan,Countee Cullen Network,125th Street,116,1008,46,345,142,1311,67,1015,371,3679,23400,8632,11479,43511,45516,14352,20366,80234,42
Manhattan,Countee Cullen Network,Aguilar,29,524,28,450,364,8143,247,3343,668,12460,34502,9711,21281,65494,92228,26945,89477,208650,44
Manhattan,Countee Cullen Network,Bloomingdale,107,1241,105,1245,340,10626,21,327,573,13439,36608,7527,6019,50154,236267,30858,133536,400661,44
Manhattan,Countee Cullen Network,Countee Cullen,199,2330,159,1676,254,4053,20,557,632,8616,52780,18941,13182,84903,118246,21545,59759,199550,54
Manhattan,Countee Cullen Network,Fort Washington,97,1387,124,1544,336,8990,158,2911,715,14832,29211,9113,13767,52091,170872,37962,110765,319599,44
Manhattan,Countee Cullen Network,George Bruce,81,833,94,1432,208,3607,42,1058,425,6930,327119,256360,282750,866229,67313,14443,38463,120219,42
Manhattan,Countee Cullen Network,Hamilton Grange,137,2779,94,1138,115,3037,38,996,384,7950,77246,30212,35412,142870,110572,25338,73395,209305,44
Manhattan,Countee Cullen Network,Harlem ,170,2667,37,266,228,4979,42,911,477,8823,37596,6357,17472,61425,58898,10710,35936,105544,42
Manhattan,Countee Cullen Network,Inwood,75,935,129,2691,255,7015,153,4346,612,14987,21164,8333,13858,43355,165179,27844,114618,307641,44
Manhattan,Countee Cullen Network,Macomb's Bridge,13,25,30,318,118,1721,6,64,167,2128,9659,4875,4355,18889,18657,6743,12021,37421,42
