Complaint Number,Status,Date Entered,House Number,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
1343883,CLOSED,02/26/2013,363         ,GREENWICH STREET                ,1002095,101,   ,4J,ERT  ,02/26/2013,MG,02/22/2013,2013-02-27 00:00:00
1343868,CLOSED,02/25/2013,127         ,EAST BROADWAY                   ,1003578,103,   ,2G,SPOPS,02/26/2013,I2,02/26/2013,2013-02-27 00:00:00
1343917,ACTIVE,02/26/2013,225         ,EAST 2 STREET                   ,1004577,103,   ,05,MAN.,,  ,,2013-02-27 00:00:00
1343906,CLOSED,02/26/2013,139         ,ESSEX STREET                    ,1005376,103,   ,86,ERT  ,02/26/2013,H3,02/26/2013,2013-02-27 00:00:00
1343855,CLOSED,02/25/2013,167         ,LUDLOW STREET                   ,1005406,103,   ,03,ERT  ,02/26/2013,A8,02/25/2013,2013-02-27 00:00:00
1343931,ACTIVE,02/26/2013,650         ,BROADWAY                        ,1008420,102,   ,66,PLUMB,,  ,,2013-02-27 00:00:00
1343897,ACTIVE,02/26/2013,666         ,BROADWAY                        ,1008455,102,   ,05,MAN.,,  ,,2013-02-27 00:00:00
1343763,CLOSED,02/22/2013,529         ,WEST 29 STREET                  ,1012441,104,   ,67,C & D,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
1343526,CLOSED,02/19/2013,529         ,WEST 29 STREET                  ,1012441,104,   ,67,C & D,02/26/2013,I2,02/22/2013,2013-02-27 00:00:00
1343523,CLOSED,02/19/2013,529         ,WEST 29 STREET                  ,1012441,104,   ,67,C & D,02/26/2013,I2,02/22/2013,2013-02-27 00:00:00
1343651,CLOSED,02/21/2013,149         ,WEST 24 STREET                  ,1014973,104,   ,92,SPOPS,02/26/2013,I2,02/26/2013,2013-02-27 00:00:00
1343595,CLOSED,02/20/2013,332         ,EAST 19 STREET                  ,1020500,106,   ,12,MAN.,02/26/2013,C2,02/21/2013,2013-02-27 00:00:00
1343824,CLOSED,02/24/2013,446         ,WEST 58 STREET                  ,1026895,104,   ,4A,SPOPS,02/26/2013,I2,02/26/2013,2013-02-27 00:00:00
1343811,CLOSED,02/24/2013,446         ,WEST 58 STREET                  ,1026895,104,   ,4A,SPOPS,02/26/2013,I2,02/26/2013,2013-02-27 00:00:00
1342645,CLOSED,02/04/2013,344         ,WEST 88 STREET                  ,1033992,107,   ,91,ERT  ,02/26/2013,L2,02/26/2013,2013-02-27 00:00:00
1343929,ACTIVE,02/26/2013,300         ,EAST 51 STREET                  ,1039628,106,   ,09,MAN.,,  ,,2013-02-27 00:00:00
1343503,CLOSED,02/19/2013,861         ,LEXINGTON AVENUE                ,1042378,108,   ,05,BEST ,02/26/2013,L2,02/26/2013,2013-02-27 00:00:00
1343504,CLOSED,02/19/2013,861         ,LEXINGTON AVENUE                ,1042378,108,   ,21,BEST ,02/26/2013,L2,02/26/2013,2013-02-27 00:00:00
