Health Code Article Number,Health Code Description,URL
1,Short Title and General Provisions,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article1.pdf
3,General Provisions,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article3.pdf
5,Permits,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article5.pdf
9,Petitioning Board to commence rulemaking,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article9.pdf
11,"Reportable Diseases, Conditions",http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article11.pdf
13,Laboratories,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article13.pdf
15,Handling live pathogenic organisms,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article15.pdf
43,School Based Programs for Children Ages Three through Five,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article43.pdf
45,Schools and Children’s Institutions,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article45.pdf
47,Day Care Services,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article47.pdf
48,Summer Camps,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article48.pdf
48-A,Year Round After-School & Youth,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article48-a.pdf
49,Schools,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article49.pdf
51,Children’s Institutions,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article51.pdf
71,Food and Drugs,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article71.pdf
81,Food Prep and Food Establishments,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article81.pdf
88,Temporary Food Establishments,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article88.pdf
89,Mobile Food Vending,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article89.pdf
115,Formula Preparation,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article115.pdf
121,Other Food Establishments,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article121.pdf
131,Buildings Generally,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article131.pdf
139,Public Transportation Facilities,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article139.pdf
141,Drinking Water,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article141.pdf
143,Disposal of Sewage,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article143.pdf
151,"Rodents, Insects, other pests",http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article151.pdf
153,Littering and Disposal of Refuse,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article153.pdf
161,Animals,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article161.pdf
163,Barber Shops,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article163.pdf
165,Bathing Establishments,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article165.pdf
167,Bathing Beaches,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article167.pdf
173,Hazardous Substances,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article173.pdf
175,Radiation Control,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article175.pdf
181,Protection of Public Health Generally,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article181.pdf
201,Births,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article201.pdf
203,Termination of Pregnancy,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article203.pdf
205,Deaths and Disposal of Human Remains,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article205.pdf
207,General Vital Statistics Provisions,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-article207.pdf
