DBN,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
84K355,5,2006,All Students,72,664,1,1.4,24,33.3,41,56.9,6,8.3,47,65.3
84K355,5,2007,All Students,64,688,0,0,4,6.3,44,68.8,16,25,60,93.8
84K355,5,2008,All Students,76,688,1,1.3,2,2.6,50,65.8,23,30.3,73,96.1
84K355,5,2009,All Students,52,703,0,0,0,0,21,40.4,31,59.6,52,100
84K355,5,2010,All Students,79,692,0,0,11,13.9,49,62,19,24.1,68,86.1
84K355,5,2011,All Students,79,696,1,1.3,12,15.2,39,49.4,27,34.2,66,83.5
84K355,5,2012,All Students,80,696,2,2.5,9,11.3,43,53.8,26,32.5,69,86.3
84K355,6,2007,All Students,58,701,0,0,0,0,29,50,29,50,58,100
84K355,6,2008,All Students,61,706,0,0,0,0,21,34.4,40,65.6,61,100
84K355,6,2009,All Students,63,706,0,0,0,0,18,28.6,45,71.4,63,100
84K355,6,2010,All Students,67,698,0,0,4,6,31,46.3,32,47.8,63,94
84K355,6,2011,All Students,71,714,0,0,2,2.8,14,19.7,55,77.5,69,97.2
84K355,6,2012,All Students,82,715,0,0,0,0,15,18.3,67,81.7,82,100
84K355,7,2008,All Students,48,704,0,0,0,0,18,37.5,30,62.5,48,100
84K355,7,2009,All Students,56,712,0,0,0,0,12,21.4,44,78.6,56,100
84K355,7,2010,All Students,57,711,0,0,1,1.8,10,17.5,46,80.7,56,98.2
84K355,7,2011,All Students,68,706,0,0,0,0,14,20.6,54,79.4,68,100
84K355,7,2012,All Students,69,707,0,0,0,0,13,18.8,56,81.2,69,100
84K355,8,2009,All Students,44,707,0,0,0,0,20,45.5,24,54.5,44,100
84K355,8,2010,All Students,53,704,0,0,2,3.8,25,47.2,26,49.1,51,96.2
84K355,8,2011,All Students,55,718,0,0,0,0,10,18.2,45,81.8,55,100
84K355,8,2012,All Students,62,715,0,0,0,0,12,19.4,50,80.6,62,100
84K355,All Grades,2006,All Students,72,,1,1.4,24,33.3,41,56.9,6,8.3,47,65.3
84K355,All Grades,2007,All Students,122,,0,0,4,3.3,73,59.8,45,36.9,118,96.7
84K355,All Grades,2008,All Students,185,,1,0.5,2,1.1,89,48.1,93,50.3,182,98.4
84K355,All Grades,2009,All Students,215,,0,0,0,0,71,33,144,67,215,100
84K355,All Grades,2010,All Students,256,,0,0,18,7,115,44.9,123,48,238,93
84K355,All Grades,2011,All Students,273,708,1,0.4,14,5.1,77,28.2,181,66.3,258,94.5
84K355,All Grades,2012,All Students,293,708,2,0.7,9,3.1,83,28.3,199,67.9,282,96.2
84K356,3,2008,All Students,85,714,0,0,0,0,40,47.1,45,52.9,85,100
84K356,3,2009,All Students,77,705,0,0,0,0,51,66.2,26,33.8,77,100
84K356,3,2010,All Students,86,700,0,0,20,23.3,43,50,23,26.7,66,76.7
84K356,3,2011,All Students,78,694,0,0,17,21.8,50,64.1,11,14.1,61,78.2
84K356,3,2012,All Students,69,697,0,0,10,14.5,46,66.7,13,18.8,59,85.5
84K356,4,2009,All Students,81,717,0,0,0,0,23,28.4,58,71.6,81,100
84K356,4,2010,All Students,76,692,1,1.3,14,18.4,41,53.9,20,26.3,61,80.3
84K356,4,2011,All Students,72,696,1,1.4,9,12.5,43,59.7,19,26.4,62,86.1
84K356,4,2012,All Students,70,699,1,1.4,10,14.3,31,44.3,28,40,59,84.3
84K356,5,2006,All Students,77,656,6,7.8,25,32.5,41,53.2,5,6.5,46,59.7
84K356,5,2007,All Students,75,667,3,4,20,26.7,39,52,13,17.3,52,69.3
84K356,5,2008,All Students,87,682,1,1.1,2,2.3,64,73.6,20,23,84,96.6
84K356,5,2009,All Students,91,684,2,2.2,4,4.4,63,69.2,22,24.2,85,93.4
84K356,5,2010,All Students,86,683,3,3.5,22,25.6,48,55.8,13,15.1,61,70.9
84K356,5,2011,All Students,57,693,3,5.3,9,15.8,28,49.1,17,29.8,45,78.9
84K356,5,2012,All Students,75,699,0,0,7,9.3,45,60,23,30.7,68,90.7
84K356,6,2007,All Students,81,667,5,6.2,19,23.5,47,58,10,12.3,57,70.4
84K356,6,2008,All Students,81,682,3,3.7,6,7.4,48,59.3,24,29.6,72,88.9
84K356,6,2009,All Students,87,687,0,0,3,3.4,62,71.3,22,25.3,84,96.6
84K356,6,2010,All Students,90,682,5,5.6,19,21.1,50,55.6,16,17.8,66,73.3
84K356,6,2011,All Students,73,703,0,0,8,11,24,32.9,41,56.2,65,89
84K356,6,2012,All Students,78,694,0,0,9,11.5,43,55.1,26,33.3,69,88.5
84K356,7,2008,All Students,72,672,0,0,11,15.3,50,69.4,11,15.3,61,84.7
84K356,7,2009,All Students,81,677,1,1.2,7,8.6,57,70.4,16,19.8,73,90.1
84K356,7,2010,All Students,81,677,4,4.9,24,29.6,34,42,19,23.5,53,65.4
84K356,7,2011,All Students,69,690,3,4.3,12,17.4,26,37.7,28,40.6,54,78.3
84K356,7,2012,All Students,74,698,2,2.7,7,9.5,15,20.3,50,67.6,65,87.8
84K356,8,2009,All Students,68,682,0,0,7,10.3,50,73.5,11,16.2,61,89.7
84K356,8,2010,All Students,74,674,4,5.4,30,40.5,35,47.3,5,6.8,40,54.1
84K356,8,2011,All Students,64,692,0,0,8,12.5,43,67.2,13,20.3,56,87.5
84K356,8,2012,All Students,60,705,0,0,1,1.7,31,51.7,28,46.7,59,98.3
84K356,All Grades,2006,All Students,77,,6,7.8,25,32.5,41,53.2,5,6.5,46,59.7
84K356,All Grades,2007,All Students,156,,8,5.1,39,25,86,55.1,23,14.7,109,69.9
84K356,All Grades,2008,All Students,325,,4,1.2,19,5.8,202,62.2,100,30.8,302,92.9
84K356,All Grades,2009,All Students,485,,3,0.6,21,4.3,306,63.1,155,32,461,95.1
84K356,All Grades,2010,All Students,493,,17,3.4,129,26.2,251,50.9,96,19.5,347,70.4
84K356,All Grades,2011,All Students,413,695,7,1.7,63,15.3,214,51.8,129,31.2,343,83.1
84K356,All Grades,2012,All Students,426,698,3,0.7,44,10.3,211,49.5,168,39.4,379,89
84K357,5,2006,All Students,67,688,0,0,4,6,40,59.7,23,34.3,63,94
