DFTA ID,Program Name,Date From,Date To,Time From,Time to,Site Address,Borough,Zip Code
13V,ARTURO SCHOMBERG SENIOR CENTER,01/28/2013,02/01/2013,9,4,1315 FRANKLIN AVENUE,BRONX,10456
13J,BRONX HOUSE SENIOR CENTER,01/28/2013,02/01/2013,9,4,990 PELHAM PARKWAY SOUTH,BRONX,10461
13T,BRONX RIVER SENIOR CENTER,01/28/2013,02/01/2013,9,4,1619 EAST 174TH STREET,BRONX,10472
13L,BRONXWORKS E ROBERTS MOORE SENIOR CENTER,01/28/2013,02/01/2013,9,4,515 JACKSON AVENUE,BRONX,10455
13M,BRONXWORKS EAST CONCOURSE SENIOR CENTER,01/28/2013,02/01/2013,9,4,236 EAST TREMONT AVENUE,BRONX,10457
13K,BRONXWORKS HEIGHTS SENIOR CENTER,01/28/2013,02/01/2013,9,4,200 WEST TREMONT AVENUE,BRONX,10453
13G,BRONXWORKS MORRIS INNOVATIVE SR CENTER,01/28/2013,02/01/2013,9,4,80 EAST 181ST STREET,BRONX,10453
11R01,CITY ISLAND SENIOR CENTER,01/28/2013,02/01/2013,9,4,160 PILOT STREET,BRONX,10464
14A,CONCOURSE WELLNESS CENTER,01/28/2013,02/01/2013,9,4,900 GRAND CONCOURSE,BRONX,10451
13Z,CO-OP CITY SENIOR CENTER,01/28/2013,02/01/2013,9,4,2049 BARTOW AVENUE,BRONX,10475
14D,DREISER SENIOR CENTER,01/28/2013,02/01/2013,9,4,177 DREISER LOOP,BRONX,10475
13S,HOPE OF ISRAEL SENIOR CENTER,01/28/2013,02/01/2013,9,4,1068 GERARD AVENUE,BRONX,10452
13X,IPR/HE BETANCES SENIOR CENTER,01/28/2013,02/01/2013,9,4,787 E. 149TH ST. (temporary),BRONX,10454
13U,JAMES MONROE SENIOR CENTER,01/28/2013,02/01/2013,9,4,1776 STORY AVENUE,BRONX,10473
14C,JASA BAY-EDEN SENIOR CENTER,01/28/2013,02/01/2013,9,4,1220 EAST 229TH STREET,BRONX,10466
14E,JASA THROGS NECK SENIOR CENTER,01/28/2013,02/01/2013,9,4,2705 SCHLEY AVENUE,BRONX,10465
14F,KIPS BAY CASTLE HILL SENIOR CENTER,01/28/2013,02/01/2013,9,4,625 CASTLE HILL AVENUE,BRONX,10473
13N,MARBLE HILL SENIOR CENTER,01/28/2013,02/01/2013,9,4,5365 BROADWAY,BRONX,10463
13R,MELROSE MOTT HAVEN SENIOR CENTER,01/28/2013,02/01/2013,9,4,372 EAST 152ND STREET,BRONX,10455
13Q,MITCHELL HOUSES,01/28/2013,02/01/2013,9,4,188 LINCOLN AVENUE,BRONX,10454
13P,MOSHOLU MONTEFIORE SENIOR CENTER,01/28/2013,02/01/2013,9,4,3450 DEKALB AVENUE,BRONX,10467
15A,MT CARMEL CENTER FOR SR CITIZENS,01/28/2013,02/01/2013,9,4,2405 SOUTHERN BOULEVARD,BRONX,10458
14G,NEIGHBORHOOD SHOPP CASA BORICUA SR CTR,01/28/2013,02/01/2013,9,4,910 EAST 172ND STREET,BRONX,10460
14H,NEIGHBORHOOD SHOPP LEON SENIOR CENTER,01/28/2013,02/01/2013,9,4,735 EAST 152ND STREET,BRONX,10455
14J,NORTHEAST BRONX SENIOR CITIZEN CENTER,01/28/2013,02/01/2013,9,4,2968 BRUCKNER BOULEVARD,BRONX,10465
14K,PARKSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,644 ADEE AVENUE,BRONX,10467
14L,PSS ANDREW JACKSON SENIOR CENTER,01/28/2013,02/01/2013,9,4,325 EAST 156TH STREET,BRONX,10451
14N,PSS HIGHBRIDGE SENIOR CENTER,01/28/2013,02/01/2013,9,4,1181 NELSON AVENUE,BRONX,10452
14M,PSS-DAVIDSON SENIOR CENTER,01/28/2013,02/01/2013,9,4,950 UNION AVENUE,BRONX,10459
14V,RAIN BOSTON EAST SENIOR CENTER,01/28/2013,02/01/2013,9,4,3450 BOSTON RD,BRONX,10469
14U,RAIN BOSTON ROAD SENIOR CENTER,01/28/2013,02/01/2013,9,4,2424 BOSTON RD,BRONX,10467
14X,RAIN BOSTON SECOR SENIOR CENTER,01/28/2013,02/01/2013,9,4,3540 BIVONA ST,BRONX,10475
14Q,RAIN EASTCHESTER SENIOR CENTER,01/28/2013,02/01/2013,9,4,1246 BURKE AVE,BRONX,10469
14P,RAIN GUNHILL SENIOR CENTER,01/28/2013,02/01/2013,9,4,3377 WHITE PLAINS RD,BRONX,10467
14R,RAIN MIDDLETOWN SENIOR CENTER,01/28/2013,02/01/2013,9,4,3035 MIDDLETOWN RD,BRONX,10461
14S,RAIN NEREID SENIOR CENTER,01/28/2013,02/01/2013,9,4,720 NEREID AVE,BRONX,10466
14T,RAIN PARKCHESTER SENIOR CENTER,01/28/2013,02/01/2013,9,4,1380 METROPOLITAN AVE,BRONX,10462
14Y,RIVERDALE SENIOR CENTER,01/28/2013,02/01/2013,9,4,2600 NETHERLAND AVENUE,BRONX,10463
15C,RIVERDALE Y SENIOR CENTER,01/28/2013,02/01/2013,9,4,5625 ARLINGTON AVENUE,BRONX,10471
14Z,SEBCO SENIOR PROGRAMS,01/28/2013,02/01/2013,9,4,887 SOUTHERN BOULEVARD,BRONX,10459
13H,SISTER ANNUNCIATA BETHEL SENIOR CENTER,01/28/2013,02/01/2013,9,4,243 EAST 204TH STREET,BRONX,10458
14B,THOMAS L. GUESS COMMUNITY SENIOR CENTER,01/28/2013,02/01/2013,9,4,2070 CLINTON AVENUE,BRONX,10457
13Y,VAN CORTLANDT SENIOR CENTER,01/28/2013,02/01/2013,9,4,3880 SEDGWICK AVENUE,BRONX,10463
15B,WILLIAM HODSON SENIOR CENTER,01/28/2013,02/01/2013,9,4,1320 WEBSTER AVENUE,BRONX,10456
27A,ABE STARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,10315 FARRAGUT ROAD,BROOKLYN,11236
23U,AMICO 59TH STREET SENIOR CENTER,01/28/2013,02/01/2013,9,4,5901 13TH AVENUE,BROOKLYN,11219
24T,BAY RIDGE CENTER FOR OLDER ADULTS,01/28/2013,02/01/2013,9,4,411 OVINGTON AVENUE,BROOKLYN,11209
24V,BCA 6TH AVENUE SENIOR CENTER,01/28/2013,02/01/2013,9,4,545 60TH STREET,BROOKLYN,11220
25N,BENSONHURST SENIOR CENTER,01/28/2013,02/01/2013,9,4,7802 BAY PARKWAY,BROOKLYN,11214
24S,BERGEN BEACH YOUTH ORGANIZATION INC.,01/28/2013,02/01/2013,9,4,2335 BERGEN AVENUE,BROOKLYN,11234
270,BORINQUEN PLAZA NUTRITION CENTER,01/28/2013,02/01/2013,9,4,80 SEIGEL STREET,BROOKLYN,11206
22U,BORO PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,5602 11TH AVENUE,BROOKLYN,11219
24U,BORO PARK YM-YWHA SENIOR CENTER,01/28/2013,02/01/2013,9,4,4912 14TH AVENUE,BROOKLYN,11219
23Q,BROOKDALE SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,817 AVENUE H,BROOKLYN,11230
24Y,CCNS GLENWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,5701 AVENUE H,BROOKLYN,11234
25F,CCNS MCGUINESS NORTHSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,715 LEONARD STREET,BROOKLYN,11222
258,CCNS NARROWS SENIOR CENTER,01/28/2013,02/01/2013,9,4,1230 63RD STREET,BROOKLYN,11219
25E,CCNS NORTHSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,179 NORTH 6TH STREET,BROOKLYN,11211
25H,CCNS SAINT LOUIS SENIOR CENTER,01/28/2013,02/01/2013,9,4,230 KINGSTON AVENUE,BROOKLYN,11213
25G,CCNS ST CHARLES JUBILEE SENIOR CENTER,01/28/2013,02/01/2013,9,4,55 PIERREPONT STREET,BROOKLYN,11201
24X,CCNS THE BAY SENIOR CENTER,01/28/2013,02/01/2013,9,4,3643 NOSTRAND AVENUE,BROOKLYN,11229
25Q,CHRISTOPHER C BLENMAN SENIOR CENTER,01/28/2013,02/01/2013,9,4,720 EAST NEW YORK AVENUE,BROOKLYN,11203
26U,COUNCIL CENTER FOR SENIOR CITIZENS,01/28/2013,02/01/2013,9,4,1001 QUENTIN ROAD,BROOKLYN,11223
25L,CYPRESS HILLS FULTON ST SR CENTER,01/28/2013,02/01/2013,9,4,3208 FULTON STREET,BROOKLYN,11208
277,DIANA JONES SENIOR CENTER,01/28/2013,02/01/2013,9,4,9 NOLL STREET,BROOKLYN,11206
25M,DORCHESTER SENIOR CENTER,01/28/2013,02/01/2013,9,4,1419 DORCHESTER ROAD,BROOKLYN,11226
25P,F0RT GREENE ALBANY SENIOR CENTER,01/28/2013,02/01/2013,9,4,196 ALBANY AVENUE,BROOKLYN,11213
25Z,FGC TERESA MOORE SENIOR CENTER,01/28/2013,02/01/2013,9,4,2702 LINDEN BOULEVARD,BROOKLYN,11208
25T,FORT GREENE HAZEL BROOKS SENIOR CENTER,01/28/2013,02/01/2013,9,4,951-963 OCEAN AVENUE,BROOKLYN,11226
25S,FT GREENE GRANT SQUARE SENIOR CENTER,01/28/2013,02/01/2013,9,4,19 GRANT SQUARE,BROOKLYN,11216
25Y,FT GREENE STUYVESANT HEIGHTS SENIOR CTR,01/28/2013,02/01/2013,9,4,69 MCDONOUGH STREET,BROOKLYN,11216
25R,GRACE AGARD HAREWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,966 FULTON STREET,BROOKLYN,11238
25V,H GILROY SENIOR CENTER,01/28/2013,02/01/2013,9,4,447 KINGSBOROUGH 4th WALK,BROOKLYN,11233
27V,HOPE GARDENS SENIOR CENTER,01/28/2013,02/01/2013,9,4,195 LINDEN STREET,BROOKLYN,11221
22W,HOUSE OF JACOB SENIOR CENTER,01/28/2013,02/01/2013,9,4,6222 23RD AVENUE,BROOKLYN,11204
24R,INDEPENDENCE TOWERS ACTIVE ADULTS,01/28/2013,02/01/2013,9,4,114 TAYLOR STREET,BROOKLYN,11211
26J,JASA HES SENIOR CENTER,01/28/2013,02/01/2013,9,4,9502 SEAVIEW AVENUE,BROOKLYN,11236
26K,JASA LUNA PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,2880 WEST 12TH STREET,BROOKLYN,11224
26H,JASA MANHATTAN BEACH SENIOR CENTER,01/28/2013,02/01/2013,9,4,60 WEST END AVENUE,BROOKLYN,11235
26L,JASA SCHEUER HOUSE OF CONEY ISL SR CTR,01/28/2013,02/01/2013,9,4,3601 SURF AVENUE,BROOKLYN,11224
26M,JASA SENIOR ALLIANCE SENIOR CENTER,01/28/2013,02/01/2013,9,4,161 CORBIN PLACE,BROOKLYN,11235
26N,JASA SHOREFRONT SENIOR CENTER,01/28/2013,02/01/2013,9,4,3300 CONEY ISLAND AVENUE,BROOKLYN,11235
26P,JASA STARRETT CITY SENIOR CENTER,01/28/2013,02/01/2013,9,4,1540 VAN SICLEN AVENUE,BROOKLYN,11239
26Q,JASA WILLIAMSBURG SENIOR CENTER,01/28/2013,02/01/2013,9,4,202 GRAHAM AVENUE,BROOKLYN,11206
26S,JAY SENIOR CENTER,01/28/2013,02/01/2013,9,4,2600 OCEAN AVENUE,BROOKLYN,11229
26Y,KRAKUS LUNCHEON CLUB SENIOR CENTER,01/28/2013,02/01/2013,9,4,176 JAVA STREET,BROOKLYN,11222
27E,LOS SURES SENIOR CENTER,01/28/2013,02/01/2013,9,4,201 SOUTH 4TH STREET,BROOKLYN,11211
25U,MARIA LAWTON SENIOR CENTER,01/28/2013,02/01/2013,9,4,400 HART STREET,BROOKLYN,11206
26T,MARLBORO SENIOR CENTER,01/28/2013,02/01/2013,9,4,2298 WEST 8TH STREET,BROOKLYN,11223
24M,MIDWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,4815 AVENUE I,BROOKLYN,11234
27D,MIDWOOD SENIOR LEAGUE SATELITE,01/28/2013,02/01/2013,9,4,1625 OCEAN AVENUE,BROOKLYN,11230
24Z,MOOSE LODGE SENIOR CENTER,01/28/2013,02/01/2013,9,4,77-11 18TH AVENUE,BROOKLYN,11214
26V,OCEAN PARKWAY SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,1960 EAST 7TH STREET,BROOKLYN,11223
26X,PARK SLOPE SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,463A 7TH STREET,BROOKLYN,11215
