Date,H.S. of E.F (100 Trinity Place),P.S. 234 (282 Grennwich St.),Stuyvesant H.S. (345 Chambers St.),I.S./P.S. 89 (201 Warren St.)
6/30/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/29/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/28/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/27/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/26/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/25/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/24/02,< 13.3 s/sqmm,--,< 13.3 s/sqmm,< 13.3 s/sqmm
6/23/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/22/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/21/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/20/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/19/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/18/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/17/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/16/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/15/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/14/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/13/02,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm,< 13.3 s/sqmm
6/12/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/11/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/10/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/9/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/8/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/7/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/6/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/5/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/4/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/3/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/2/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
6/1/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/31/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/30/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/29/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/28/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/27/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/26/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/25/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/24/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/23/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/22/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/21/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/20/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/19/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/18/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/17/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/16/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/15/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/14/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/13/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/12/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/11/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/10/02,< 14.3 s/sqmm,< 25 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/9/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/8/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/7/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/6/02,< 12.5 s/sqmm,< 12.5 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/5/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/4/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/3/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,14.3 s/sqmm
5/2/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/1/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/30/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/29/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/28/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/27/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/26/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/25/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/24/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
