Queens South,2005,2006,2007,2008,2009,Total
100th Precinct,28,33,44,37,40,182
101st Precinct,78,101,104,87,77,447
102nd Precinct,70,74,83,69,44,340
103rd Precinct,160,178,171,150,106,765
105th Precinct,86,112,85,53,90,426
106th Precinct,53,63,67,81,73,337
107th Precinct,55,58,42,50,55,260
113th Precinct,77,109,88,94,107,475
Queens South Total,607,728,684,621,592,3232
Queens North,,,,,,
104th Precinct,53,62,53,58,59,285
108th Precinct,49,47,38,44,44,222
109th Precinct,86,77,45,57,59,324
110th Precinct,78,69,58,72,63,340
111th Precinct,32,24,20,22,27,125
112th Precinct,29,31,32,23,22,137
114th Precinct,81,97,109,95,83,465
115th Precinct,87,69,68,74,91,389
Queens North Total,495,476,423,445,448,2287
Queens Total,1102,1204,1107,1066,1040,5519
