District,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
1,3,2006,Female,432,667,38,8.8,103,23.8,272,63,19,4.4,291,67.4
1,3,2006,Male,375,658,50,13.3,112,29.9,190,50.7,23,6.1,213,56.8
1,3,2007,Female,401,665,25,6.2,117,29.2,227,56.6,32,8,259,64.6
1,3,2007,Male,410,655,66,16.1,117,28.5,197,48,30,7.3,227,55.4
1,3,2008,Female,398,666,26,6.5,107,26.9,221,55.5,44,11.1,265,66.6
1,3,2008,Male,436,660,28,6.4,155,35.6,224,51.4,29,6.7,253,58
1,3,2009,Female,445,673,11,2.5,89,20,290,65.2,55,12.4,345,77.5
1,3,2009,Male,435,661,32,7.4,124,28.5,252,57.9,27,6.2,279,64.1
1,3,2010,Female,410,672,56,13.7,128,31.2,138,33.7,88,21.5,226,55.1
1,3,2010,Male,438,666,81,18.5,148,33.8,134,30.6,75,17.1,209,47.7
1,3,2011,Female,414,668,49,11.8,119,28.7,192,46.4,54,13,246,59.4
1,3,2011,Male,399,662,54,13.5,146,36.6,179,44.9,20,5,199,49.9
1,3,2012,Female,446,664,63,14.1,152,34.1,193,43.3,38,8.5,231,51.8
1,3,2012,Male,409,662,60,14.7,141,34.5,186,45.5,22,5.4,208,50.9
1,4,2006,Female,380,657,42,11.1,127,33.4,190,50,21,5.5,211,55.5
1,4,2006,Male,436,651,60,13.8,145,33.3,213,48.9,18,4.1,231,53
1,4,2007,Female,450,660,25,5.6,137,30.4,265,58.9,23,5.1,288,64
1,4,2007,Male,385,651,40,10.4,138,35.8,195,50.6,12,3.1,207,53.8
1,4,2008,Female,410,663,22,5.4,107,26.1,254,62,27,6.6,281,68.5
1,4,2008,Male,406,652,49,12.1,134,33,213,52.5,10,2.5,223,54.9
1,4,2009,Female,393,668,17,4.3,80,20.4,267,67.9,29,7.4,296,75.3
1,4,2009,Male,431,661,23,5.3,126,29.2,260,60.3,22,5.1,282,65.4
1,4,2010,Female,444,672,37,8.3,178,40.1,196,44.1,33,7.4,229,51.6
