BOROUGH,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,Kindergarten             ,,21.1
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,1,,21.8
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,2,,21.3
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,3,,21
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,4,,23
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,5,,24.2
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,6,,25.6
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,7,,26.5
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION ,8,,26.4
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,9,ENGLISH,26.5
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,9,MATH   ,26.9
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,9,SOCIAL STUDIES,27.9
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,9,SCIENCE,27.6
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,10,ENGLISH,27.1
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,10,MATH   ,26.8
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,10,SOCIAL STUDIES,27.6
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,10,SCIENCE,27.5
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,11,ENGLISH,25.9
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,11,MATH   ,26.1
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,11,SOCIAL STUDIES,26.9
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,11,SCIENCE,26.6
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,12,ENGLISH,26.2
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,12,MATH   ,25.5
"BRONX, NY
(40.82557699997852, -73.91844899972153)",GENERAL EDUCATION,12,SOCIAL STUDIES,27.1
