Manhattan South,2005,2006,2007,2008,2009,Total
1st Precinct,10,16,25,16,10,77
5th Precinct,22,22,18,14,18,94
6th Precinct,26,35,45,27,31,164
7th Precinct,18,14,20,20,31,103
9th Precinct,23,28,36,31,27,145
10th Precinct,19,32,28,29,20,128
13th Precinct,22,28,25,22,19,116
Midtown South,69,80,61,60,37,307
17th Precinct,21,23,19,14,18,95
Midtown North,36,45,45,33,28,187
Precincts Total,266,323,322,266,239,1416
Task Force,13,16,7,11,14,61
Borough HQ,5,3,2,2,1,13
Anti-crime Unit,11,10,10,11,7,49
Patrol Borough Manhattan South Total,295,352,341,290,261,1539
