GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN PROGRAM / GRADE / SUBJECT
0K,GEN ED / CTT / G&T,-,-,<15,94,1100,2%
0K,GEN ED / CTT / G&T,-,-,15,46,690,1%
0K,GEN ED / CTT / G&T,-,-,16,59,944,1%
0K,GEN ED / CTT / G&T,-,-,17,104,1768,3%
0K,GEN ED / CTT / G&T,-,-,18,149,2682,4%
0K,GEN ED / CTT / G&T,-,-,19,185,3515,5%
0K,GEN ED / CTT / G&T,-,-,20,263,5260,8%
0K,GEN ED / CTT / G&T,-,-,21,279,5859,8%
0K,GEN ED / CTT / G&T,-,-,22,338,7436,11%
0K,GEN ED / CTT / G&T,-,-,23,374,8602,12%
0K,GEN ED / CTT / G&T,-,-,24,405,9720,14%
0K,GEN ED / CTT / G&T,-,-,25,608,15200,22%
0K,GEN ED / CTT / G&T,-,-,26,119,3094,4%
0K,GEN ED / CTT / G&T,-,-,27,65,1755,3%
0K,GEN ED / CTT / G&T,-,-,28,38,1064,2%
0K,GEN ED / CTT / G&T,-,-,29,15,435,1%
0K,GEN ED / CTT / G&T,-,-,30,6,180,0%
0K,GEN ED / CTT / G&T,-,-,>34,1,54,0%
01,GEN ED / CTT / G&T,-,-,<15,62,774,1%
01,GEN ED / CTT / G&T,-,-,15,43,645,1%
01,GEN ED / CTT / G&T,-,-,16,50,800,1%
01,GEN ED / CTT / G&T,-,-,17,92,1564,2%
01,GEN ED / CTT / G&T,-,-,18,124,2232,3%
01,GEN ED / CTT / G&T,-,-,19,178,3382,5%
01,GEN ED / CTT / G&T,-,-,20,226,4520,6%
01,GEN ED / CTT / G&T,-,-,21,251,5271,7%
01,GEN ED / CTT / G&T,-,-,22,326,7172,10%
01,GEN ED / CTT / G&T,-,-,23,335,7705,11%
01,GEN ED / CTT / G&T,-,-,24,361,8664,12%
01,GEN ED / CTT / G&T,-,-,25,338,8450,12%
01,GEN ED / CTT / G&T,-,-,26,269,6994,10%
01,GEN ED / CTT / G&T,-,-,27,173,4671,7%
01,GEN ED / CTT / G&T,-,-,28,139,3892,5%
01,GEN ED / CTT / G&T,-,-,29,80,2320,3%
01,GEN ED / CTT / G&T,-,-,30,44,1320,2%
01,GEN ED / CTT / G&T,-,-,31,21,651,1%
01,GEN ED / CTT / G&T,-,-,32,20,640,1%
01,GEN ED / CTT / G&T,-,-,33,2,66,0%
01,GEN ED / CTT / G&T,-,-,34,2,68,0%
01,GEN ED / CTT / G&T,-,-,>34,1,39,0%
02,GEN ED / CTT / G&T,-,-,<15,66,782,1%
02,GEN ED / CTT / G&T,-,-,15,38,570,1%
02,GEN ED / CTT / G&T,-,-,16,53,848,1%
02,GEN ED / CTT / G&T,-,-,17,87,1479,2%
02,GEN ED / CTT / G&T,-,-,18,101,1818,3%
02,GEN ED / CTT / G&T,-,-,19,131,2489,4%
02,GEN ED / CTT / G&T,-,-,20,196,3920,6%
02,GEN ED / CTT / G&T,-,-,21,223,4683,7%
02,GEN ED / CTT / G&T,-,-,22,264,5808,8%
02,GEN ED / CTT / G&T,-,-,23,302,6946,10%
02,GEN ED / CTT / G&T,-,-,24,352,8448,12%
02,GEN ED / CTT / G&T,-,-,25,330,8250,12%
02,GEN ED / CTT / G&T,-,-,26,258,6708,10%
02,GEN ED / CTT / G&T,-,-,27,210,5670,8%
02,GEN ED / CTT / G&T,-,-,28,167,4676,7%
02,GEN ED / CTT / G&T,-,-,29,97,2813,4%
