Division Name,Department Name
Legal Division,Administrative Law
Legal Division,Affirmative Litigation
Legal Division,Appeals
Legal Division,Commercial and Real Estate Litigation
Legal Division,Contracts and Real Estate
Legal Division,Economic Development
Legal Division,Environmental Law
Legal Division,Family Court
Legal Division,General Litigation
Legal Division,Labor and Employment Law
Legal Division,Legal Counsel
Legal Division,Municipal Finance
Legal Division,Pensions
Legal Division,Special Federal Litigation
Legal Division,Tax and Bankruptcy
Legal Division,Tort
Legal Division,Workers' Compensation
Support Division,Administration
Support Division,Information Technology
Support Division,Operations
