PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Jobs & Internships,In-School Youth Employment (ISY),Henry Street Settlement,New York,Henry Street Settlement,212.766.9200,High School,"301 Henry Street
New York, NEW YORK 10002
(40.71399949305981, -73.98339877304709)"
Jobs & Internships,In-School Youth Employment (ISY),City As School,New York,"Federation Employment and Guidance Service, Inc.",212.366.8441,High School,"16 Clarkson Street
New York, NEW YORK 10014
(40.72940690922735, -74.00607060920572)"
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council/Manhattan,New York,Chinese American Planning Council,212.941.0920,High School,"100 Hester Street
New York, NEW YORK 10002
(40.71645702482035, -73.99286250634624)"
Jobs & Internships,In-School Youth Employment (ISY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,High School,"121 6th Avenue
New York, NEW YORK 10013
(40.72398399739069, -74.00464968039944)"
Jobs & Internships,In-School Youth Employment (ISY),Employment & Technology Center (ETC),New York,"Harlem Children's Zone, Inc",212.534.0700,High School,"304 117th Street
New York, NEW YORK 10026
(40.805145122337365, -73.95504759955925)"
Jobs & Internships,In-School Youth Employment (ISY),Washington Houses Community Center,New York,Union Settlement Association,212.828.6018,High School,"1775 Third Avenue
New York, NEW YORK 10029
(40.7870466388226, -73.94792934815561)"
Jobs & Internships,In-School Youth Employment (ISY),"Children's Arts & Science Workshops, Inc.",New York,"Children's Arts & Science Workshops, Inc.",212.923.7766,High School,"4271 Broadway
New York, NEW YORK 10033
(40.85074343742053, -73.93544685024483)"
Jobs & Internships,In-School Youth Employment (ISY),"Children's Arts & Science Workshops, Inc.",New York,"Children's Arts & Science Workshops, Inc.",212.923.7766,High School,"686 204th Street
New York, NEW YORK 10034
(40.86801941360335, -73.92376465708418)"
Jobs & Internships,In-School Youth Employment (ISY),"Harlem Children's Zone, Inc",New York,"Harlem Children's Zone, Inc",212.534.0700,High School,"35 125th Street
New York, NEW YORK 10035
(40.80596750958526, -73.9411236532852)"
Jobs & Internships,In-School Youth Employment (ISY),East Harlem Council For Community Improvement,New York,East Harlem Council For Community Improvement,212.410.7707,High School,"413 120th Street
New York, NEW YORK 10035
(40.79820504446883, -73.93266794517427)"
Jobs & Internships,In-School Youth Employment (ISY),New York City Mission Society,New York,New York City Mission Society,212.979.5764,High School,"646 Malcolm X Boulevard
New York, NEW YORK 10037
(40.818574610432336, -73.93746544310494)"
Jobs & Internships,In-School Youth Employment (ISY),"Stanley M. Isaacs Neighborhood Center, Inc.",New York,"Stanley M. Isaacs Neighborhood Center, Inc.",212.360.7620,High School,"415 93rd Street
New York, NEW YORK 10128
(40.7812386658001, -73.94580276497054)"
Jobs & Internships,In-School Youth Employment (ISY),Police Athletic League (PAL),Queens,"Police Athletic League, Inc.",212.477.6504,High School,"55 Layton Avenue
Queens, NEW YORK 10301
(40.6415823266761, -74.08535650074658)"
