Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,ELL,3754,645,876,23.3,1037,27.6,1639,43.7,202,5.4,1841,49
BRONX,3,2006,EP,12691,669,1186,9.3,2220,17.5,6979,55,2306,18.2,9285,73.2
BRONX,3,2007,ELL,3726,659,489,13.1,908,24.4,1953,52.4,376,10.1,2329,62.5
BRONX,3,2007,EP,12463,678,756,6.1,1732,13.9,7043,56.5,2932,23.5,9975,80
BRONX,3,2008,ELL,3311,666,205,6.2,620,18.7,2242,67.7,244,7.4,2486,75.1
BRONX,3,2008,EP,12325,680,465,3.8,1441,11.7,8205,66.6,2214,18,10419,84.5
BRONX,3,2009,ELL,3370,672,95,2.8,523,15.5,2417,71.7,335,9.9,2752,81.7
BRONX,3,2009,EP,12439,684,163,1.3,1043,8.4,8878,71.4,2355,18.9,11233,90.3
BRONX,3,2010,ELL,3696,673,975,26.4,1642,44.4,839,22.7,240,6.5,1079,29.2
BRONX,3,2010,EP,12170,686,1663,13.7,4695,38.6,3790,31.1,2022,16.6,5812,47.8
BRONX,3,2011,ELL,3518,671,936,26.6,1666,47.4,856,24.3,60,1.7,916,26
BRONX,3,2011,EP,12302,681,1630,13.2,4962,40.3,4897,39.8,813,6.6,5710,46.4
BRONX,3,2012,ELL,3366,671,957,28.4,1501,44.6,847,25.2,61,1.8,908,27
BRONX,3,2012,EP,12697,682,1734,13.7,4932,38.8,5124,40.4,907,7.1,6031,47.5
BRONX,4,2006,ELL,3004,635,899,29.9,983,32.7,1033,34.4,89,3,1122,37.4
BRONX,4,2006,EP,12794,664,1313,10.3,2942,23,6669,52.1,1870,14.6,8539,66.7
BRONX,4,2007,ELL,3408,644,778,22.8,1092,32,1392,40.8,146,4.3,1538,45.1
BRONX,4,2007,EP,12658,667,1128,8.9,2683,21.2,6810,53.8,2037,16.1,8847,69.9
BRONX,4,2008,ELL,3223,653,469,14.6,865,26.8,1735,53.8,154,4.8,1889,58.6
BRONX,4,2008,EP,12522,671,935,7.5,2078,16.6,7275,58.1,2234,17.8,9509,75.9
BRONX,4,2009,ELL,3084,664,328,10.6,639,20.7,1775,57.6,342,11.1,2117,68.6
BRONX,4,2009,EP,12447,681,703,5.6,1549,12.4,6856,55.1,3339,26.8,10195,81.9
BRONX,4,2010,ELL,3312,661,583,17.6,1733,52.3,799,24.1,197,5.9,996,30.1
BRONX,4,2010,EP,12594,677,941,7.5,5247,41.7,4433,35.2,1973,15.7,6406,50.9
BRONX,4,2011,ELL,3469,661,629,18.1,1742,50.2,961,27.7,137,3.9,1098,31.7
BRONX,4,2011,EP,12443,679,902,7.2,4657,37.4,4839,38.9,2045,16.4,6884,55.3
BRONX,4,2012,ELL,3280,662,632,19.3,1510,46,908,27.7,230,7,1138,34.7
BRONX,4,2012,EP,12093,681,820,6.8,4242,35.1,4658,38.5,2373,19.6,7031,58.1
BRONX,5,2006,ELL,2904,628,1019,35.1,1127,38.8,714,24.6,44,1.5,758,26.1
BRONX,5,2006,EP,13489,651,1956,14.5,4413,32.7,5984,44.4,1136,8.4,7120,52.8
BRONX,5,2007,ELL,2946,635,787,26.7,1145,38.9,942,32,72,2.4,1014,34.4
BRONX,5,2007,EP,13314,661,1173,8.8,3736,28.1,6860,51.5,1545,11.6,8405,63.1
BRONX,5,2008,ELL,2774,647,434,15.6,882,31.8,1341,48.3,117,4.2,1458,52.6
BRONX,5,2008,EP,12988,668,802,6.2,2563,19.7,7616,58.6,2007,15.5,9623,74.1
BRONX,5,2009,ELL,2927,658,243,8.3,776,26.5,1632,55.8,276,9.4,1908,65.2
BRONX,5,2009,EP,12572,677,421,3.3,1816,14.4,7158,56.9,3177,25.3,10335,82.2
BRONX,5,2010,ELL,3009,658,604,20.1,1553,51.6,704,23.4,148,4.9,852,28.3
BRONX,5,2010,EP,12511,676,1115,8.9,4773,38.2,4627,37,1996,16,6623,52.9
BRONX,5,2011,ELL,2999,658,676,22.5,1501,50.1,734,24.5,88,2.9,822,27.4
BRONX,5,2011,EP,12707,679,885,7,4590,36.1,5382,42.4,1850,14.6,7232,56.9
BRONX,5,2012,ELL,3066,658,716,23.4,1408,45.9,769,25.1,173,5.6,942,30.7
BRONX,5,2012,EP,12658,680,1145,9,4125,32.6,4875,38.5,2513,19.9,7388,58.4
BRONX,6,2006,ELL,2486,611,1266,50.9,834,33.5,367,14.8,19,0.8,386,15.5
BRONX,6,2006,EP,13345,641,2829,21.2,4764,35.7,5100,38.2,652,4.9,5752,43.1
BRONX,6,2007,ELL,2644,625,966,36.5,999,37.8,631,23.9,48,1.8,679,25.7
BRONX,6,2007,EP,12978,651,1896,14.6,4129,31.8,5885,45.3,1068,8.2,6953,53.6
BRONX,6,2008,ELL,2468,637,539,21.8,947,38.4,912,37,70,2.8,982,39.8
BRONX,6,2008,EP,12907,657,1298,10.1,3460,26.8,6629,51.4,1520,11.8,8149,63.1
BRONX,6,2009,ELL,2556,647,405,15.8,873,34.2,1177,46,101,4,1278,50
BRONX,6,2009,EP,12884,666,826,6.4,2983,23.2,7208,55.9,1867,14.5,9075,70.4
