BID Business Name,BID Street Num.,BID Street Name,BID Block,BID Lot,BID Floor,BID City,BID Zip,BID Business Tel,BID Business Website,Location 1
Chase ,177,Montague Street,244,17,1st,Brooklyn,11201,718-935-9935 ,www.chase.com,"177 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Citibank ,181,Montague Street,244,15,1st,Brooklyn,11201,718-852-1017,www.citibank.com,"181 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Chipotle Mexican Grill ,185,Montague Street,244,13,1st,Brooklyn,11201,718-243-9109 ,www.chipotle.com,"185 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Cohens Fashion Optical ,189,Montague Street,244,11,1st,Brooklyn,11201,718-855-2333 ,www.cohensfashionoptical.com,"189 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Sovereign Bank ,195,Montague Street,244,1002,1st,Brooklyn,11201,718-722-5300 / 347-563-9641,www.sovereignbank.com,"195 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Bank of America ,205,Montague Street,244,1,1st,Brooklyn,11201,718-855-1406,www.bankofamerica.com,"205 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
TD Bank,205,Montague Street,244,1,1st,Brooklyn,11201,718-290-1200 ,www.commerceonline.com,"205 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Massey Knakal Realty Services ,205,Montague Street,244,1,2nd,Brooklyn,11201,718-238-8999 ,www.masseyknakal.com,"205 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Brown Harris Stevens ,129,Montague Street,243,22,1st,Brooklyn,11201,718-875-0100 ,www.brownharrisstevens.com,"129 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
City Chemist,129,Montague Street,243,22,1st,Brooklyn,11201,718-237-2489,www.city-chemist.com,"129 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Banana Republic ,135,Montague Street,243,20,1st,Brooklyn,11201,718-852-8742 ,www.bananarepublic.com,"135 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Heights Cleaners ,137,Montague Street,243,19,1st,Brooklyn,11201,718-834-0137,,"137 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
UPS Store ,137,Montague Street,243,19,2nd,Brooklyn,11201,718-802-0900 ,www.theupsstore.com,"137 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
La Traviata Restaurant ,139,Montague Street,243,18,1st,Brooklyn,11201,718-858-4100,,"139 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
