BN,SCHOOL NAME,PROGRESS REPORT TYPE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K036,P.S. 36,D75,A,C,None,None,None
K053,P.S. K053,D75,A,B,None,None,None
K140,P.S. K140,D75,F,D,None,None,None
K141,P.S. K141,D75,C,B,None,None,None
K231,P.S. K231,D75,B,C,None,None,None
K368,P.S. 368,D75,B,D,None,None,None
K369,P.S. K369 - Coy L. Cox School,D75,B,B,None,None,None
K372,P.S. 372 -The Children's School,D75,A,A,None,None,None
K771,P.S. K771,D75,B,A,None,None,None
M094,P.S. M094,D75,D,C,None,None,None
M138,P.S. 138,D75,None,A,None,None,None
M169,P.S. M169 - Robert F. Kennedy,D75,B,D,None,None,None
M811,P.S. M811 - Mickey Mantle School,D75,C,F,None,None,None
Q004,P.S. Q004,D75,A,A,None,None,None
Q009,P.S. 009,D75,A,B,None,None,None
Q023,P.S. Q023 @ Queens Children Center,D75,B,B,None,None,None
Q075,Robert E. Peary School,D75,A,C,None,None,None
Q224,P.S. Q224,D75,B,B,None,None,None
Q256,P.S. Q256,D75,A,A,None,None,None
R025,South Richmond High School I.S./P.S. 25,D75,C,B,None,None,None
R373,P.S. R373,D75,A,B,None,None,None
X010,P.S. X010,D75,B,A,None,None,None
X017,P.S. X017,D75,A,A,None,None,None
X168,P.S. 168,D75,C,D,None,None,None
X186,P186X Walter J. Damrosch School,D75,C,F,None,None,None
X188,P.S. X188,D75,D,C,None,None,None
X352,The Vida Bogart School for All Children,D75,C,B,None,None,None
X723,X723,D75,B,C,None,None,None
K249,P.S. 249 The Caton,EC,A,A,None,None,None
K361,P.S. 361 East Flatbush Early Childhood School,EC,C,C,None,None,None
K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,EC,B,None,None,None,None
K627,Brighter Choice Community School,EC,None,D,None,None,None
K628,Brooklyn Brownstone School,EC,None,None,None,None,None
K649,La Cima Charter School,EC,D,None,None,None,None
K651,PAVE Academy Charter School,EC,C,None,None,None,None
K652,Brooklyn Ascend Charter School,EC,None,B,None,None,None
K676,RED HOOK NEIGHBORHOOD SCHOOL,EC,None,None,None,None,None
K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,EC,None,None,None,None,None
K742,Explore Empower Charter School,EC,B,None,None,None,None
K782,Bedford Stuyvesant New Beginnings Charter School,EC,None,None,None,None,None
K791,Brooklyn Dreams Charter School,EC,None,None,None,None,None
M036,P.S. 036 Margaret Douglas,EC,None,B,None,None,None
M112,P.S. 112 Jose Celso Barbosa,EC,A,B,None,None,None
M178,Professor Juan Bosch Public School,EC,B,B,None,None,None
M185,P.S. 185 John M. Langston,EC,C,C,None,None,None
M382,DREAM Charter School,EC,C,None,None,None,None
M384,Harlem Success Academy 2 Charter School,EC,A,None,None,None,None
M385,Harlem Success Academy 3 Charter School,EC,A,None,None,None,None
M386,Harlem Success Academy 4 Charter School,EC,A,None,None,None,None
Q007,P.S. 007 Louis F. Simeone,EC,B,B,None,None,None
Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,EC,B,A,None,None,None
Q130,P.S. 130,EC,A,A,None,None,None
Q182,P.S. 182 Samantha Smith,EC,C,D,None,None,None
Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,EC,B,A,None,None,None
Q228,P.S. 228 Early Childhood Magnet School of the Arts,EC,A,A,None,None,None
Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,EC,A,A,None,None,None
Q244,The Active Learning Elementary School,EC,None,None,None,None,None
Q251,P.S. 251 Queens,EC,B,C,None,None,None
Q304,VOICE Charter School of New York,EC,B,None,None,None,None
Q305,Learners and Leaders,EC,C,None,None,None,None
Q306,New York City Academy for Discovery,EC,A,None,None,None,None
Q307,Pioneer Academy,EC,B,None,None,None,None
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,EC,None,None,None,None,None
Q341,Riverton Street Charter School,EC,None,None,None,None,None
R065,P.S. 65 The Academy of Innovative Learning,EC,B,None,None,None,None
X023,P.S. 023 The New Children's School,EC,B,C,None,None,None
X088,P.S. X088 - S. Silverstein Little Sparrow School,EC,B,B,None,None,None
X170,P.S. 170,EC,B,B,None,None,None
X207,P.S. 207,EC,C,C,None,None,None
X209,P.S. 209,EC,B,A,None,None,None
X236,P.S. 236 Langston Hughes,EC,C,B,None,None,None
