DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Not Student with Disability,60,38,7,11.70%,18.40%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Not Student with Disability,56,31,4,7.10%,12.90%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Student with Disability,18,5,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Student with Disability,21,10,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Not Student with Disability,99,48,16,16.20%,33.30%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Not Student with Disability,108,83,19,17.60%,22.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Student with Disability,25,5,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Student with Disability,42,16,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Not Student with Disability,71,43,14,19.70%,32.60%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Not Student with Disability,79,41,6,7.60%,14.60%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Student with Disability,13,4,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Student with Disability,16,6,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Not Student with Disability,192,105,63,32.80%,60.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Not Student with Disability,224,74,45,20.10%,60.80%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Student with Disability,1,0,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Student with Disability,11,0,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Not Student with Disability,44,44,41,93.20%,93.20%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Not Student with Disability,125,119,98,78.40%,82.40%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Student with Disability,2,2,s,s,s
