ID,Business Name,Trade Name,Facility Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Number of Spaces,Number of Bike Spaces
1,10 ST. PARKING CORP.,,Parking Lot,925245,"38 HENRY STREET, NEW YORK, NY 10002",38,HENRY STREET,NEW YORK,NY,10002,Manhattan,,(212) 575-5335,150,15
2,10 W 66TH ST GARAGE CORP,GGMC,Parking Garage,883451,"10 WEST   66 STREET, NEW YORK, NY 10023",10,WEST   66 STREET,NEW YORK,NY,10023,Manhattan,,(212) 996-6363,195,19
3,10 WEST 21ST LLC,,Parking Garage,1239839,"4 WEST   21 STREET, NEW YORK, NY 10010",4,WEST   21 STREET,NEW YORK,NY,10010,Manhattan,,(917) 305-0060,65,6
4,100 ML GARAGE CORP,,Parking Garage,1266177,"100 MAIDEN LANE, NEW YORK, NY 10038",100,MAIDEN LANE,NEW YORK,NY,10038,Manhattan,,(212) 736-7171,67,6
5,100 WILLIAM GARAGE CORP,,Parking Garage,1197266,"72 JOHN STREET, NEW YORK, NY 10038",72,JOHN STREET,NEW YORK,NY,10038,Manhattan,,(212) 736-7171,43,
6,101 WEST END PARKING LLC,,Parking Garage,1061198,"101 WEST END AVENUE, NEW YORK, NY 10023",101,WEST END AVENUE,NEW YORK,NY,10023,Manhattan,,(212) 686-9800,166,16
7,1010 6 AVE GARAGE CORP,,Parking Garage,1180712,"1010 6TH AVENUE, NEW YORK, NY 10018",1010,6TH AVENUE,NEW YORK,NY,10018,Manhattan,,(212) 736-7171,86,8
8,102 BRADHURST AVE. CORP,,Parking Garage,1262257,"102 BRADHURST AVENUE, NEW YORK, NY 10039",102,BRADHURST AVENUE,NEW YORK,NY,10039,Manhattan,,(212) 736-7171,41,
9,1020 PARKING LLC,,Parking Garage,1148651,"1020 GRAND CONCOURSE, BRONX, NY 10451",1020,GRAND CONCOURSE,BRONX,NY,10451,Other,,(212) 490-3460,292,20
10,1025 FIFTH GARAGE CORP,,Parking Garage,1025779,"1025 5 AVENUE, NEW YORK, NY 10028",1025,   5 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 736-7171,95,9
11,1050 GARAGE CORP,,Parking Garage,469779,"1050 5 AVENUE, NEW YORK, NY 10028",1050,   5 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 956-2280,49,
12,1056 5TH AVE PARKING LLC,,Parking Garage,429461,"1056 5 AVENUE, NEW YORK, NY 10028",1056,   5 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 686-9800,55,5
13,107 GARAGE CORP.,,Parking Garage,1146389,"107-109 WEST   13 STREET, NEW YORK, NY 10011",107-109,WEST   13 STREET,NEW YORK,NY,10011,Manhattan,,(212) 736-7171,96,9
14,11 EAST 86TH ST GARAGE CORP,,Parking Garage,367734,"11 EAST   86 STREET, NEW YORK, NY 10028",11,EAST   86 STREET,NEW YORK,NY,10028,Manhattan,,(212) 956-2280,22,
15,110 EAST 16TH STREET ASSOCIATES LLC,,Parking Garage,1135061,"110 EAST   16 STREET, NEW YORK, NY 10003",110,EAST   16 STREET,NEW YORK,NY,10003,Manhattan,,(212) 686-9800,275,20
16,110 GARAGE CORP.,,Parking Garage,1216678,"110 EAST END AVENUE, NEW YORK, NY 10028",110,EAST END AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 736-7171,40,
17,111 EIGHTH AVE PARKING LLC,,Parking Garage,1002786,"111 8 AVE, NEW YORK, NY 10011",111,   8 AVE,NEW YORK,NY,10011,Manhattan,,(212) 686-9800,625,24
18,1114 SIXTH PARKING LLC,,Parking Garage,1020999,"1114 6 AVENUE, NEW YORK, NY 10036",1114,   6 AVENUE,NEW YORK,NY,10036,Manhattan,,(212) 686-9800,188,18
19,1161 PARKING LOT CORP.,,Parking Lot,1179362,"1161 GARRISON AVENUE, BRONX, NY 10474",1161,GARRISON AVENUE,BRONX,NY,10474,Bronx,,(646) 271-6133,28,
20,"117TH STREET, CORP",,Parking Garage,1193449,"220 EAST  117 STREET, NEW YORK, NY 10035",220,EAST  117 STREET,NEW YORK,NY,10035,Manhattan,,(212) 987-4400,100,10
21,118 E. 86TH STREET PARKING LLC,,Parking Lot,1308596,"118 EAST   86 STREET, NEW YORK, NY 10028",118,EAST   86 STREET,NEW YORK,NY,10028,Manhattan,,(212) 831-2700,184,18
22,118 PARKING CORP,,Parking Garage,1180717,"1682 PARK AVENUE, NEW YORK, NY 10035",1682,PARK AVENUE,NEW YORK,NY,10035,Manhattan,,(212) 736-7171,52,5
