Complaint Number,Status,Date Entered,Address,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date
1307727,ACTIVE,08/15/2011 12:00:00 AM,25 GREAT JONES STREET,1080067,102,,1G,STALL,04/05/2013 12:00:00 AM,S4,04/05/2013 12:00:00 AM
1335281,CLOSED,10/09/2012 12:00:00 AM,173 WEST 141 STREET,1060083,110,,05,MAN.,04/05/2013 12:00:00 AM,I2,04/01/2013 12:00:00 AM
1342340,CLOSED,01/30/2013 12:00:00 AM,220 EAST 125 STREET,1054675,111,,05,MAN.,04/05/2013 12:00:00 AM,L2,04/05/2013 12:00:00 AM
1342642,CLOSED,02/04/2013 12:00:00 AM,18 BLEEKER STREET,1008187,102,,4C,EXCAV,04/05/2013 12:00:00 AM,L2,04/05/2013 12:00:00 AM
1343395,ACTIVE,02/15/2013 12:00:00 AM,627 BROADWAY,1008237,102,,84,FEU,04/05/2013 12:00:00 AM,RU,03/12/2013 12:00:00 AM
1343527,CLOSED,02/19/2013 12:00:00 AM,31 WEST 128 STREET,1053690,110,,05,MAN.,04/05/2013 12:00:00 AM,L2,04/05/2013 12:00:00 AM
1344030,CLOSED,02/28/2013 12:00:00 AM,427 EAST 12 STREET,1006002,103,,05,BEST,04/05/2013 12:00:00 AM,L3,04/05/2013 12:00:00 AM
1344909,CLOSED,03/14/2013 12:00:00 AM,400 RIVERSIDE DRIVE,1057333,109,,37,ERT,04/05/2013 12:00:00 AM,C2,03/22/2013 12:00:00 AM
1345002,CLOSED,03/15/2013 12:00:00 AM,67 GREENWICH STREET,1000796,101,,05,MAN.,04/05/2013 12:00:00 AM,L2,04/05/2013 12:00:00 AM
1345012,CLOSED,03/15/2013 12:00:00 AM,78 SULLIVAN STREET,1088688,102,,05,MAN.,04/05/2013 12:00:00 AM,L2,04/05/2013 12:00:00 AM
1345493,CLOSED,03/22/2013 12:00:00 AM,212 EAST 111 STREET,1052483,111,,4F,SCFLD,04/05/2013 12:00:00 AM,L3,04/05/2013 12:00:00 AM
1346005,CLOSED,04/01/2013 12:00:00 AM,530 GRAND STREET,1076783,103,,59,ELCTR,04/05/2013 12:00:00 AM,A8,04/03/2013 12:00:00 AM
1346057,CLOSED,04/02/2013 12:00:00 AM,5 WEST 125 STREET,1088829,110,,03,EXCAV,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346088,CLOSED,04/02/2013 12:00:00 AM,34 1/2 EAST 12 STREET,1009129,102,,23,SCFLD,04/05/2013 12:00:00 AM,A8,04/03/2013 12:00:00 AM
1346102,ACTIVE,04/03/2013 12:00:00 AM,312 EAST 95 STREET,1081270,108,,04,C & D,04/05/2013 12:00:00 AM,D7,04/05/2013 12:00:00 AM
1346135,CLOSED,04/03/2013 12:00:00 AM,20 EAST 74 STREET,1041515,108,,76,CITY,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346146,CLOSED,04/03/2013 12:00:00 AM,218 EAST 84 STREET,1048718,108,,30,ERT,04/05/2013 12:00:00 AM,A8,04/05/2013 12:00:00 AM
1346154,ACTIVE,04/03/2013 12:00:00 AM,315 WEST 88 STREET,1034017,107,,37,ERT,04/05/2013 12:00:00 AM,C1,04/05/2013 12:00:00 AM
1346174,CLOSED,04/04/2013 12:00:00 AM,1458 YORK AVENUE,1046411,108,,23,SCFLD,04/05/2013 12:00:00 AM,A8,04/05/2013 12:00:00 AM
1346178,CLOSED,04/04/2013 12:00:00 AM,500 LEXINGTON AVENUE,1076268,105,,81,ELEVR,04/05/2013 12:00:00 AM,I2,04/04/2013 12:00:00 AM
1346186,ACTIVE,04/04/2013 12:00:00 AM,436 WEST 20 STREET,1012595,104,,20,ERT,04/05/2013 12:00:00 AM,C3,04/05/2013 12:00:00 AM
1346192,CLOSED,04/04/2013 12:00:00 AM,35 WEST 95 STREET,1031713,107,,10,ERT,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346195,CLOSED,04/04/2013 12:00:00 AM,19 EAST 16 STREET,1078690,105,,91,ERT,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346196,CLOSED,04/04/2013 12:00:00 AM,45 JOHN STREET,1001199,101,,10,ERT,04/05/2013 12:00:00 AM,I2,04/04/2013 12:00:00 AM
1346197,CLOSED,04/04/2013 12:00:00 AM,505 WEST 150 STREET,1062153,109,,37,ERT,04/05/2013 12:00:00 AM,A8,04/05/2013 12:00:00 AM
1346201,ACTIVE,04/04/2013 12:00:00 AM,552 WEST 184 STREET,1063679,112,,10,ERT,04/05/2013 12:00:00 AM,C3,04/05/2013 12:00:00 AM
1346204,CLOSED,04/04/2013 12:00:00 AM,141 EAST 96 STREET,1051700,111,,30,ERT,04/05/2013 12:00:00 AM,A8,04/05/2013 12:00:00 AM
1346205,CLOSED,04/04/2013 12:00:00 AM,2071 5 AVENUE,1054164,111,,1E,SCFLD,04/05/2013 12:00:00 AM,I2,04/04/2013 12:00:00 AM
1346207,CLOSED,04/04/2013 12:00:00 AM,307 WEST 38 STREET,1013643,104,,1E,SCFLD,04/05/2013 12:00:00 AM,I2,04/04/2013 12:00:00 AM
1346208,CLOSED,04/04/2013 12:00:00 AM,22 WEST 48 STREET,1034491,105,,62,ELEVR,04/05/2013 12:00:00 AM,A1,04/04/2013 12:00:00 AM
1346210,CLOSED,04/04/2013 12:00:00 AM,160 FRONT STREET,1001136,101,,18,ERT,04/05/2013 12:00:00 AM,I2,04/04/2013 12:00:00 AM
1346211,CLOSED,04/04/2013 12:00:00 AM,180 AMSTERDAM AVENUE,1087453,107,,10,ERT,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346216,CLOSED,04/04/2013 12:00:00 AM,263 WEST END AVENUE,1030987,107,,4F,SCFLD,04/05/2013 12:00:00 AM,L3,04/05/2013 12:00:00 AM
1346219,CLOSED,04/04/2013 12:00:00 AM,444 2 AVENUE,1078833,106,,30,ERT,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346223,CLOSED,04/04/2013 12:00:00 AM,222 WEST 23 STREET,1014130,104,,86,MAN.,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346227,CLOSED,04/04/2013 12:00:00 AM,222 WEST 23 STREET,1014130,104,,86,ERT,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346232,CLOSED,04/04/2013 12:00:00 AM,404 PARK AVENUE SOUTH,1016907,105,,91,ERT,04/05/2013 12:00:00 AM,I2,04/05/2013 12:00:00 AM
1346245,CLOSED,04/04/2013 12:00:00 AM,4 SOUTH PINEHURST AVENUE,1063448,112,,12,ERT,04/05/2013 12:00:00 AM,A8,04/05/2013 12:00:00 AM
1346247,ACTIVE,04/05/2013 12:00:00 AM,714 WEST 181 STREET,1064279,112,,63,ELEVR,,,
1346248,ACTIVE,04/05/2013 12:00:00 AM,153 NORFOLK STREET,1004313,103,,45,MAN.,,,
1346249,ACTIVE,04/05/2013 12:00:00 AM,266 NAGLE AVENUE,1064742,112,,58,BOILR,,,
1346250,ACTIVE,04/05/2013 12:00:00 AM,52 WALKER STREET,1002287,101,,1A,MAN.,,,
1346252,ACTIVE,04/05/2013 12:00:00 AM,8 RANDALLS ISLAND,1811074,111,,91,CITY,04/05/2013 12:00:00 AM,E1,04/05/2013 12:00:00 AM
1346253,ACTIVE,04/05/2013 12:00:00 AM,1388 LEXINGTON AVENUE,1048302,108,,05,MAN.,,,
1346254,ACTIVE,04/05/2013 12:00:00 AM,77 STANTON STREET,1077637,103,,74,MAN.,,,
1346255,CLOSED,04/05/2013 12:00:00 AM,330 EAST 38 STREET,1076166,106,,4F,SCFLD,04/05/2013 12:00:00 AM,L1,04/04/2013 12:00:00 AM
1346256,ACTIVE,04/05/2013 12:00:00 AM,65 FT WASHINGTON AVENUE,1063332,112,,58,BOILR,,,
1346257,CLOSED,04/05/2013 12:00:00 AM,225 CENTRAL PARK WEST,1031181,107,,4F,SCFLD,04/05/2013 12:00:00 AM,L1,04/04/2013 12:00:00 AM
