BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-00027-7501,658-R1,1 MAIN STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,124,1913,227916,4984800,21.87,21600001,95,3-00271-0001,205 STATE STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,364,2003,242752,6106286,25.2,25300000,104,0.9,3-00221-0020,80 CRANBERRY STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,108780,2429803,22.34,10100000,93,0.35
3-00028-7501,1370-R1,31 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,13,2001,24672,556600,22.56,2670000,108,3-00178-0016,404 STATE STREET,BOERUM HILL,D1-ELEVATOR,60,1928,29214,877362,30,4090000,140,1.2,3-00237-0037,115 HENRY STREET,BROOKLYN HEIGHTS,D7-ELEVATOR,42,1921,31692,943532,29.8,4400000,139,0.55
3-00028-7502,2018-R1,133 WATER STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,69,2006,78352,1738800,22.19,7200003,92,3-00221-0020,80 CRANBERRY STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,108780,2429803,22.34,10100000,93,0.35,3-00275-0001,200 CLINTON STREET,BROOKLYN HEIGHTS,D7-ELEVATOR,94,1926,73032,1781214,24.39,7380000,101,0.95
3-00031-7502,1181-R1,50 BRIDGE STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,58,1904,52530,1044000,19.87,4130004,79,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1269701,24.93,5260000,103,0.3,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1887773,37.4,8790000,174,0.2
3-00035-7501,1771-R1,4 WATER STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,13,2007,20085,580456,28.9,2779999,138,3-00178-0016,404 STATE STREET,BOERUM HILL,D1-ELEVATOR,60,1928,29214,877362,30,4090000,140,1.2,3-00237-0037,115 HENRY STREET,BROOKLYN HEIGHTS,D7-ELEVATOR,42,1921,31692,943532,29.8,4400000,139,0.45
3-00036-7501,1000-R1,30 MAIN STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,87,1910,158053,3654000,23.12,15899999,101,3-00056-0003,99 GOLD STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,88,1919,109875,3496083,31.8,16300000,148,0.5,3-00221-0020,80 CRANBERRY STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,108780,2429803,22.34,10100000,93,0.25
3-00036-7502,1073-R1,42 MAIN STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,21,1910,23150,522264,22.56,2270002,98,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,614007,21.65,2540000,90,0.4,3-00171-0049,337 STATE STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,60,1930,39770,881843,22.17,3650000,92,1.05
3-00036-7503,1580-R1,57 FRONT STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,31,1899,41476,929477,22.41,4039998,97,3-00171-0049,337 STATE STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,60,1930,39770,881843,22.17,3650000,92,1.05,3-00235-0046,136 HICKS STREET,BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,48414,1129483,23.33,4680000,97,0.45
3-00045-7501,1422-R1,70 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,259,1916,375000,7070700,18.86,27099997,72,3-00051-0001,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2487698,20.11,9300000,75,0.05,3-00271-0001,205 STATE STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,364,2003,242752,6106286,25.2,25300000,104,0.8
3-00051-7501,1543-R1,84 FRONT STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,56,2006,58066,1567782,27,6490002,112,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1269701,24.93,5260000,103,0.15,3-00237-0054,25 MONROE PLACE,BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,60720,1751259,28.8,7250000,119,0.45
3-00052-7501,1731-R1,85 ADAMS STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,79,2006,87554,1938660,22.14,8419998,96,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1887773,37.4,8790000,174,0.05,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1269701,24.93,5260000,103,0.2
