PAGE,PROGRAM,STATECITY_SECTION8_FLAG,White Families,Black Families,Hispanic Families,Asian Families,Other Races Families,Total Families,White Female Headed Families,Black Female Headed Families,Hispanic Female Headed Families,Asian Female Headed Families,Other Races Female Headed Families,Total Female Headed Families,White Male Headed Families,Black Male Headed Families,Hispanic Male Headed Families,Asian Male Headed Families,Other Races Male Headed Families,Total Male Headed Families,White Population,Black Population,Hispanic Population,Asian Population,Other Races Population,Total Population,Average White Family Size,Average Black Family Size,Average Hispanic Family Size,Average Asian Family Size,Average Other Races Family Size,Average Family Size,White Minors Under 18,Black Minors Under 18,Hispanic Minors Under 18,Asian Minors Under 18,Other Races Minors Under 18,Total Minors Under 18,Average Minors per White Family,Average Minors per Black Family,Average Minors per Hispanic Family,Average Minors per Asian Family,Average Minors per Other Races Family,Average Minors per Family,White Minors as Percent of Population,Black Minors as Percent of Population,Hispanic Minors as Percent of Population,Asian Minors as Percent of Population,Other Races Minors as Percent of Population,Total Minors as Percent of Population,White Average Total Gross Income,Black Average Total Gross Income,Hispanic Average Total Gross Income,Asian Average Total Gross Income,Other Races Average Total Gross Income,All Average Total Gross Income,White Average Gross Rent,Black Average Gross Rent,Hispanic Average Gross Rent,Asian Average Gross Rent,Other Races Average Gross Rent,All Average Gross Rent,White HOH 62 Years and Over,Black HOH 62 Years and Over,Hispanic HOH 62 Years and Over,Asian HOH 62 Years and Over,Other Races HOH 62 Years and Over,Total HOH 62 Years and Over,White HOH 62 Years and Over as Percent of Families,Black HOH 62 Years and Over as Percent of Families,Hispanic HOH 62 Years and Over as Percent of Families,Asian HOH 62 Years and Over as Percent of Families,Other Races HOH 62 Years and Over as Percent of Families,Total HOH 62 Years and Over as Percent of Families,White Female Headed HOH 62 Years and Over,Black Female Headed HOH 62 Years and Over,Hispanic Female Headed HOH 62 Years and Over,Asian Female Headed HOH 62 Years and Over,Other Races Female Headed HOH 62 Years and Over,Total Female Headed HOH 62 Years and Over,White Male Headed HOH 62 Years and Over,Black Male Headed HOH 62 Years and Over,Hispanic Male Headed HOH 62 Years and Over,Asian Male Headed HOH 62 Years and Over,Other Races Male Headed HOH 62 Years and Over,Total Male Headed HOH 62 Years and Over,White Elderly Single Person Families,Black Elderly Single Person Families,Hispanic Elderly Single Person Families,Asian Elderly Single Person Families,Other Races Elderly Single Person Families,Total Elderly Single Person Families,White Elderly Population,Black Elderly Population,Hispanic Elderly Population,Asian Elderly Population,Other Races Elderly Population,Total Elderly Population,White 62 Years and Over as Percent of Population,Black 62 Years and Over as Percent of Population,Hispanic 62 Years and Over as Percent of Population,Asian 62 Years and Over as Percent of Population,Other Races 62 Years and Over as Percent of Population,Total 62 Years and Over as Percent of Population,White Families on Welfare,Black Families on Welfare,Hispanic Families on Welfare,Asian Families on Welfare,Other Races Families on Welfare,Total Families on Welfare,White Families on Welfare and HOH Elderly,Black Families on Welfare and HOH Elderly,Hispanic Families on Welfare and HOH Elderly,Asian Families on Welfare and HOH Elderly,Other Races Families on Welfare and HOH Elderly,Total Families on Welfare and HOH Elderly,White Families on Full Welfare,Black Families on Full Welfare,Hispanic Families on Full Welfare,Asian Families on Full Welfare,Other Races Families on Full Welfare,Total Families on Full Welfare,White Families on Welfare as Percent of Families,Black Families on Welfare as Percent of Families,Hispanic Families on Welfare as Percent of Families,Asian Families on Welfare as Percent of Families,Other Races Families on Welfare as Percent of Families,Total Families on Welfare as Percent of Families,White Single Parent/Grandparent with Minors,Black Single Parent/Grandparent with Minors,Hispanic Single Parent/Grandparent with Minors,Asian Single Parent/Grandparent Families with Minors,Other Races Single Parent/Grandparent with Minors,Total Single Parent/Grandparent Families with Minors,White Female Headed Single Parent/Grandparent with Minors,Black Female Headed Single Parent/Grandparent with Minors,Hispanic Female Headed Single Parent/Grandparent with Minors,Asian Female Headed Single Parent/Grandparent with Minors,Other Races Female Headed Single Parent/Grandparent with Minors,Total Female Headed Single Parent/Grandparent with Minors,White Male Headed Single Parent/Grandparent with Minors,Black Male Headed Single Parent/Grandparent with Minors,Hispanic Male Headed Single Parent/Grandparent with Minors,Asian Male Headed Single Parent/Grandparent with Minors,Other Races Male Headed Single Parent/Grandparent with Minors,Total Male Headed Single Parent/Grandparent with Minors,White Single Parent/Grandparent Families on Welfare,Black Single Parent/Grandparent Families on Welfare,Hispanic Single Parent/Grandparent Families on Welfare,Asian Single Parent/Grandparent Families on Welfare,Other Races Single Parent/Grandparent Families on Welfare,Total Single Parent/Grandparent Families on Welfare,White Single Parent/Grandparent with Minors as % of Families,Black Single Parent/Grandparent with Minors as % of Families,Hispanic Single Parent/Grandparent with Minors as % of Families,Asian Single Parent/Grandparent with Minors as % of Families,Other Races Single Parent/Grandpare with Minors as % of Families,Total Single Parent/Grandparent with Minors as % of Families,White Families - 1 or More Employed,Black Families - 1 or More Employed,Hispanic Families - 1 or More Employed,Asian Families - 1 or More Employed,Other Races Families - 1 or More Employed,Total Families - 1 or More Employed,White Families - 1 or More Employed as Percent of Families,Black Families - 1 or More Employed as Percent of Families,Hispanic Families - 1 or More Employed % of Families,Asian Families - 1 or More Employed as Percent of Families,Other Races Families - 1 or More Employed % of Families,Total Families - 1 or More Employed as Percent of Families,White Families - 2nd Adult Employed,Black Families - 2nd Adult Employed,Hispanic Families - 2nd Adult Employed,Asian Families - 2nd Adult Employed,Other Races Families - 2nd Adult Employed,Total Families - 2nd Adult Employed,White Families Average Years in Public Housing,Black Families Average Years in Public Housing,Hispanic Families Average Years in Public Housing,Asian Families Average Years in Public Housing,Other Races Families Average Years in Public Housing,All Families Average Years in Public Housing,Residents Under 4,Residents 4 to 5,Residents 6 to 9,Residents 10 to 13,Residents 14 to 17,Residents 18 to 20,Residents 21 to 49,Residents 50 to 61
1,ALL PROGRAMS,TOTAL HOUSEHOLDS,8780,82168,76438,7598,1343,176327,5463,66500,59187,3404,994,135548,3317,15668,17251,4194,349,40779,16529,187007,176318,19408,4095,403357,1.882574032,2.27591033,2.306679924,2.55435641,3.049143708,2.287550971,3020,56013,50411,3389,1586,114419,0.343963554,0.681688735,0.659501818,0.446038431,1.180938198,0.648902324,0.182709178,0.299523547,0.28590955,0.174618714,0.387301587,0.283666826,20630.43436,24209.73893,21504.82574,23954.59878,21621.58748,22823.93448,394.8336314,453.3840354,416.6503183,443.7370361,420.9076694,433.8800722,5058,26546,28280,3432,381,63697,0.576082005,0.323069808,0.36997305,0.451697815,0.283693224,0.361243599,3048,20462,19722,1450,239,44921,2010,6084,8558,1982,142,18776,3320,16365,17002,1272,223,38182,6199,29343,33653,5102,515,74812,0.375037812,0.156908565,0.190865368,0.262881286,0.125763126,0.185473414,483,11701,7407,270,167,20028,98,860,655,97,7,1717,213,5838,2891,100,66,9108,0.05501139,0.142403369,0.096902064,0.035535667,0.124348474,0.11358442,987,26772,22632,569,474,51434,933,25693,21835,507,457,49425,54,1079,797,62,17,2009,232,7369,4759,66,108,12534,0.112414579,0.325820271,0.2960831,0.074888128,0.352941176,0.291696677,3008,39418,35336,4782,742,83286,0.342596811,0.479724467,0.462283158,0.629376152,0.552494415,0.472338326,619,6887,7214,2154,175,17049,22.08354214,23.07495253,18.80607908,13.7284266,12.01362621,20.68822175,15946,11375,24805,28906,33387,27556,133233,53291
2,ALL PROGRAMS,PUBLIC HOUSING HOUSEHOLDS,8707,80513,75677,7573,1312,173782,5419,65096,58559,3391,968,133433,3288,15417,17118,4182,344,40349,16359,182604,174121,19351,4015,396450,1.878833123,2.268006409,2.300844378,2.555262115,3.060213415,2.281306464,2951,53781,49301,3377,1550,110960,0.338922706,0.667979084,0.651466099,0.445926317,1.181402439,0.638501111,0.180389999,0.294522573,0.283142183,0.174512945,0.386052304,0.27988397,20671.47838,24415.13494,21564.80486,23981.47252,21733.39976,22942.46661,395.2050827,455.8957131,417.2969161,444.0124125,421.4908537,435.268144,5047,26458,28202,3426,380,63513,0.579648559,0.328617739,0.372662764,0.452396672,0.289634146,0.365475136,3045,20417,19675,1448,239,44824,2002,6041,8527,1978,141,18689,3311,16296,16945,1271,222,38045,6188,29249,33565,5090,513,74605,0.37826273,0.160177214,0.192768247,0.263035502,0.127770859,0.188182621,465,11138,7207,267,161,19238,97,856,652,97,7,1709,206,5520,2821,99,65,8711,0.053405306,0.138337908,0.095233691,0.035256833,0.122713415,0.110701914,957,25738,22198,562,452,49907,904,24678,21413,500,435,47930,53,1060,785,62,17,1977,221,6932,4599,65,104,11921,0.109911565,0.319675084,0.293325581,0.074211013,0.344512195,0.287181641,2981,38747,35023,4766,728,82245,0.342368209,0.481251475,0.46279583,0.62934108,0.554878049,0.473265355,615,6845,7188,2151,174,16973,22.22934421,23.49241203,18.9659248,13.76405548,12.23452744,20.94924581,15381,10904,23931,28053,32691,27143,130858,52840
3,ALL PROGRAMS,SECTION 8 HOUSEHOLDS,73,1655,761,25,31,2545,44,1404,628,13,26,2115,29,251,133,12,5,430,170,4403,2197,57,80,6907,2.328767123,2.660422961,2.886990802,2.28,2.580645161,2.713948919,69,2232,1110,12,36,3459,0.945205479,1.348640483,1.458607096,0.48,1.161290323,1.35913556,0.405882353,0.506927095,0.505234411,0.210526316,0.45,0.500796294,15804.6689,14365.40177,15575.19032,15847.3296,16929.07839,14814.14909,350.5342466,330.2429963,351.8423841,360.32,396.2258065,338.3927158,11,88,78,6,1,184,0.150684932,0.053172205,0.102496715,0.24,0.032258065,0.072298625,3,45,47,2,0,97,8,43,31,4,1,87,9,69,57,1,1,137,11,94,88,12,2,207,0.064705882,0.02134908,0.04005462,0.210526316,0.025,0.029969596,18,563,200,3,6,790,1,4,3,0,0,8,7,318,70,1,1,397,0.246575342,0.340181269,0.262812089,0.12,0.193548387,0.310412574,30,1034,434,7,22,1527,29,1015,422,7,22,1495,1,19,12,0,0,32,11,437,160,1,4,613,0.410958904,0.624773414,0.570302234,0.28,0.709677419,0.6,27,671,313,16,14,1041,0.369863014,0.405438066,0.41130092,0.64,0.451612903,0.409037328,4,42,26,3,1,76,4.693150685,2.767250755,2.912877792,2.94,2.664516129,2.866483301,565,471,874,853,696,413,2375,451
4,FEDERAL,TOTAL HOUSEHOLDS,7520,72107,68848,6787,1201,156463,4765,58440,53323,3023,882,120433,2755,13667,15525,3764,319,36030,13702,164062,158653,17328,3739,357484,1.822074468,2.275257603,2.304395189,2.553116252,3.113238968,2.284782984,2306,48808,45214,3047,1463,100838,0.306648936,0.676882966,0.656722054,0.448946515,1.21815154,0.644484639,0.168296599,0.297497288,0.284986732,0.175842567,0.391281091,0.28207696,20702.09127,24125.08129,21509.66826,23743.13617,21703.07222,22769.68473,396.5785942,452.5643572,416.5624678,441.8220127,423.2231474,433.3402082,4414,23736,25630,3043,347,57170,0.586968085,0.329177472,0.372269347,0.448357153,0.288925895,0.3653899,2664,18345,17872,1271,216,40368,1750,5391,7758,1772,131,16802,2938,14681,15514,1142,205,34480,5413,26208,30460,4534,468,67083,0.395051817,0.159744487,0.191991327,0.261657433,0.125167157,0.187653154,415,10152,6607,252,145,17571,90,769,594,95,6,1554,180,5036,2591,93,59,7959,0.05518617,0.140790769,0.095965024,0.037129807,0.120732723,0.112301311,847,23219,20323,502,417,45308,803,22292,19612,450,403,43560,44,927,711,52,14,1748,204,6332,4235,61,97,10929,0.112632979,0.322007572,0.295186498,0.073964933,0.347210658,0.289576449,2499,34470,31820,4274,676,73739,0.33231383,0.47803958,0.462177551,0.629733314,0.56286428,0.471287141,514,6028,6521,1940,161,15164,21.09777926,23.49265495,18.86907287,13.24948408,11.90008326,20.80996523,13959,9964,21881,25437,29597,24438,117860,47228
5,FORMER NEW YORK STATE,TOTAL HOUSEHOLDS,982,4996,5127,775,96,11976,516,3935,3876,363,76,8766,466,1061,1251,412,20,3210,2338,11830,12043,2000,241,28452,2.380855397,2.367894315,2.348937,2.580645161,2.510416667,2.375751503,639,3852,3484,335,90,8400,0.650712831,0.771016813,0.679539692,0.432258065,0.9375,0.701402806,0.273310522,0.325612849,0.289296687,0.1675,0.373443983,0.295234078,19411.61622,23014.28655,21061.59305,25802.16512,20377.70323,22049.45065,374.2046843,440.6704067,415.4106969,460.9806452,397.7916667,425.3741121,488,1454,1909,376,27,4254,0.49694501,0.291032826,0.3723425,0.48516129,0.28125,0.355210421,288,1110,1331,175,21,2925,200,344,578,201,6,1329,285,868,1086,128,16,2383,597,1595,2290,549,36,5067,0.25534645,0.134826712,0.190151955,0.2745,0.149377593,0.178089414,50,856,546,16,15,1483,6,57,50,2,1,116,25,424,202,7,5,663,0.050916497,0.17133707,0.106495026,0.020645161,0.15625,0.123830995,98,1739,1455,63,36,3391,90,1659,1395,53,33,3230,8,80,60,10,3,161,15,559,341,4,8,927,0.099796334,0.348078463,0.283791691,0.081290323,0.375,0.283149633,416,2271,2265,487,35,5474,0.423625255,0.454563651,0.441778818,0.628387097,0.364583333,0.457080828,87,437,465,207,9,1205,28.4503055,21.16166934,19.52165009,17.96503226,14.62708333,20.79797094,1243,856,1798,2124,2379,1954,9188,3836
6,FORMER NEW YORK STATE,PUBLIC HOUSING HOUSEHOLDS,931,4147,4608,751,78,10515,488,3230,3449,350,62,7579,443,917,1159,401,16,2936,2217,9498,10497,1944,197,24353,2.381310419,2.290330359,2.277994792,2.588548602,2.525641026,2.316024727,593,2648,2711,323,72,6347,0.636949517,0.63853388,0.588324653,0.430093209,0.923076923,0.603613885,0.267478575,0.278795536,0.258264266,0.166152263,0.365482234,0.260624974,19581.48516,24778.82423,21617.40143,26111.76608,21197.64667,23008.57121,374.6283566,462.6500241,421.2374132,464.0079893,398.1410256,436.3242344,478,1411,1861,370,26,4146,0.513426423,0.340245961,0.403862847,0.492676431,0.333333333,0.394293866,285,1090,1304,173,21,2873,193,321,557,197,5,1273,277,832,1052,127,15,2303,587,1551,2233,537,35,4943,0.264772215,0.163297536,0.212727446,0.276234568,0.177664975,0.20297294,39,560,409,13,12,1033,5,56,48,2,1,112,20,261,154,6,4,445,0.04189044,0.135037376,0.088758681,0.017310253,0.153846154,0.098240609,82,1224,1163,56,25,2550,74,1149,1109,46,22,2400,8,75,54,10,3,150,11,339,232,3,6,591,0.088077336,0.295153123,0.252387153,0.074567244,0.320512821,0.242510699,393,1953,2051,471,29,4897,0.422126745,0.47094285,0.445095486,0.627163782,0.371794872,0.465715644,84,412,445,204,8,1153,29.70214823,24.92317338,21.39045139,18.44500666,17.32820513,23.27913457,916,592,1271,1617,1951,1691,7797,3569
7,FORMER NEW YORK STATE,SECTION 8 TRANSITION HOUSEHOLDS,51,849,519,24,18,1461,28,705,427,13,14,1187,23,144,92,11,4,274,121,2332,1546,56,44,4099,2.37254902,2.746760895,2.978805395,2.333333333,2.444444444,2.805612594,46,1204,773,12,18,2053,0.901960784,1.418138987,1.489402697,0.5,1,1.405201916,0.380165289,0.516295026,0.5,0.214285714,0.409090909,0.500853867,16477.21353,14566.58843,16153.92329,16127.135,16961.27222,15252.00465,366.4705882,332.8272189,363.2757282,366.25,396.2777778,346.1383345,10,43,48,6,1,108,0.196078431,0.050647821,0.092485549,0.25,0.055555556,0.073921971,3,20,27,2,0,52,7,23,21,4,1,56,8,36,34,1,1,80,10,44,57,12,1,124,0.082644628,0.018867925,0.03686934,0.214285714,0.022727273,0.030251281,11,296,137,3,3,450,1,1,2,0,0,4,5,163,48,1,1,218,0.215686275,0.348645465,0.263969171,0.125,0.166666667,0.308008214,16,515,292,7,11,841,16,510,286,7,11,830,0,5,6,0,0,11,4,220,109,1,2,336,0.31372549,0.606595995,0.562620424,0.291666667,0.611111111,0.575633128,23,318,214,16,6,577,0.450980392,0.374558304,0.412331407,0.666666667,0.333333333,0.394934976,3,25,20,3,1,52,5.598039216,2.788339223,2.929287091,2.945833333,2.922222222,2.94072553,327,264,527,507,428,263,1391,267
8,FORMER NEW YORK CITY,TOTAL HOUSEHOLDS,278,5065,2463,36,46,7888,182,4125,1988,18,36,6349,96,940,475,18,10,1539,489,11115,5622,80,115,17421,1.758992806,2.194471866,2.282582217,2.222222222,2.5,2.208544625,75,3353,1713,7,33,5181,0.269784173,0.661994077,0.695493301,0.194444444,0.717391304,0.656820487,0.153374233,0.301664417,0.304695838,0.0875,0.286956522,0.29739969,22812.45529,26577.28496,22292.80852,23922.28,22023.10783,25066.78248,420.5071942,477.6276954,421.6883381,433.5555556,408.6956522,457.5281869,156,1356,741,13,7,2273,0.561151079,0.267719645,0.300852619,0.361111111,0.152173913,0.288159229,96,1007,519,4,2,1628,60,349,222,9,5,645,97,816,402,2,2,1319,189,1540,903,19,11,2662,0.386503067,0.138551507,0.160618997,0.2375,0.095652174,0.152804087,18,693,254,2,7,974,2,34,11,0,0,47,8,378,98,0,2,486,0.064748201,0.136821323,0.103126269,0.055555556,0.152173913,0.123478702,42,1814,854,4,21,2735,40,1742,828,4,21,2635,2,72,26,0,0,100,13,478,183,1,3,678,0.151079137,0.358144126,0.346731628,0.111111111,0.456521739,0.346729209,93,2677,1251,21,31,4073,0.334532374,0.528529121,0.507917174,0.583333333,0.673913043,0.516353955,18,422,228,7,5,680,26.25899281,19.01595262,15.55598863,12.77777778,9.523913043,18.107036,744,555,1126,1345,1411,1164,6185,2227
9,FORMER NEW YORK CITY,PUBLIC HOUSING HOUSEHOLDS,256,4259,2221,35,33,6804,166,3426,1787,18,24,5421,90,833,434,17,9,1383,440,9044,4971,79,79,14613,1.71875,2.12350317,2.238181,2.257142857,2.393939394,2.147707231,52,2325,1376,7,15,3775,0.203125,0.545902794,0.619540747,0.2,0.454545455,0.554820694,0.118181818,0.257076515,0.276805472,0.088607595,0.189873418,0.258331623,23554.4674,28955.07171,23168.9435,24344.85943,24047.40697,26812.73899,429.6953125,505.7275716,431.8869878,439.7142857,413.6363636,477.9731001,155,1311,711,13,7,2197,0.60546875,0.307818737,0.320126069,0.371428571,0.212121212,0.322898295,96,982,499,4,2,1583,59,329,212,9,5,614,96,783,379,2,2,1262,188,1490,872,19,10,2579,0.427272727,0.164750111,0.175417421,0.240506329,0.126582278,0.17648669,11,426,191,2,4,634,2,31,10,0,0,43,6,223,76,0,2,307,0.04296875,0.10002348,0.085997299,0.057142857,0.121212121,0.093180482,28,1295,712,4,10,2049,27,1237,692,4,10,1970,1,58,20,0,0,79,6,261,132,1,1,401,0.109375,0.304061986,0.320576317,0.114285714,0.303030303,0.301146384,89,2324,1152,21,23,3609,0.34765625,0.545667997,0.518685277,0.6,0.696969697,0.53042328,17,405,222,7,5,656,28.29257813,22.09516318,16.93741558,13.06285714,12.36666667,20.5510729,506,348,779,999,1143,1014,5201,2043
10,FORMER NEW YORK CITY,SECTION 8 TRANSITION HOUSEHOLDS,22,806,242,1,13,1084,16,699,201,0,12,928,6,107,41,1,1,156,49,2071,651,1,36,2808,2.227272727,2.569478908,2.690082645,1,2.769230769,2.590405904,23,1028,337,0,18,1406,1.045454545,1.275434243,1.392561983,0,1.384615385,1.29704797,0.469387755,0.496378561,0.517665131,0,0.5,0.500712251,14245.58818,14153.71842,14338.80624,9132,16884.50231,14225.08579,313.5909091,327.5031368,327.3083333,218,396.1538462,327.9040075,1,45,30,0,0,76,0.045454545,0.055831266,0.123966942,0,0,0.070110701,0,25,20,,0,45,1,20,10,0,0,31,1,33,23,0,0,57,1,50,31,0,1,83,0.020408163,0.024142926,0.047619048,0,0.027777778,0.029558405,7,267,63,0,3,340,0,3,1,0,0,4,2,155,22,0,0,179,0.318181818,0.331265509,0.260330579,0,0.230769231,0.313653137,14,519,142,0,11,686,13,505,136,,11,665,1,14,6,0,0,21,7,217,51,0,2,277,0.636363636,0.643920596,0.58677686,0,0.846153846,0.632841328,4,353,99,0,8,464,0.181818182,0.437965261,0.409090909,0,0.615384615,0.42804428,1,17,6,0,0,24,2.595454545,2.745037221,2.87768595,2.8,2.307692308,2.766420664,238,207,347,346,268,150,984,184
