Year,Area,Homeless Estimates
2012,Surface Area - Manhattan ,906
2012,Total Unsheltered Individuals ,3262
2012,Subways ,1634
2012,Surface Total ,1628
2012,Surface Area - Staten Island ,99
2012,Surface Area - Queens ,86
2012,Surface Area - Brooklyn ,368
2012,Surface Area - Bronx ,169
2011,Surface Area - Manhattan ,786
2011,Surface Area - Bronx ,115
2011,Surface Area - Brooklyn ,242
2011,Surface Area - Queens ,102
2011,Surface Area - Staten Island ,128
2011,Surface Total ,1373
2011,Subways ,1275
2011,Total Unsheltered Individuals ,2648
2010,Total Unsheltered Individuals ,3111
2010,Surface Area - Manhattan ,1145
2010,Surface Area - Bronx ,174
2010,Surface Area - Brooklyn ,428
2010,Surface Area - Queens ,112
2010,Surface Area - Staten Island ,175
2010,Surface Total ,2034
2010,Subways ,1077
2009,Surface Area - Manhattan ,777
2009,Total Unsheltered Individuals ,2328
2009,Subways ,968
2009,Surface Total ,1360
2009,Surface Area - Staten Island ,121
2009,Surface Area - Queens ,98
2009,Surface Area - Brooklyn ,200
2009,Surface Area - Bronx ,164
