TYPE,BUS NAME,MAILING OFFICE,MAIL CITY,MSTAT,COMP PHONE,Location 1
LICENSE,A & D CARTING CORP.,1270 SAW MILL RIVER ROAD,YONKERS,NY,(914) 423-3906,
CL.2-EXEMPT,A.C. CARTING OF NEW YORK INC.,1641 RESEACH AVENUE,BRONX,NY,(718) 824-2365,
LICENSE,A.V.F. CARTING CO. INC.,50 2ND AVENUE,GARDEN CITY PARK,NY,(516) 746-2935,
LICENSE,A-1 MEDICAL WASTE REMOVAL INC.,60 HUNT LANE,STATEN ISLAND,NY,(718) 494-2083,
CL.2-EXEMPT,ABSTRACT EQUIPMENT INC.,125 HALF MILE RD STE.200,REDBANK,NJ,(917) 418-5829,
CL.2-EXEMPT,ACA WASTE SERVICES INC.,40 EAD STREET,WEST BABYLON,NY,(631) 391-9300,
CL.2-EXEMPT,ACE CONCRETE PAVING CORP.,P.O. BOX 1789,BRONX,NY,(718) 665-4004,
LICENSE,ACWELL PRIVATE SANITATION SERVICE INC.,P.O. BOX 389 OLD CHELSEA STATION,NEW YORK,NY,(718) 858-5555,"389 OLD CHELSEA STATION
NY, NEW YORK
(40.756053999992105, -73.9869510002884)"
LICENSE,ADVANCED WASTE SERVICES INC.,2400 NATIONAL DRIVE,BROOKLYN,NY,(718) 251-5300,
CL.2-EXEMPT,ALEX FIGLIOLIA PLUMBING CO.,420 CARROLL STREET,BROOKLYN,NY,(718) 852-8700,
CL.2-EXEMPT,"ALL PRO CONTRACTING, LLC",180 HICKORY STREET,ORANGE,NJ,(973) 675-9933,
CL.2-EXEMPT,ALL-CITY INTERIOR CONTRACTING INC.,1174 COMMERCE AVENUE,BRONX,NY,(718) 319-9262,
CL.2-EXEMPT,AMANDA CARTING CORP.,24 CREAMER STREET,BROOKLYN,NY,(718) 237-2717,
LICENSE,AMERICAN COMPACTION SYSTEMS INC.,44 N.SAW MILL RIVER ROAD,ELMSFORD,NY,(914) 594-9700,
CL.2-BROKER,AMERICAN ENVIRONMENTAL GROUP LLC,141-50 73 RD TERRACE,FLUSHING,NY,(718) 793-6841,
CL.2-EXEMPT,ANCAR TRUCKING CORP.,1237 72ND STREET,BROOKLYN,NY,(718) 370-2853,
CL.2-EXEMPT,ANCAR TRUCKING CORP.,434 CRYSTAL AVENUE,STATEN ISLAND,NY,(718) 209-2958,
CL.2-EXEMPT,ANNEX GENERAL CONTRACTING INC.,331 HEWLETT AVE.,MERRICK,NY,(516) 379-5545,
CL.2-EXEMPT,ATLANTIC LEASING GROUP CORP.,2274  WEST STREET,BROOKLYN,NY,(718) 758-5308,
CL.2-EXEMPT,BERTHA M ABADDESAGUAY TRUCKING,424 RIDGE STREET,NEWARK,NJ,(212) 740-2313,
CL.2-EXEMPT,BREEZE CARTING CORP.,2620 WEST 13 STREET,BROOKLYN,NY,(718) 266-7336,
LICENSE,C & A ENVIRONMENTAL CORP.,380 SALEM ROAD,VALLEY STREAM,NY,(516) 561-1851,
CL.2-EXEMPT,C&A ENVIROMENTAL CORP.,380 SALEM ROAD,VALLEY STREAM,NY,(516) 561-1851,
CL.2-EXEMPT,"C.P.Q FREIGHT SYSTEMS, INC.",58 JACOBUS AVENUE,SOUTH KEARNY,NJ,(973) 578-4344,
LICENSE,CANAL CARTING INC.,P O BOX 1474,BAYONNE,NJ,(800) 522-6106,
LICENSE,CANAL SANITATION INC.,PO BOX 1474,BAYONNE,NJ,(800) 522-6106,
LICENSE,CAPITOL CARTING CORP.,P.O. BOX 960218,INWOOD,NY,(516) 239-9800,
LICENSE,CAPONE & DENILO INC.,5322 AVENUE N,BROOKLYN,NY,(718) 253-1800,
LICENSE,CARBONE CARTING CO INC.,P.O. BOX 320-207 BUSH TERMINAL STATION,BROOKLYN,NY,(718) 788-5462,
LICENSE,CHINATOWN CARTING CORP.,41 N. LAWN AVENUE,ELMSFORD,NY,(914) 347-0200,
CL.2-EXEMPT,"CIRCLE INTERIOR DEMOLITION, INC.",56-00 GRAND AVENUE,MASPETH,NY,(718) 894-3121,
LICENSE,CIRCLE RUBBISH REMOVAL INC.,2365 EAST LINDEN AVENUE,LINDEN,NJ,(908) 486-6699,
LICENSE,CITY WIDE WASTE SERVICES,429 SPRINGFIELD AVENUE,WESTFIELD,NJ,(908) 232-0065,
