NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
CHELSEA                  ,02 TWO FAMILY HOMES                        ,81,2,$995000.00,$2872500.00,$2872500.00,$4750000.00
CHELSEA                  ,03 THREE FAMILY HOMES                      ,64,1,$3800000.00,$3800000.00,$3800000.00,$3800000.00
EAST VILLAGE             ,01 ONE FAMILY HOMES                        ,22,1,$7926432.00,$7926432.00,$7926432.00,$7926432.00
EAST VILLAGE             ,02 TWO FAMILY HOMES                        ,39,2,$3085000.00,$3892500.00,$3892500.00,$4700000.00
EAST VILLAGE             ,03 THREE FAMILY HOMES                      ,18,1,$2400000.00,$2400000.00,$2400000.00,$2400000.00
GRAMERCY                 ,03 THREE FAMILY HOMES                      ,13,1,$3450000.00,$3450000.00,$3450000.00,$3450000.00
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        ,72,3,$2100000.00,$9798000.00,$12219000.00,$15075000.00
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        ,55,4,$2350000.00,$6662500.00,$4450000.00,$15400000.00
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        ,253,4,$1764000.00,$6034750.00,$4712500.00,$12950000.00
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        ,281,10,$3325000.00,$5371486.00,$5337430.00,$8250000.00
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      ,130,3,$449249.00,$4466416.00,$5700000.00,$7250000.00
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        ,201,7,$408771.00,$954566.00,$955950.00,$1499000.00
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES                        ,464,11,$320000.00,$1129825.00,$1098300.00,$1850000.00
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES                      ,563,13,$487424.00,$1110204.00,$938948.00,$2575000.00
HARLEM-EAST              ,02 TWO FAMILY HOMES                        ,59,2,$788376.00,$799622.00,$799622.00,$810867.00
HARLEM-UPPER             ,01 ONE FAMILY HOMES                        ,80,1,$850000.00,$850000.00,$850000.00,$850000.00
HARLEM-UPPER             ,02 TWO FAMILY HOMES                        ,187,1,$1200000.00,$1200000.00,$1200000.00,$1200000.00
HARLEM-UPPER             ,03 THREE FAMILY HOMES                      ,105,4,$739000.00,$1113500.00,$1007500.00,$1700000.00
HARLEM-WEST              ,02 TWO FAMILY HOMES                        ,9,2,$766036.00,$767385.00,$767385.00,$768734.00
INWOOD                   ,02 TWO FAMILY HOMES                        ,81,2,$563831.00,$594666.00,$594666.00,$625500.00
LITTLE ITALY             ,01 ONE FAMILY HOMES                        ,10,1,$3335000.00,$3335000.00,$3335000.00,$3335000.00
LITTLE ITALY             ,03 THREE FAMILY HOMES                      ,4,1,$19500000.00,$19500000.00,$19500000.00,$19500000.00
MANHATTAN VALLEY         ,01 ONE FAMILY HOMES                        ,16,1,$3050000.00,$3050000.00,$3050000.00,$3050000.00
MANHATTAN VALLEY         ,03 THREE FAMILY HOMES                      ,11,1,$990000.00,$990000.00,$990000.00,$990000.00
MIDTOWN EAST             ,01 ONE FAMILY HOMES                        ,80,2,$3500000.00,$7050000.00,$7050000.00,$10600000.00
MIDTOWN EAST             ,02 TWO FAMILY HOMES                        ,45,2,$1157446.00,$2328723.00,$2328723.00,$3500000.00
MURRAY HILL              ,02 TWO FAMILY HOMES                        ,50,1,$7282040.00,$7282040.00,$7282040.00,$7282040.00
SOHO                     ,01 ONE FAMILY HOMES                        ,23,1,$5500000.00,$5500000.00,$5500000.00,$5500000.00
UPPER EAST SIDE (59-79)  ,01 ONE FAMILY HOMES                        ,475,16,$2050000.00,$8963125.00,$7600000.00,$24925000.00
UPPER EAST SIDE (59-79)  ,02 TWO FAMILY HOMES                        ,184,4,$2750000.00,$6325000.00,$5525000.00,$11500000.00
UPPER EAST SIDE (59-79)  ,03 THREE FAMILY HOMES                      ,30,2,$5700000.00,$7725000.00,$7725000.00,$9750000.00
UPPER EAST SIDE (79-96)  ,01 ONE FAMILY HOMES                        ,335,12,$1750000.00,$8402707.00,$5957500.00,$25000000.00
UPPER EAST SIDE (79-96)  ,02 TWO FAMILY HOMES                        ,143,1,$14300000.00,$14300000.00,$14300000.00,$14300000.00
UPPER EAST SIDE (79-96)  ,03 THREE FAMILY HOMES                      ,48,2,$2750000.00,$2750000.00,$2750000.00,$2750000.00
UPPER WEST SIDE (59-79)  ,01 ONE FAMILY HOMES                        ,64,2,$4550000.00,$9775000.00,$9775000.00,$15000000.00
UPPER WEST SIDE (59-79)  ,03 THREE FAMILY HOMES                      ,28,2,$4000000.00,$4650000.00,$4650000.00,$5300000.00
UPPER WEST SIDE (79-96)  ,01 ONE FAMILY HOMES                        ,112,3,$4000000.00,$5078667.00,$5020000.00,$6216000.00
UPPER WEST SIDE (79-96)  ,02 TWO FAMILY HOMES                        ,114,2,$4700000.00,$5925000.00,$5925000.00,$7150000.00
WASHINGTON HEIGHTS LOWER ,01 ONE FAMILY HOMES                        ,36,1,$703951.00,$703951.00,$703951.00,$703951.00
WASHINGTON HEIGHTS LOWER ,02 TWO FAMILY HOMES                        ,89,1,$390000.00,$390000.00,$390000.00,$390000.00
WASHINGTON HEIGHTS LOWER ,03 THREE FAMILY HOMES                      ,48,2,$530000.00,$804662.00,$804662.00,$1079323.00
