 Justice Scholar Organization,Community District Served,Address
The Fortune Society,Bronx 1,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Bronx 2,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Bronx 3,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Bronx 4,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Bronx 5,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Bronx 6,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Bronx 9,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Brooklyn 3,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Brooklyn 5,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Brooklyn 8,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Brooklyn 13,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Brooklyn 16,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Manhattan 9,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Manhattan 10,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Manhattan 11,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Queens 1,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Queens 12,"29-76 Northern Blvd., Long Island City, NY 11101"
The Fortune Society,Queens 14,"29-76 Northern Blvd., Long Island City, NY 11101"
South Bronx Overall Development Corporation (SoBRO),Bronx 1,"555 Bergan Ave., Bronx, NY 10455"
South Bronx Overall Development Corporation (SoBRO),Bronx 2,"555 Bergan Ave., Bronx, NY 10455"
South Bronx Overall Development Corporation (SoBRO),Bronx 3,"555 Bergan Ave., Bronx, NY 10455"
South Bronx Overall Development Corporation (SoBRO),Bronx 4,"555 Bergan Ave., Bronx, NY 10455"
South Bronx Overall Development Corporation (SoBRO),Bronx 5,"555 Bergan Ave., Bronx, NY 10455"
South Bronx Overall Development Corporation (SoBRO),Bronx 6,"555 Bergan Ave., Bronx, NY 10455"
South Bronx Overall Development Corporation (SoBRO),Bronx 9,"555 Bergan Ave., Bronx, NY 10455"
Community Mediation Services,Queens 12,"Site 1: 125-01 Queens Blvd., Kew Gardens, NY 11415"
Community Mediation Services,Queens 13,"Site 2: 89-64 163rd St., Jamaica, NY 11432"
New York City Mission Society,Manhattan 11,"646 Malcolm X Blvd., NY, NY 10026"
New York City Mission Society,Manhattan 10,"646 Malcolm X Blvd., NY, NY 10026"
New York City Mission Society,Manhattan 9,"646 Malcolm X Blvd., NY, NY 10026"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Brooklyn 3,"346 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Brooklyn 4,"346 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Brooklyn 5,"346 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Brooklyn 8,"346 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Brooklyn 13,"346 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Brooklyn 16,"346 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Manhattan 9,"347 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Manhattan 10,"347 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Manhattan 11,"347 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 1,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 2,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 3,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 4,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 5,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 6,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Bronx 9,"348 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Queens 1,"349 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Queens 12,"349 Broadway, 6th Floor, NY, NY 10007"
"The Center for Alternatives Sentencing and Employment Services, Inc.",Queens 14,"349 Broadway, 6th Floor, NY, NY 10007"
Graham Windham,Brooklyn 3,"1958 Fulton Street, Rm. 400, Brooklyn, NY 11233"
Graham Windham,Brooklyn 5,"1959 Fulton Street, Rm. 400, Brooklyn, NY 11233"
Graham Windham,Brooklyn 8,"1960 Fulton Street, Rm. 400, Brooklyn, NY 11233"
Graham Windham,Brooklyn 19,"1961 Fulton Street, Rm. 400, Brooklyn, NY 11233"
