Percent Project,Artist,Borough,Council District,Community Board,Location 1
59th Street Marine Transfer Station ," Antonakos, Stephen",Manhattan,Manhattan Council District #3,Manhattan Community Board #4,"59th Street
Avenue, New York
"
Allen Street Malls ," Ladda, Justen",Manhattan,,Manhattan Community Board #3,"Allen Street, New York
(40.70553100025546, -74.00795700041522)"
Alonzo Daughtry Day Care Center ," Dermansky, Julie",Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #6,
Appellate Division Courthouse ," Feigenbaum, Harriet",Manhattan,,,"25th Street
Avenue, New York
"
Audubon Ballroom ," Chase, Colin",Manhattan,Manhattan Council District #10,Manhattan Community Board #12,
Audubon Ballroom ," Galvez, Daniel",Manhattan,Manhattan Council District #10,Manhattan Community Board #12,
Audubon Ballroom ," Koren, Gabriel",Manhattan,Manhattan Council District #10,Manhattan Community Board #12,
Beach Channel Drive Day Care Center ," Dermansky, Julie",Queens,Queens Council District #31,Queens Community Board #14,
Bedford Stuyvesant Multi-Service Center," Bey, Dawoud",Brooklyn,Brooklyn Council District #41,Brooklyn Community Board #3,
Bronx 6 Sanitation Garage ," Kasuba, Aleksandra",Bronx,Bronx Council District #15,Bronx Community Board #6,
Bronx County Hall of Justice ," Davis, Michael",Bronx,Bronx Council District #16,Bronx Community Board #4,
Bronx County Hall of Justice ," Guo-Qiang, Cai",Bronx,Bronx Council District #16,Bronx Community Board #4,
Bronx Housing Court ," Komar, Vitaly",Bronx,Bronx Council District #16,Bronx Community Board #4,
Bronx Housing Court ," Tacla, Jorge",Bronx,Bronx Council District #16,Bronx Community Board #4,
Bronx Library Center ," Manglano-Ovalle, Inigo",Bronx,Bronx Council District #15,Bronx Community Board #7,
Brooklyn Bridge Pedestrian Improvements ," Tillett, Linnaea",Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #2,
Brooklyn Public Library Grillework Conservation , Wallicao Metal & Marble Mainte,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #3,
Brooklyn Public Library Grillework Conservation Phase II, Wallicao Metal & Marble Mainte,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #3,
Cambria Heights Community Library ," Ellmann, Barbara",Queens,Queens Council District #27,Queens Community Board #13,
Clarendon Library ," DeMonte, Claudia",Brooklyn,Brooklyn Council District #45,Brooklyn Community Board #17,
Coney Island Water Pollution Control Center Plant ," Rupp, Christy",Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #15,
Coney Island Water Pollution Control Center Plant ," Smyth, Ned",Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #15,
"Flushing Meadows Corona Park, Core Area "," Mullican, Matt",Queens,Queens Council District #21,Queens Community Board #7,
Crossroads Juvenile Detention Center ," Birch, Willie",Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #16,
Crossroads Juvenile Detention Center ," Ingleton, Carlton",Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #16,
Cumberland Neighborhood Family Care Center ,"Champanier, Abram ",Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #2,
Cypress Hills Library ," Briseno, Rolando",Brooklyn,Brooklyn Council District #37,Brooklyn Community Board #5,
Davidson Avenue Daycare Center ," Jemisin, Noah",Bronx,Bronx Council District #16,Bronx Community Board #5,
Dr. Ronald McNair Park ," Fayomi, Ogundipe",Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #3,
ECC 3 (PS11 Annex) ," Mayo, Steven",Bronx,Bronx Council District #15,Bronx Community Board #3,
ECC/PS 228 ," Hastanan, Skowmon",Queens,Queens Council District #21,Queens Community Board #3,
ECC@(PS 4 Annex) ," Rupp, Christy",Bronx,Bronx Council District #16,Bronx Community Board #4,
East 107th Street Recreational Pier ," Blum, Andrea",Manhattan,Manhattan Council District #8,Manhattan Community Board #11,"107th Street
Esplanade, New York
"
