Deputy Commissioners and Miscellaneous Commands,2005,2006,2007,2008,2009,Total
DC Legal Matters - License Division,1,1,0,0,0,2
DC Legal Matters - Legal Bureau,0,2,0,0,0,2
DC Training - Police Academy,2,2,0,2,0,6
DC Training - Police Academy Training,2,1,2,0,2,7
DC Training - In-service Training Section,2,3,1,0,0,6
DC Management and Budget,2,1,2,1,1,7
PC Office,0,0,0,0,2,2
Chief of Community Affairs,0,1,1,0,0,2
      School Safety Division,16,16,8,3,3,46
Office of Equal Employment,0,0,0,0,0,0
DC Operations,1,2,0,0,0,3
DC Intelligence,8,12,17,13,16,66
Chief of Department,1,3,1,1,0,6
Department Advocate,0,0,0,0,0,0
DC Public Information,3,1,0,0,0,4
Crime Prevention,0,0,0,0,0,0
First Deputy Commissioner,0,0,0,0,0,0
DC Strategic Initiatives,,,,,,
"     Office of Management, Analysis,",,,,,,
     and Planning,1,0,1,0,1,3
     Quality Assurance Division,0,1,0,0,0,1
DC Counterterrorism,0,1,3,1,0,5
Deputy Commissioners and Miscellaneous Commands Total,39,47,36,21,25,168
