Queens North,2005,2006,2007,2008,2009,Total
104th Precinct,2%,3%,0%,2%,3%,10%
108th Precinct,0%,6%,0%,0%,1%,7%
109th Precinct,2%,9%,2%,1%,2%,16%
110th Precinct,0%,0%,0%,4%,1%,5%
111th Precinct,0%,2%,0%,0%,0%,2%
112th Precinct,0%,0%,0%,3%,2%,5%
114th Precinct,4%,1%,2%,0%,1%,8%
115th Precinct,1%,4%,2%,0%,0%,7%
Precincts Total,9%,25%,6%,10%,10%,60%
Task Force,0%,0%,0%,0%,0%,0%
Borough Headquarters,1%,1%,0%,0%,2%,4%
Anti-crime Unit,0%,0%,2%,0%,1%,3%
Patrol Borough Queens North Total,10%,26%,8%,10%,13%,67%
Percent of All Subject Officers Against Whom Allegations were Substantiated,3.4%,6.6%,1.4%,2.7%,3.7%,3.4%
