Transit Bureau,2005,2006,2007,2008,2009,Total
Transit Bureau Headquarters,0,15,14,18,16,63
TB Liaison,0,0,0,0,0,0
TB Inspections,0,0,0,0,0,0
TB Special Investigations,2,0,1,0,0,3
TB Crime Analysis,0,0,0,0,0,0
TB Operations,0,0,0,0,0,0
TB Manhattan,0,1,0,0,1,2
TB Bronx,0,0,1,0,0,1
TB Queens,0,0,0,0,0,0
TB Brooklyn,0,1,0,0,1,2
TB DT 01,22,18,13,10,14,77
TB DT 02,20,22,14,18,10,84
TB DT 03,9,13,17,17,22,78
TB DT 04,18,13,10,25,16,82
TB DT 11,11,17,5,8,7,48
TB DT 12,11,17,11,12,9,60
TB DT 20,8,14,9,9,17,57
TB DT 23,7,7,5,0,3,22
TB DT 30,9,20,20,15,13,77
TB DT 32,15,15,7,7,14,58
TB DT 33,16,21,24,26,18,105
TB DT 34,10,12,15,7,7,51
TB Manhattan/TF,8,8,7,11,8,42
TB Bronx/TF,8,4,3,6,2,23
TB Queens/TF,8,6,4,2,0,20
TB Brooklyn/TF,12,9,2,3,5,31
TB Canine,3,0,4,0,1,8
TB Homeless,0,0,0,1,1,2
TB Vandal,3,1,1,1,2,8
TB Special Operations Unit,7,4,0,0,5,16
TB Other,0,0,0,0,0,0
Transit Bureau Total,207,238,187,196,192,1020
