Organization Name,Preferred Address Line 1,Preferred Block-Lot Number,Constituency Code,Constituent Specific Attributes R-Secondary Type Description
Organization Name,Preferred Address Line 1,Preferred Block-Lot Number,Constituency Code,Constituent Specific Attributes R-Secondary Type Description
Synagogue for the Arts,49 White Street,,Retail Space,C-Religious Institutions
Action Center To End World Hunger,6 River Terrace,16-270,Retail Space,A-Museums & Performing Arts
Circle Line Downtown,"South Street Seaport, Pier 17",15-7501,Retail Space,V-Sightseeing
Circle Line Downtown,"South Street Seaport, Pier 17",15-7501,DLMA Former Member,V-Sightseeing
"3 Legged Dog, Inc.",80 Greenwich Street,18-100,Retail Space,A-Theaters & Cinemas
Church of Our Lady of the Rosary,7-8 State Street,7-Sep,Retail Space,C-Religious Institutions
Irish Hunger Memorial,Battery Park City,16-1,Retail Space,A-Attractions & Landmarks
Trinity Church,74 Trinity Place,51-1,Retail Space,C-Religious Institutions
Trinity Church,Broadway at Wall Street,51-1,Retail Space,A-Attractions & Landmarks
Museum of American Finance,48 Wall Street,40-1,Retail Space,A-Museums & Performing Arts
Bodies The Exhibition,11 Fulton Street,96-1,Cultural Institution,A-Museums & Performing Arts
Bodies The Exhibition,11 Fulton Street,96-1,Retail Space,A-Museums & Performing Arts
Ellis Island Tours with Tom Bernardin,P.O. 1267 ,,Retail Space,V-Sightseeing
The Skyscraper Museum,39 Battery Place,16-7513,Retail Space,A-Museums & Performing Arts
The Skyscraper Museum,39 Battery Place,16-7513,Cultural Institution,A-Museums & Performing Arts
Museum of Jewish Heritage-A Living Memorial to the Holocaust,36 Battery Place,16-10,Retail Space,A-Museums & Performing Arts
Museum of Jewish Heritage-A Living Memorial to the Holocaust,36 Battery Place,16-10,Commercial Property Owner,A-Museums & Performing Arts
Intercoastal Adventures,"South Street Seaport, Pier 17",73-10,Retail Space,V-Sightseeing
Lower Manhattan Community Church,201 Warren Street,16-221,Retail Space,C-Religious Institutions
Ministry of Culture,315 West Street,,Institutional Building,
NYSE Euronext,11 Wall Street,23-2,DLMA Member,V-Sightseeing
NYSE Euronext,11 Wall Street,23-2,Corporation,V-Sightseeing
NYSE Euronext,11 Wall Street,23-2,Retail Space,V-Sightseeing
South Street Seaport,19 Fulton Street,96-12,Retail Space,A-Attractions & Landmarks
St. Paul's Chapel,209 Broadway,87-1,Retail Space,A-Attractions & Landmarks
World Financial Center Arts & Events Program,3 World Financial Center,16-1,Retail Space,A-Museums & Performing Arts
"Statue of Liberty, Museum Services Division",Liberty Island,,Corporation,A-Attractions & Landmarks
"Statue of Liberty, Museum Services Division",Liberty Island,,Retail Space,A-Attractions & Landmarks
World Financial Center,West Street,,Retail Space,A-Attractions & Landmarks
Gray Line Double Decker Bus Tours,49 West 45th Street,1261-15,Retail Space,V-Sightseeing
Schimmel Center for the Arts,1 Pace Plaza,102-1,Retail Space,A-Theaters & Cinemas
American Merchant Mariners Memorial,"Water's edge in Battery Park, adjacent to Pier A",,Retail Space,A-Attractions & Landmarks
19 Liberty Street (Federal Reserve),,66-1,Institutional Building,
Messiah's Reformed Fellowship,241 Water Street,97-51,Retail Space,C-Religious Institutions
Battery Park Synagogue,385 South End Avenue,16-100,Retail Space,C-Religious Institutions
Battery Park Synagogue,385 South End Avenue,16-100,Religious Institution,C-Religious Institutions
New York Public Library,9 Murray Street,134-7503,Retail Space,C-Public Library
Shooting Star Theater,40 Peck Slip,97-1,Retail Space,A-Theaters & Cinemas
Castle Clinton National Monument,1 Battery Park,,Retail Space,A-Attractions & Landmarks
African Burial Ground National Memorial,290 Broadway,154-1,Retail Space,A-Attractions & Landmarks
"""Charging Bull"" at Bowling Green",Broadway at Bowling Green,28-Dec,Retail Space,A-Attractions & Landmarks
Fraunces Tavern Museum,54 Pearl Street,Jul-35,Retail Space,A-Museums & Performing Arts
John Street United Methodist Church,44 John Street,67-30,Retail Space,C-Religious Institutions
John Street United Methodist Church,44 John Street,67-30,Religious Institution,C-Religious Institutions
Our Lady of Victory Church,60 William Street,41-22,Retail Space,C-Religious Institutions
Our Lady of Victory Church,60 William Street,41-22,Commercial Property Owner,C-Religious Institutions
St. Peter's Roman Catholic Church,22 Barclay Street,88-1,Retail Space,C-Religious Institutions
St. Peter's Roman Catholic Church,22 Barclay Street,88-1,Commercial Property Owner,C-Religious Institutions
Wall Street Helicopter Tours,Pier 6,96-1,Retail Space,V-Sightseeing
National Museum of the American Indian,1 Bowling Green,1-Dec,Retail Space,A-Museums & Performing Arts
Regal Battery Park,102 North End Avenue,16-7512,Retail Space,A-Theaters & Cinemas
New York City Police Museum,100 Old Slip,34-1,Retail Space,A-Museums & Performing Arts
Federal Hall National Memorial,26 Wall Street,43-1,Retail Space,A-Attractions & Landmarks
9/11 Memorial Preview Site,20 Vesey Street,88-5,Retail Space,A-Attractions & Landmarks
African American Art Gallery,105 Nassau Street,90-20,Retail Space,A-Museums & Performing Arts
Tribute WTC,120 Liberty Street,52-21,Retail Space,A-Museums & Performing Arts
Center for Castle Garden Immigration,1 Broadway,13-1,Retail Space,A-Museums & Performing Arts
Ellis Island National Museum,Ellis Island,,Retail Space,A-Attractions & Landmarks
Wall Street Synagogue,47 Beekman Street,93-29,Retail Space,C-Religious Institutions
Wall Street Synagogue,47 Beekman Street,93-29,Commercial Property Owner,C-Religious Institutions
Manhattan By Sail,"South Street Seaport, Pier 17",73-10,Retail Space,V-Sightseeing
Poets House,10 River Terrace,16-7516,Non-Profit,A-Museums & Performing Arts
