JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
Federal Congressional District 05 - NY,5,2,0.4,3,0.6,0,0,5,100,0,0,2,0.4,0,0,1,0.2,0,0,1,0.2,1,0.2,0,0,5,100,3,0.6,2,0.4,0,0,0,0,5,100,0,0,5,1,0,0,5,100
Federal Congressional District 06 - NY,48,16,0.33,32,0.67,0,0,48,100,0,0,2,0.04,0,0,0,0,37,0.77,6,0.13,2,0.04,1,0.02,48,100,1,0.02,47,0.98,0,0,0,0,48,100,6,0.13,42,0.88,0,0,48,100
Federal Congressional District 07 - NY,113,73,0.65,40,0.35,0,0,113,100,1,0.01,51,0.45,1,0.01,2,0.02,9,0.08,42,0.37,6,0.05,1,0.01,113,100,7,0.06,105,0.93,1,0.01,0,0,113,100,46,0.41,67,0.59,0,0,113,100
Federal Congressional District 08 - NY,618,384,0.62,234,0.38,0,0,618,100,0,0,51,0.08,0,0,30,0.05,407,0.66,100,0.16,28,0.05,2,0,618,100,15,0.02,599,0.97,4,0.01,0,0,618,100,247,0.4,371,0.6,0,0,618,100
Federal Congressional District 09 - NY,150,83,0.55,67,0.45,0,0,150,100,0,0,12,0.08,0,0,7,0.05,111,0.74,13,0.09,6,0.04,1,0.01,150,100,7,0.05,143,0.95,0,0,0,0,150,100,21,0.14,129,0.86,0,0,150,100
Federal Congressional District 10 - NY,86,69,0.8,17,0.2,0,0,86,100,0,0,2,0.02,0,0,1,0.01,68,0.79,7,0.08,8,0.09,0,0,86,99,1,0.01,85,0.99,0,0,0,0,86,100,36,0.42,50,0.58,0,0,86,100
Federal Congressional District 11 - NY,389,305,0.78,84,0.22,0,0,389,100,0,0,9,0.02,0,0,8,0.02,312,0.8,29,0.07,26,0.07,5,0.01,389,99,11,0.03,378,0.97,0,0,0,0,389,100,97,0.25,292,0.75,0,0,389,100
Federal Congressional District 12 - NY,53,26,0.49,27,0.51,0,0,53,100,0,0,3,0.06,0,0,32,0.6,11,0.21,5,0.09,2,0.04,0,0,53,100,1,0.02,52,0.98,0,0,0,0,53,100,10,0.19,43,0.81,0,0,53,100
Federal Congressional District 13 - NY,41,22,0.54,19,0.46,0,0,41,100,0,0,0,0,0,0,5,0.12,34,0.83,1,0.02,1,0.02,0,0,41,99,4,0.1,37,0.9,0,0,0,0,41,100,5,0.12,36,0.88,0,0,41,100
Federal Congressional District 14 - NY,21,13,0.62,8,0.38,0,0,21,100,0,0,2,0.1,0,0,16,0.76,0,0,2,0.1,1,0.05,0,0,21,100,3,0.14,18,0.86,0,0,0,0,21,100,3,0.14,18,0.86,0,0,21,100
Federal Congressional District 15 - NY,72,42,0.58,30,0.42,0,0,72,100,0,0,32,0.44,0,0,3,0.04,0,0,33,0.46,4,0.06,0,0,72,100,5,0.07,67,0.93,0,0,0,0,72,100,24,0.33,48,0.67,0,0,72,100
Federal Congressional District 16 - NY,270,151,0.56,119,0.44,0,0,270,100,1,0,122,0.45,1,0,3,0.01,0,0,124,0.46,17,0.06,2,0.01,270,99,17,0.06,252,0.93,1,0,0,0,270,99,95,0.35,175,0.65,0,0,270,100
Federal Congressional District 17 - NY,237,146,0.62,91,0.38,0,0,237,100,0,0,110,0.46,1,0,4,0.02,3,0.01,114,0.48,5,0.02,0,0,237,99,14,0.06,219,0.92,4,0.02,0,0,237,100,70,0.3,167,0.7,0,0,237,100
