Business Organization,Business Type Other,Company Name,Company Description,Organization Location,Street Address,Apt Number,Borough,Zipcode,Business Phone,Contact Name,Contact Title,Contact Phone,Contact Fax,Location 1
Cultural Center,,ABC No Rio,"ABC No Rio is a collectively-run center for art and activism. We are known internationally as a venue for oppositional culture. ABC No Rio was founded in 1980 by artists committed to political and social engagement and we retain these values to the present. We seek to facilitate cross-pollination between artists and activists. ABC No Rio is a place where people share resources and ideas to impact society, culture, and community. We believe that art and activism should be for everyone, not just the professionals, experts, and cognoscenti. Our dream is a cadre of actively aware artists and artfully aware activists.",ABC No Rio,156 Rivington Street,,Manhattan,10009,,,,(212) 254-3697,,"156 Rivington Street
Manhattan, NY 10009
(40.72664935898081, -73.97911148500697)"
Cultural Center,,Afro Brazil Arts ,"Empowering people through classes and performances on Capoeira, Brazilian self-defense disguised as dance.",Clementa Soto Velez Arts Center ,107 Suffolk Street,#307,Manhattan,10002,,Michael Goldstein,Executive Director,(212) 677-2203,,"107 Suffolk Street
Manhattan, NY 10002
(40.719521874540526, -73.98583731954874)"
Cultural Center,,"Alianza Dominicana, Inc.","Alianza Dominicana, Inc. is a non-profit community development organization that partners with youth, families and public and private institutions to revitalize economically distressed neighborhoods. Alianza's mission is to assist children, youth and families break the cycle of poverty and fulfill their potential as members of the global community.","Alianza Dominicana, Inc.","2410 Amsterdam Avenue, 4th floor",,Manhattan,10033,,Minerva Guerrero,Executive Assistant,(212) 740-1960,,"2410 Amsterdam Avenue
Manhattan, NY 10033
(40.847155142523604, -73.93158875873911)"
Cultural Center,,Alta Classica Inc.,"Alta Classica was founded in 1996 as part of the Washington Heights and Inwood Festival Week. The mission of Alta Classica is to represent the music of underserved cultures with an emphasis on Hispanic music. We have produced over 35 innovative high quality presentations. We perform Traditional, Classical and World Beat Music.",c/o Susan Razavi,570 Fort Washington Avenue,#64A,Manhattan,10033,,Susan Razavi,General Director,(212) 740-0708,,"570 Fort Washington Avenue
Manhattan, NY 10033
(40.85417884757243, -73.93718254176133)"
Cultural Center,,"Alvin Ailey Dance Foundation, Inc.","Alvin Ailey Dance Foundation is the umbrella organization that supports the activities of Alvin Ailey American Dance Theater, Ailey II, The Ailey School, Ailey Arts In Education & Community Programs and The Ailey Extension. AADF's mission is to further the pioneering work of Alvin Ailey by establishing an extended cultural community which provides dance performances, training and community programs for all people. This performing arts community plays a crucial social role using the beauty and humanity of the African American heritage and other cultures to unite people of all races, ages and backgrounds.","Alvin Ailey Dance Foundation, Inc.",405 West 55th Street,Joan Weill Center for Dance,Manhattan,10019,,Sharon Gersten Luckman,,(212) 405-9000,,"405 55th Street
Manhattan, NY 10019
(40.76672660687168, -73.98684060649379)"
Cultural Center,,Americas Society,"As the premier non-profit membership organization promoting the awareness of the political, economic, and cultural issues that define and challenge the Americas today, we believe that innovative artistic expression is vital to free societies. Understanding the people and societies of the region is essential to upholding our agenda of democracy, the rule of law, and free trade.",Americas Society,680 Park Avenue,,Manhattan,10021,,,,(212) 249-8950,,"680 Park Avenue
Manhattan, NY 10021
(40.76871627512804, -73.96570004331045)"
Dance Company,,Andrea Del Conte Danza Espana,"Andrea Del Conte Danza Espana (a program of the American Spanish Dance Theatre, Inc.), was founded in 1979 by Artistic Director Andrea Del Conte. Since then, it has become one of the most popular flamenco dance companies in the United States. With a diverse repertory rich in flamenco dance tradition, this nine-ten member ensemble, under the artistic guidance of Ms. Del Conte, has developed programs which bring to American audiences the essence of Spanish dance, music and song, with special emphasis on the integral relationship between the various components of flamenco. Choreographers from both Spain and the United States have created works for the repertory, thereby continually adding fresh creative insight and inspiration.",Andrea Del Conte Danza Espana,"144 East 24th Street, #4A",,Manhattan,10010,,Columbine Macher,General Manager,(212) 674-6725,,"144 24th Street
Manhattan, NY 10010
(40.74008311331105, -73.98412895341336)"
Dance Company,,"Annabella Gonzalez Dance Theater, Inc.","A critically acclaimed modern dance company with a Latin touch that offers highly varied performances, expertly-led residencies on varied dance styles - from modern dance to Mexican dance and merengue - and lectures on traditional Mexican dance and masks. The Company has performed in prestigious festivals including Joseph Papp's Latin Festival in New York and Lincoln Center Out-of-Doors and receives critical acclaim nationally","Annabella Gonzalez Dance Theater, Inc.",4 East 89th Street,#P-C,Manhattan,10128,,Annabella Gonzalez,Artistic Director,(212) 722-4128,,"4 89th Street
Manhattan, NY 10128
(40.78338718021173, -73.95890298137842)"
Cultural Center,,Art for Change,"Art for Change exhibits contemporary artists of diverse cultural backgrounds who use art as a tool for progressive social change. Established in 2000, Art for Change is committed to representing art that challenges existing boundaries of culture, meaning and the mainstream. Exhibitions focus on emerging and established artists who are looking to create a challenging statement of contemporary history.",Art for Change,1699 Lexington Ave.  ,Basement North,Manhattan,10029,,,,(212) 348-7044,,"1699 Lexington Ave
Manhattan, NY 10029
(40.79262025466687, -73.94600489086878)"
Museum/Gallery,,Art in General,"Art in General fulfills its mission through a variety of ways, including the organization and presentation of exhibitions, hosting a national and international artist residency program, and through educational in-school art training, regular public programs and membership events. Beginning in 2005, its exhibition program has focused on the commissioning of new work from artists.",Art in General,79 Walker Street,,Manhattan,10013,,Anne Barlow,Executive Director,(212) 219-0473,,"79 Walker Street
Manhattan, NY 10013
(40.7182733025046, -74.0017448702448)"
Dance Company,,"Arthur Aviles Typical Theatre, Inc.","Arthur Aviles Typical Theatre (AATT) is a Bronx-based contemporary modern dance company committed to carving a permanent niche in the Bronx cultural landscape with a repertory of works that explore life on the margins of Latino and gay cultures, and to bring these works to a local, national and international audience. ","Arthur Aviles Typical Theatre, Inc.",841 Barretto Street,,Bronx,10474,,Arthur Aviles,Artistic Director,(718) 842-5223,,"841 Barretto Street
Bronx, NY 10474
(40.81772239811187, -73.89043830565065)"
Cultural Center,,"Arts Resources in Collaboration, Inc.","Arts Resources in Collaboration, Inc. (ARC) is a not-for-profit organization founded in 1976 by co-directors Celia Ipiotis and Jeff Bush to advance the public's access to knowledge about the arts and culture. This is accomplished through the production and distribution of media programs on dance, the arts, and international cultural perspectives. In combination, these activities nurture an arts-literate public, preserve culturally diverse legacies, and establish a repository of educational and cultural resources for future generations.","Arts Resources in Collaboration, Inc.","123 West 18th Street, 7th Floor",7th Fl.,Manhattan,10011,,Celia Ipiotis,Co-director,(212) 206-6492,,"123 18th Street
Manhattan, NY 10011
(40.74016732024642, -73.99568642245652)"
Cultural Center,,"Association of Hispanic Arts, Inc.","The Association of Hispanic Arts, Inc. (AHA) is a not-for-profit organization dedicated to the advancement of Latino arts, artists and arts organizations as an integral part of the cultural life of the nation. We facilitate projects and programs designed to foster the appreciation, growth and well being of the Latino cultural community.",AHA, P.O. Box 1169,,Manhattan,10029,,Julia L. Gutierrez-Rivera,Interim Executive Director,(212) 876-1242,,"1169 Manhattan
NY 10029
(40.79161072055837, -73.94403228106489)"
Dance Company,,Ballet Hispanico,"From the stunning individuality and flamboyant, expressive style of its dancers, to its colorful costumes, lighting, and hot Latin sounds, everything about Ballet Hispanico is smashingly theatrical. Recognized around the world as America's foremost dance interpreter of Hispanic culture, Ballet Hispanico reflects the full diversity of the contemporary Spanish-speaking world with an inventive repertoire that fuses ballet, modern, jazz, Latin dance forms and passionate dancing.",Ballet Hispanico,167 West 89th Street,,Manhattan,10024,,Derek Munson,General Manager,"(212) 362-6710, ext. 24",,"167 89th Street
Manhattan, NY 10024
(40.789236420712164, -73.97266726574436)"
Cultural Center,,Black Filmmaker Foundation,"Established in 1978, The Black Filmmaker Foundation is a non-profit organization that for more than two decades has played a pivotal role in the emergence of the contemporary black film movement. BFF is the home of www.dvRepublic.org, an online community that hosts public discussion and political critiques of film and television and the BFF DV Lab, which incubates new filmmakers and new media.",Black Filmmaker Foundation,11 W. 42nd Street ,,Manhattan,10036,,,,(212) 253-1690,,"11 42nd Street
Manhattan, NY 10036
(40.7536697524886, -73.98125417590482)"
Cultural Center,,"Boricua Festival Committee, Inc.","The Mission of the Boricua Festival Committee Inc. (BFC inc.) is to promote social interaction throughout the Brooklyn Latino Community by working with local community based organizations and elected officials, by fostering and maintaining the spirit of cultural advancement. ","Boricua Festival Committee, Inc.",539 59th Street,,Brooklyn,11220,,Patricia Ruiz,,,,"539 59th Street
Brooklyn, NY 11220
(40.639563672677895, -74.01467943411396)"
Cultural Center,,Bowery Arts & Science ,"BAS is a non-profit organization that was founded in 1995. We are dedicated to the preservation and enhancement of the oral tradition of poetry via live readings, media creation, and to elevating the status of poetry to that of its sister arts. Our mission includes a strong educational component, introducing all manners of poetry to students of all ages; the preservation of endangered languages via the valuation of the poetry of these cultures; and the infusion and integration of poetry with other arts and into the daily life of the citizenry.",Bowery Arts & Science ,310 Bowery,,Manhattan,10012,,Bob Holman,Artistic Director,(212) 334-6414,,"310 Bowery
Manhattan, NY 10012
(40.72491261561235, -73.99243171892536)"
Cultural Center,,"Bread & Roses Cultural Project, Inc.","Bread and Roses is the not-for-profit cultural arm of New York's Health and Human Service Union, 1199/SEIU. Its 220,000 predominantly Latina and African American women members are employed in all job categories in health care institutions throughout the metropolitan area, New Jersey and Florida. Bread and Roses actively strives to depict artistic, cultural and historical themes and issues affecting people from many backgrounds. The New York Times has recognized us as ""the most important cultural project in the labor movement"". Bread and Roses established the only permanent union exhibition space in the nation, Gallery 1199, at the union's New York City headquarters. Because of its diverse constituency of working people, many of whom are immigrants, Bread and Roses is the national leader for collaborative work, with a union, to bring the arts to an enormous group of people largely not reached by traditional arts institutions and programs. ","Bread & Roses Cultural Project, Inc.","322 West 48th Street, 6th floor",,Manhattan,10036,,Esther Cohen,Executive Director,(212) 767-0025,,"322 48th Street
Manhattan, NY 10036
(40.76128509160089, -73.98768083035333)"
Cultural Center,,Bronx Council on the Arts,"Bronx Council on the Arts (BCA) is celebrating over 40 years as a private, non-profit membership organization that is the official cultural agency of Bronx County. Recognized nationally as a leading arts service organization in providing cultural services and arts programs, BCA serves a multicultural constituency in excess of 1.2 million residents",Bronx Council on the Arts,1738 Hone Avenue,,Bronx,10461,,,,(718) 931-9500,,"1738 Hone Avenue
Bronx, NY 10461
(40.84804863826081, -73.85401962535374)"
Dance Company,,"Bronx Dance Theatre, Inc.","For thirty years BRONX DANCE THEATRE has been incorporating the Art form of Dance into the fabric of Bronx life.  Our students learn discipline while experiencing the joy of dance. We prepare Bronx youth to become independent and productive citizens.  Our strong emphasis on classical dance techniques distinguishes BRONX DANCE THEATRE from all the other dance programs in the Bronx. All of our students have the opportunity to participate in professionally staged shows, an experience that informs their life (and delights their families).  The BRONX DANCE THEATRE offers quality professional training in Classical Ballet (Russian technique), Lyrical and Broadway Jazz, Latin Jazz, Tap, Modern (Horton & Graham techniques), West African, Hip-Hop, Salsa, Flamenco, Yoga and Belly Dance.","Bronx Dance Theatre, Inc.","585 East 187th Street, 2nd Floor",,Bronx,10458,,Barbara Klein,Artistic Director,(718) 364-2725,,"585 187th Street
Bronx, NY 10458
(40.85581563819563, -73.88798243080572)"
Museum/Gallery,,"Bronx River Art Center & Gallery, Inc.","BRAC is a place where both emerging and established artists can create and exhibit their works. Our programs of exhibitions, classes, studio spaces and special events (music and dance performances, poetry readings, lectures and film screenings) offer students, artists and residents an opportunity to participate in and experience the arts within an urban setting. All Programming is developed with an emphasis on the appreciation and integration of our unique resources - The Bronx River.","Bronx River Art Center & Gallery, Inc.",1087 E. Tremont Ave.,,Bronx,10460,,Gail Nathan,Executive Director,(718) 589-5819 ext. 11,,"1087 Tremont Ave
Bronx, NY 10460
(40.84006972385026, -73.87771805339278)"
Dance Company,,"Calpulli Mexican Dance Company, Inc.","Calpulli Mexican Dance Company (a.k.a. Calpulli Danza Mexicana) was founded in 2003 by a group of artists who sought to enrich the quality of Mexican traditional dance in New York City. As a not-forprofit organization, its mission is to teach and produce dance-based programming incorporating live music and theatre to promote a diverse image of Mexican cultural heritage.","Calpulli Mexican Dance Company, Inc.",91-10 34th Avenue,#5B,Queens,11372,,Juan Castano,,(718) 507-2677,,"91 10 34th Avenue
Queens, NY 11372
(40.75163073936716, -73.88361254528269)"
Cultural Center,,Caribbean Cultural Center/African Diaspora Institute,"The Caribbean Cultural Center was founded in 1976 to promote, compile and disseminate information about the rich cultural contributions and creative expressions of people of African descent. This is accomplished through concerts, conferences, exhibitions, etc.",Caribbean Cultural Center,408 West 58th Street,,Manhattan,10019,,Melody Capote,Director of External Affairs,(212) 307-7420 ext. 3004,,"408 58th Street
Manhattan, NY 10019
(40.76869691627168, -73.98553960358409)"
Cultural Center,,Casa De La Herencia Cultural Puertorriquena,"La Casa de la Herencia Cultural Puertorriquena, Inc. (La Casa) is a non-profit community based cultural institution, founded by the late New York Assemblyman, Luis Nine of the Bronx. Our main objective is to promote the development of the Puerto Rican culture and to preserve, enrich and disseminate our cultural and literary heritage to the Puerto Rican community and others.",Casa De La Herencia Cultural Puertorriquena,1230 5th Ave. ,Suite 458 ,Manhattan,10029,,Eli Alvarado,President,(212) 722-2600,,"1230 5th Ave
Manhattan, NY 10029
(40.79327675974827, -73.95185048405926)"
Cultural Center,,"Casita Maria, Inc.","Casita Maria’s mission is to create a gateway of opportunity through after school education in the Arts, Literacy and Job Creation while addressing critical needs for youth, families and seniors in predominantly Hispanic communities in New York City and beyond.","Casita Maria, Inc.","830 Southern Blvd., 4th Fl.",c/o Saint Athanasius School,Bronx,10459,,Lue Ann Eldar,,(718) 589-2230,,"830 Southern Blvd
Bronx, NY 10459
(40.81703873525727, -73.89542964305727)"
ResearchAcademic Center,,Center for Puerto Rican Studies,The Center for Puerto Rican Studies is the nation's leading university-based research center devoted to the study of the Puerto Rican experience in the United States.,Hunter College,695 Park Avenue East,# 1429,Manhattan,10021,,Dr. Anthony De Jesus,Interim Director,(212) 772-5688,,"695 Park Avenue
Manhattan, NY 10021
(40.769015072543944, -73.96515896795145)"
Cultural Center,,Center for Traditional Music and Dance,"The Center for Traditional Music and Dance (CTMD), formerly the Ethnic Folk Arts Center, works to celebrate and strengthen the practice of traditional performing arts, affirming the value of diversity as an essential component of our national identity. CTMD develops performance and educational programs of music and dance indigenous to the ethnic communities of the New York region, including concerts, festivals, audio and video productions, concert tours, technical assistance, collaborative projects and consultations with artists, cultural activists and with educational and cultural institutions.",Center for Traditional Music and Dance,"32 Broadway, Room 1314",,Manhattan,10004,,Ethel Raim,Artistic Director,(212) 571-1555,,"32 Broadway
Manhattan, NY 10004
(40.70604252290616, -74.01308532103428)"
Cultural Center,,"Centro Civico Cultural Dominicano, Inc.","Our goals are to aid in the enrichment and empowerment of the young and adults, and to demand a more active role in the empowerment of the dominican and hispanic community.","Centro Civico Cultural Dominicano, Inc.",619 West 145 Street,,Manhattan,10031,,Dr. Marilu Galvin,,(212) 234-9577,,"619 145 Street
Manhattan, NY 10031
(40.82660772644444, -73.95079681858105)"
Cultural Center,,"Centro Cultural Cubano, Inc.","The Cuban Cultural Center is a nonprofit, nonpartisan institution founded by Cuban exiles to preserve, develop, and disseminate our rich Cuban and Cuban-American cultural heritage within a democratic framework of freedom and autonomy, alien to totalitarian ideologies, values handed down to us by our founding fathers since the 19th Century.","Centro Cultural Cubano, Inc.","P.O. Box 2608, Times Square Station",,Manhattan,10036,,Iraida Iturralde,President,,,"2608 Times Square Station
Manhattan, NY 10036
(40.75934682719435, -73.989860554421)"
Cultural Center,,"Centro Educativo Bolivariano, Inc.","This Center was created to contribute in the formation of a new generation of children with concrete values and principles in the city of New York. Students will be submerged in an environment where they can learn not only Spanish but also art, theater, sports, etc. This center aims to work with families in order to help them create a better society.","Centro Educativo Bolivariano, Inc.",33-16 79th St.,,Jackson Heights,11370,,Liliana Estrella,,(718) 396-1161,,"33 16 79th St
Jackson Heights, NY 11370
(40.75935377085989, -73.89184400040028)"
Other (Film Distributors),,Cinema Tropical,"Cinema Tropical is a New York-based non-profit organization that promotes, programs and distributes Latin American cinema in the United States. Cinema Tropical's main project is The Cinema Tropical Film Series that features one recent Latin American film every month at five venues in the NYC area and travels to 12 highly prominent theatres and the finest cultural institutions around the country.",Cinema Tropical,611 Broadway ,Ste. 836,Manhattan,10012,,Carlos Gutierrez,,(212) 254-5474,,"611 Broadway
Manhattan, NY 10012
(40.72579081668578, -73.99649799300539)"
Cultural Center,,Clemente Soto Velez Cultural Center,"The Clemente Soto Velez Cultural & Educational Center (CSV), a 501 (C) 3 not-for-profit, was founded in 1993. The CSV Cultural Center is a Puerto Rican/Latino cultural institution that has demonstrated a broad-minded cultural vision and a collaborative philosophy. While CSV's mission is focused on the cultivation, presentation and preservation of Puerto Rican and Latino culture, it is equally determined to operate in a multi-cultural and inclusive manner, housing and promoting artists and performance events that fully reflect the cultural diversity of the Lower East Side and the city as a whole.",Clemente Soto Velez Cultural Center,"107 Suffolk Street, Room 312",,Manhattan,10002,,Luis Cancel,Executive Director,(212) 260-4080 ext 12,,"107 Suffolk Street
Manhattan, NY 10002
(40.719521874540526, -73.98583731954874)"
Cultural Center,,Colonial Dames of America,"Founded in 1890, our objectives are to maintain our headquarters as a museum, and to maintain other restorations, for educational purposes; provide educational opportunities and scholarships; collect for preservation manuscripts, traditions, relics, and mementoes of American history; Commemorate the great historical events of the thirteen original Colonies; and diffuse scholarly information and create popular interest in American history. ",Colonial Dames of America,421 East 61st Street,,Manhattan,10021,,Audrey Svensson,President General,(212) 838-6878,,"421 61st Street
Manhattan, NY 10021
(40.76920532766377, -73.959183941086)"
