Events,Level A Parks,Level B Parks,Level C Parks,Level D Parks,Category,Comments
"Promotional/Commercial, Private - 
Under 25% of Designated Area",N/A,"$12,000","$7,200","$2,400",Basic Event ,
"Promotional/Commercial, Private - 
25%-50% of Designated Area",N/A,"$20,000","$12,000","$4,000",Basic Event ,
"Promotional/Commercial, Private - 
Over 50% of Designated Area","$35,000","$22,000","$13,200","$4,400",Basic Event ,
"Athletic Non-Charitable Event - 
Under 25% of Designated Area",N/A,"$8,000","$4,800","$1,600",Basic Event ,
"Athletic Non-Charitable Event - 
25%-50% of Designated Area",N/A,"$16,000","$9,600","$3,200",Basic Event ,
"Athletic Non-Charitable Event - 
Over 50% of Designated Area",N/A,"$18,000","$10,800","$3,600",Basic Event ,
"Athletic Charitable Event - 
Under 25% of Designated Area",N/A,"$1,000",$600,$200,Basic Event ,
"Athletic Charitable Event - 
25%-50% of Designated Area",N/A,"$2,000","$1,200",$400,Basic Event ,
"Athletic Charitable Event - 
Over 50% of Designated Area",N/A,"$3,000","$1,800",$600,Basic Event ,
General Events - Under 25% of Designated Area,N/A,"$3,000","$1,800",$600,Basic Event ,
General Events - 25%-50% of Designated Area,N/A,"$11,000","$6,600","$2,200",Basic Event ,
General Events - Over 50% of Designated Area,"$18,200","$13,000","$7,800","$2,600",Basic Event ,
Amplified Sound,"$2,100","$1,500",$900,$300,Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Sampling,"$2,100","$1,500",$900,$300,Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
"Tent - 801 sq. ft. - 6,400 sq. ft.","$4,200","$3,000","$1,800",$600,Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
"Tent - 6,401 sq. ft. - 10,000 sq. ft.",N/A,"$6,400","$3, 840","$1,280",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
"Tent - 10,001 sq. ft. and Above",N/A,"$10,000","$6,000","$2,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
"Stage - 1,000 cubic ft. - 2,500 cubic ft.","$2,100","$1,500",$900,$300,Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
"Stage - 2,501 cubic ft. - 10,000cubic ft.","$7,000","$5,000","$3,000","$1,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
"Stage - 10,001 cubic ft. and Above","$14,000","$10,000","$6,000","$2,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Back Drop - 6 ft. - 20 ft.,"$7,000","$5,000","$3,000","$1,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Back Drop - 21 ft. and Over,"$14,000","$10,000","$6,000","$2,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Inflatables - 15 cubic feet - 50cubic feet,"$7,000","$5,000","$3,000","$1,000",Fixed-Rate Charges,A fee will be imposed for each individual Inflatable as defined by this section. All Fixed-Rate Charges are in addition to Basic Event Fees.
Inflatables - 51 cubic feet - 100cubic feet,"$14,000","$10,000","$6,000","$2,000",Fixed-Rate Charges,A fee will be imposed for each individual Inflatable as defined by this section. All Fixed-Rate Charges are in addition to Basic Event Fees.
Display Vehicles - Mid-size,"$10,000","$7,500","$3,000","$1,000",Fixed-Rate Charges,A fee will be imposed for each individual Display Vehicle as defined by this section. All Fixed-Rate Charges are in addition to Basic Event Fees.
Display Vehicles - Oversize/Trailers/Buses,"$12,500","$10,000","$7,500","$3,000",Fixed-Rate Charges,A fee will be imposed for each individual Display Vehicle as defined by this section. All Fixed-Rate Charges are in addition to Basic Event Fees.
Event Time - 18 Hours - 48 Hours,"$7,000","$5,000","$3,000","$1,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Event Time - 49 Hours - 96 Hours,"$14,000","$10,000","$6,000","$2,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Event Time - 97 Hours - 168 Hours,"$28,000","$20,000","$12,000","$4,000",Fixed-Rate Charges,All Fixed-Rate Charges are in addition to Basic Event Fees
Event Time - 169 Hours and More,"priced by 
negotiation","priced by 
negotiation","priced by 
negotiation","priced by 
negotiation",,
