UNIT,EVENT NAME,EVENT DATE,PLACE,TIME,ADDRESS,TYPE OF EVENT,ESTIMATED # OF PARTICIPANTS,OPEN TO THE PUBLIC
Creative Arts ,Gala Benefit Concert,"Monday, February 04, 2013",Weill Recital Hall at Carnegie Hall,8:00 p.m.," 881 7th Avenue, New York, NY 10019, between 56th and 57th Streets",Indoor,TBA,
Education Through Sports ,Basketball Tournament Boys & Girls ,February TBD,Manhattanville CC Opening Ceremony,10am-5pm,"153 W. 133rd St., NYC ",Indoor,200,Yes
Food Program,City Harvest Mobile Markets,"Tuesday, February 5th, 2013 ",Stapleton Houses and Gerard Carter Center,TBD,"189 Gordon Street,Staten Island, NY 10304",Outdoor,200-250,
Creative Arts ,Youth Chorus Performance African-American History Month Celebration,"Tuesday, February 19, 2013",Castle Hill Senior Center,TBD,"625 Castle Hill Avenue, Bronx, NY",Indoor,250,Yes
Garden & Greening Program,11th Annual Garden and Greening Conference,"Friday, March 15th, 2013 ",Johnson CC or Polo Grounds CC,"10.00 am-
2.00 pm",TBD,Indoor,450,
Garden & Greening Program,Wycoff Farm Museum Tours,March 25th Through March 29th ,Wycoff Farm Musuem ,10:00 am to 2:00 PM,"5816 Clarendon Road, Brooklyn, NY 11230 at Ralph Avenue ",Outdoor,200,
Creative Arts ,"43rd
Annual Talent Show","Saturday, April 13, 2013",Apollo,"2.00 pm-
5.00 pm","253 West 125th Street, NY, NY",Indoor,1200,
Creative Arts ,Youth Chorus Performance NYCHA Talent Show,"Saturday, April 13, 2013",Apollo,"2.00 pm-
5.00 pm","253 West 125th Street, NY, NY",Indoor,1200,Yes
Education Through Sports ,Basketball Boys & Girls Finals,"Saturday, May 04, 2013",Polo Grounds,10:00am- 5:00pm,Polo Grounds ,Indoor,400,Yes
Education Through Sports ,Double Dutch  Showcase,"Friday, May 17, 2013",TBD,6:00pm-9:00pm,TBD,Indoor,100,Yes
