Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,Not SWD,13647,669,1143,8.4,2498,18.3,7632,55.9,2374,17.4,10006,73.3
BRONX,3,2006,SWD,2798,638,919,32.8,759,27.1,986,35.2,134,4.8,1120,40
BRONX,3,2007,Not SWD,13194,680,512,3.9,1815,13.8,7783,59,3084,23.4,10867,82.4
BRONX,3,2007,SWD,2995,647,733,24.5,825,27.5,1213,40.5,224,7.5,1437,48
BRONX,3,2008,Not SWD,12603,682,223,1.8,1219,9.7,8837,70.1,2324,18.4,11161,88.6
BRONX,3,2008,SWD,3033,654,447,14.7,842,27.8,1610,53.1,134,4.4,1744,57.5
BRONX,3,2009,Not SWD,12665,686,73,0.6,814,6.4,9286,73.3,2492,19.7,11778,93
BRONX,3,2009,SWD,3144,663,185,5.9,752,23.9,2009,63.9,198,6.3,2207,70.2
BRONX,3,2010,Not SWD,12458,687,1400,11.2,4953,39.8,4013,32.2,2092,16.8,6105,49
BRONX,3,2010,SWD,3408,669,1238,36.3,1384,40.6,616,18.1,170,5,786,23.1
BRONX,3,2011,Not SWD,12524,681,1452,11.6,5187,41.4,5083,40.6,802,6.4,5885,47
BRONX,3,2011,SWD,3296,668,1114,33.8,1441,43.7,670,20.3,71,2.2,741,22.5
BRONX,3,2012,Not SWD,12695,683,1544,12.2,5001,39.4,5246,41.3,904,7.1,6150,48.4
BRONX,3,2012,SWD,3368,668,1147,34.1,1432,42.5,725,21.5,64,1.9,789,23.4
BRONX,4,2006,Not SWD,12963,665,1122,8.7,3054,23.6,6899,53.2,1888,14.6,8787,67.8
BRONX,4,2006,SWD,2835,627,1090,38.4,871,30.7,803,28.3,71,2.5,874,30.8
BRONX,4,2007,Not SWD,12792,669,779,6.1,2801,21.9,7139,55.8,2073,16.2,9212,72
BRONX,4,2007,SWD,3274,634,1127,34.4,974,29.7,1063,32.5,110,3.4,1173,35.8
BRONX,4,2008,Not SWD,12426,674,527,4.2,2000,16.1,7661,61.7,2238,18,9899,79.7
BRONX,4,2008,SWD,3319,642,877,26.4,943,28.4,1349,40.6,150,4.5,1499,45.2
BRONX,4,2009,Not SWD,12130,685,346,2.9,1331,11,7043,58.1,3410,28.1,10453,86.2
BRONX,4,2009,SWD,3401,650,685,20.1,857,25.2,1588,46.7,271,8,1859,54.7
BRONX,4,2010,Not SWD,12442,679,698,5.6,5170,41.6,4533,36.4,2041,16.4,6574,52.8
BRONX,4,2010,SWD,3464,655,826,23.8,1810,52.3,699,20.2,129,3.7,828,23.9
BRONX,4,2011,Not SWD,12294,681,577,4.7,4633,37.7,5008,40.7,2076,16.9,7084,57.6
BRONX,4,2011,SWD,3618,654,954,26.4,1766,48.8,792,21.9,106,2.9,898,24.8
BRONX,4,2012,Not SWD,11941,683,613,5.1,4149,34.7,4786,40.1,2393,20,7179,60.1
BRONX,4,2012,SWD,3432,657,839,24.4,1603,46.7,780,22.7,210,6.1,990,28.8
BRONX,5,2006,Not SWD,13575,652,1735,12.8,4557,33.6,6129,45.1,1154,8.5,7283,53.7
BRONX,5,2006,SWD,2818,621,1240,44,983,34.9,569,20.2,26,0.9,595,21.1
BRONX,5,2007,Not SWD,13010,663,849,6.5,3620,27.8,6979,53.6,1562,12,8541,65.6
BRONX,5,2007,SWD,3250,628,1111,34.2,1261,38.8,823,25.3,55,1.7,878,27
BRONX,5,2008,Not SWD,12306,671,441,3.6,2246,18.3,7611,61.8,2008,16.3,9619,78.2
BRONX,5,2008,SWD,3456,639,795,23,1199,34.7,1346,38.9,116,3.4,1462,42.3
BRONX,5,2009,Not SWD,11977,680,216,1.8,1498,12.5,7063,59,3200,26.7,10263,85.7
BRONX,5,2009,SWD,3522,651,448,12.7,1094,31.1,1727,49,253,7.2,1980,56.2
BRONX,5,2010,Not SWD,12034,679,786,6.5,4615,38.3,4617,38.4,2016,16.8,6633,55.1
BRONX,5,2010,SWD,3486,653,933,26.8,1711,49.1,714,20.5,128,3.7,842,24.2
BRONX,5,2011,Not SWD,12138,681,692,5.7,4363,35.9,5250,43.3,1833,15.1,7083,58.4
BRONX,5,2011,SWD,3568,656,869,24.4,1728,48.4,866,24.3,105,2.9,971,27.2
BRONX,5,2012,Not SWD,12016,682,812,6.8,3938,32.8,4772,39.7,2494,20.8,7266,60.5
BRONX,5,2012,SWD,3708,654,1049,28.3,1595,43,872,23.5,192,5.2,1064,28.7
BRONX,6,2006,Not SWD,13147,643,2537,19.3,4808,36.6,5153,39.2,649,4.9,5802,44.1
BRONX,6,2006,SWD,2684,605,1558,58,790,29.4,314,11.7,22,0.8,336,12.5
BRONX,6,2007,Not SWD,12601,654,1418,11.3,4083,32.4,6010,47.7,1090,8.7,7100,56.3
BRONX,6,2007,SWD,3021,615,1444,47.8,1045,34.6,506,16.7,26,0.9,532,17.6
BRONX,6,2008,Not SWD,12029,662,694,5.8,3131,26,6671,55.5,1533,12.7,8204,68.2
BRONX,6,2008,SWD,3346,625,1143,34.2,1276,38.1,870,26,57,1.7,927,27.7
BRONX,6,2009,Not SWD,11845,670,369,3.1,2430,20.5,7187,60.7,1859,15.7,9046,76.4
BRONX,6,2009,SWD,3595,637,862,24,1426,39.7,1198,33.3,109,3,1307,36.4
