BOROUGH,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
Brooklyn,0K,GEN ED,-,-,-,17264,783,22
Brooklyn,0K,CTT,-,-,-,3056,149,20.5
Brooklyn,0K,G&T,-,-,-,390,21,18.6
Brooklyn,01,GEN ED,-,-,-,18658,823,22.7
Brooklyn,01,CTT,-,-,-,2783,126,22.1
Brooklyn,01,G&T,-,-,-,512,22,23.3
Brooklyn,02,GEN ED,-,-,-,18083,784,23.1
Brooklyn,02,CTT,-,-,-,2775,123,22.6
Brooklyn,02,G&T,-,-,-,370,17,21.8
Brooklyn,03,GEN ED,-,-,-,17201,737,23.3
Brooklyn,03,CTT,-,-,-,2803,120,23.4
Brooklyn,03,G&T,-,-,-,817,36,22.7
Brooklyn,04,GEN ED,-,-,-,16729,674,24.8
Brooklyn,04,CTT,-,-,-,2940,121,24.3
Brooklyn,04,G&T,-,-,-,939,39,24.1
Brooklyn,05,GEN ED,-,-,-,16460,652,25.2
Brooklyn,05,CTT,-,-,-,2498,104,24
Brooklyn,05,G&T,-,-,-,976,40,24.4
Brooklyn,06,GEN ED,-,-,-,14553,552,26.4
Brooklyn,06,CTT,-,-,-,3046,127,24
Brooklyn,06,G&T,-,-,-,2142,71,30.2
Brooklyn,07,GEN ED,-,-,-,15006,557,26.9
Brooklyn,07,CTT,-,-,-,2931,118,24.8
Brooklyn,07,G&T,-,-,-,2140,72,29.7
Brooklyn,08,GEN ED,-,-,-,15562,576,27
Brooklyn,08,CTT,-,-,-,2666,107,24.9
Brooklyn,08,G&T,-,-,-,2464,80,30.8
Brooklyn,09,GEN ED,-,-,-,165,10,16.5
Brooklyn,0K-09,SPEC ED,-,-,12:1,2699,276,9.8
Brooklyn,0K-09,SPEC ED,-,-,12:1:1,7903,815,9.7
Brooklyn,0K-09,SPEC ED,-,-,15:1,16,2,8
Brooklyn,0K-09,SPEC ED,-,-,6:1:1,6,1,6
Brooklyn,0K-09,SPEC ED,-,-,8:1:1,12,1,12
Brooklyn,MS Core,GEN ED,ENGLISH,MS English Core,-,50800,1927,26.4
Brooklyn,MS Core,GEN ED,MATH,MS Math Core,-,41593,1572,26.5
Brooklyn,MS Core,GEN ED,MATH,Integrated Algebra,-,3143,111,28.3
Brooklyn,MS Core,GEN ED,MATH,Geometry,-,148,7,21.1
Brooklyn,MS Core,GEN ED,MATH,Trigonometry,-,342,12,28.5
Brooklyn,MS Core,GEN ED,MATH,Math A,-,1418,47,30.2
Brooklyn,MS Core,GEN ED,MATH,Math B,-,17,1,17
Brooklyn,MS Core,GEN ED,SCIENCE,MS Science Core,-,41160,1535,26.8
Brooklyn,MS Core,GEN ED,SCIENCE,Earth Science,-,1896,64,29.6
Brooklyn,MS Core,GEN ED,SCIENCE,Living Environment,-,3264,121,27
Brooklyn,MS Core,GEN ED,SCIENCE,Chemistry,-,10,1,10
Brooklyn,MS Core,GEN ED,SCIENCE,Physics,-,71,3,23.7
Brooklyn,MS Core,GEN ED,SCIENCE,Other Science,-,2845,108,26.3
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,41981,1563,26.9
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,2284,79,28.9
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,842,35,24.1
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,2264,84,27
Brooklyn,MS Core,CTT,ENGLISH,MS English Core,-,8166,329,24.8
Brooklyn,MS Core,CTT,MATH,MS Math Core,-,7199,288,25
Brooklyn,MS Core,CTT,MATH,Integrated Algebra,-,81,3,27
