name,boro,geo_dist,projdesc,award,consttype,buildingid,Location 1
ACADEMY OF COLLABORATIVE ED,M,5,EXTERIOR MASONRY/REPAIR WINDOWS,4678000,CIP,M092,"222 134 STREET
New York, NY 10030
(40.8149219739981, -73.94493618207292)"
AUTOMOTIVE TRADES VOC HS,K,14,FIRE ALARM,402500,CIP,K610,"50 BEDFORD AVENUE
Brooklyn, NY 11222
(40.72215011764413, -73.95311779468979)"
All City Leadership School,K,78,Lease,29299000,CAP,K554,"321 Palmetto St
Brooklyn, NY 11237
(40.69743439114146, -73.91312770264774)"
Ampark Neighborhood School,X,10,Addition,48624000,CAP,X095,"3961 Hillman Ave
Bronx, NY 10463
(40.883162755141505, -73.89107454904517)"
Art and Design HS,M,78,New,0,CAP,M488,"231 249 E 56th St
New York, NY 10022
(40.758630224005685, -73.96809182217982)"
BEACH CHANNEL HS,Q,27,SWB-HAZARDOUS MASONRY/PARAPET/ROOF/EXTERIOR DOORS,23480000,CIP,Q410,"100 00 BEACH CHANNEL DRIVE
QUEENS, NY 11694
(40.57657830564432, -73.85077700055808)"
BEEKMAN SCHOOL (PROJ#1)PS@M971,M,2,BEEKMAN INTERIOR FIT-OUT WORK,24288902.98,CIP,M971,"12 SPRUCE ST
NEW YORK, NY 10038
(40.71174136432668, -74.00596371272646)"
BELL ACADEMY@ Q169,Q,25,SCIENCE LAB UPGRADE,342000,CIP,Q169,"18 25 212 STREET
BAYSIDE, NY 11360
(40.78070133439911, -73.78226733686807)"
BREAD AND ROSES HS,M,5,EXTERIOR MASONRY/ROOFS/SECURITY LIGHTING/PARAPETS,7920000,CIP,M136,"6 EDGECOMBE AVENUE
NEW YORK, NY 10030
(40.81720320936426, -73.94777715277199)"
BRKLYN ACAD. OF GLOBAL FINANCE,K,16,NEW SCIENCE LAB SUITE,963000,CIP,K057,"125 STUYVESANT AVENUE
Brooklyn, NY 11221
(40.691184878420714, -73.93365273330902)"
BROADWAY EDUCATION CAMPUS,M,2,LEASE (1ST & 2ND FLOOR),20500000,CIP,M282,"26 BROADWAY
NEW YORK, NY 10004
(40.70549393646826, -74.01331914476191)"
BRONX COALITION HS (@X420),X,12,FY10 RESO A SCHOOL BASED HEALTH CLINIC,648000,CIP,X420,"1300 BOYNTON AVENUE
Bronx, NY 10472
(40.831280981918596, -73.87881047207371)"
BRONX ENGINEERING & TECH ACAD.,X,10,PAVED AREAS-BLACKTOP,1270000,CIP,X475,"99 TERRACE VIEW AVENUE
Bronx, NY 10463
(40.877210772673564, -73.91213621128965)"
BRONX HS OF SCIENCE,X,10,SCIENCE LAB UPGRADE,1494999,CIP,X445,"75 205 STREET
Bronx, NY 10468
(40.875578988056745, -73.88689697376654)"
BROOKLYN COMM,K,13,FY10 RESO A OUT TRACK & MIXED USE,1061000,CIP,K117,"300 WILLOUGHBY AVENUE
Brooklyn, NY 11205
(40.69261081871296, -73.95894653911148)"
