Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
3,2006,All Students,61478,661,7331,11.9,16353,26.6,34615,56.3,3179,5.2,37794,61.5
3,2007,All Students,71045,656,9249,13,21735,30.6,35695,50.2,4375,6.2,40070,56.4
3,2008,All Students,68883,659,6131,8.9,21504,31.2,35716,51.9,5532,8,41248,59.9
3,2009,All Students,70074,664,4546,6.5,16906,24.1,43067,61.5,5555,7.9,48622,69.4
3,2010,All Students,69629,663,12632,18.1,24590,35.3,23389,33.6,9018,13,32407,46.5
3,2011,All Students,71060,660,11353,16,25520,35.9,31807,44.8,2380,3.3,34187,48.1
3,2012,All Students,71861,661,11871,16.5,24810,34.5,31198,43.4,3982,5.5,35180,49
4,2006,All Students,64467,657,7602,11.8,18876,29.3,34196,53,3793,5.9,37989,58.9
4,2007,All Students,69933,654,8073,11.5,22693,32.4,35724,51.1,3453,4.9,39177,56
4,2008,All Students,69364,657,7306,10.5,19545,28.2,38517,55.5,3996,5.8,42513,61.3
4,2009,All Students,68555,663,4068,5.9,17252,25.2,43643,63.7,3592,5.2,47235,68.9
4,2010,All Students,70399,666,8340,11.8,29958,42.6,29016,41.2,3085,4.4,32101,45.6
4,2011,All Students,70240,669,7023,10,27391,39,34190,48.7,1636,2.3,35826,51
4,2012,All Students,69882,670,7505,10.7,25777,36.9,33776,48.3,2824,4,36600,52.4
5,2006,All Students,68997,654,6120,8.9,23740,34.4,33102,48,6035,8.7,39137,56.7
5,2007,All Students,71241,656,5296,7.4,25950,36.4,36869,51.8,3123,4.4,39992,56.1
5,2008,All Students,68781,661,1864,2.7,19317,28.1,44645,64.9,2955,4.3,47600,69.2
5,2009,All Students,68355,669,654,1,16671,24.4,44343,64.9,6687,9.8,51030,74.7
5,2010,All Students,67699,669,10207,15.1,26241,38.8,23617,34.9,7634,11.3,31251,46.2
5,2011,All Students,69507,666,8446,12.2,27033,38.9,30898,44.5,3130,4.5,34028,49
5,2012,All Students,68845,668,8380,12.2,24528,35.6,32911,47.8,3026,4.4,35937,52.2
6,2006,All Students,69213,646,7019,10.1,28558,41.3,28733,41.5,4903,7.1,33636,48.6
6,2007,All Students,69649,652,2713,3.9,32284,46.4,30705,44.1,3957,5.7,34662,49.8
6,2008,All Students,68698,652,1941,2.8,30527,44.4,34718,50.5,1512,2.2,36230,52.7
6,2009,All Students,68002,662,146,0.2,18471,27.2,44953,66.1,4432,6.5,49385,72.6
6,2010,All Students,67607,658,11662,17.2,28822,42.6,24714,36.6,2409,3.6,27123,40.1
6,2011,All Students,67864,658,11680,17.2,26578,39.2,27846,41,1760,2.6,29606,43.6
6,2012,All Students,69290,660,9807,14.2,28113,40.6,30185,43.6,1185,1.7,31370,45.3
7,2006,All Students,70514,642,8055,11.4,31278,44.4,27892,39.6,3289,4.7,31181,44.2
7,2007,All Students,72724,645,6572,9,33131,45.6,30336,41.7,2674,3.7,33010,45.4
7,2008,All Students,70709,655,1915,2.7,26694,37.8,40961,57.9,1139,1.6,42100,59.5
7,2009,All Students,69368,660,463,0.7,19743,28.5,46241,66.7,2921,4.2,49162,70.9
7,2010,All Students,68377,661,10533,15.4,31699,46.4,21159,30.9,4986,7.3,26145,38.2
7,2011,All Students,68820,659,8987,13.1,34724,50.5,23559,34.2,1550,2.3,25109,36.5
7,2012,All Students,67787,662,7286,10.7,31151,46,27688,40.8,1662,2.5,29350,43.3
8,2006,All Students,70758,639,9958,14.1,34923,49.4,23950,33.8,1927,2.7,25877,36.6
8,2007,All Students,73551,643,7160,9.7,35667,48.5,28731,39.1,1990,2.7,30721,41.8
8,2008,All Students,70720,647,5325,7.5,34991,49.5,28357,40.1,2047,2.9,30404,43
8,2009,All Students,71225,653,1878,2.6,28749,40.4,38583,54.2,2015,2.8,40598,57
8,2010,All Students,70898,651,10025,14.1,34265,48.3,23505,33.2,3103,4.4,26608,37.5
8,2011,All Students,70083,650,8121,11.6,37440,53.4,23833,34,689,1,24522,35
8,2012,All Students,69253,653,6841,9.9,35373,51.1,26225,37.9,814,1.2,27039,39
All Grades,2006,All Students,405427,649,46085,11.4,153728,37.9,182488,45,23126,5.7,205614,50.7
All Grades,2007,All Students,428143,651,39063,9.1,171460,40,198060,46.3,19572,4.6,217632,50.8
All Grades,2008,All Students,417155,655,24482,5.9,152578,36.6,222914,53.4,17181,4.1,240095,57.6
All Grades,2009,All Students,415579,662,11755,2.8,117792,28.3,260830,62.8,25202,6.1,286032,68.8
All Grades,2010,All Students,414609,662,63399,15.3,175575,42.3,145400,35.1,30235,7.3,175635,42.4
All Grades,2011,All Students,417574,660,55610,13.3,178686,42.8,172133,41.2,11145,2.7,183278,43.9
All Grades,2012,All Students,416918,662,51690,12.4,169752,40.7,181983,43.6,13493,3.2,195476,46.9
