ELECTION,CANDID,CANDNAME,OFFICECD,OFFICEBORO,OFFICEDIST,CANCLASS,PRIMARYPAY,GENERALPAY,RUNOFFPAY,TOTALPAY
ELECTION,CANDID,CANDNAME,OFFICECD,OFFICEBORO,OFFICEDIST,CANCLASS,PRIMARYPAY,GENERALPAY,RUNOFFPAY,TOTALPAY
2001,B4,"Aboulafia, Sandy",5,,44,P,45410,0,0,45410
2001,445,"Adams, Jackie R",5,,7,P,11073,0,0,11073
2001,HF,"Addabbo, Joseph P",5,,32,P,75350,73970,0,149320
2001,IR,"Alamo-Estrada, Agustin",5,,14,P,25000,2400,0,27400
2001,BR,"Allen, William A",5,,9,P,62990,0,0,62990
2001,454,"Alleyne, Alithia",5,,40,P,0,0,0,0
2001,375,"Alonso, Miguel",5,,37,P,36121,680,0,36801
2001,241,"Andrews, Jr., Anthony D",5,,28,P,68580,20156,0,88736
2001,504,"Ariola, JoAnn",5,,32,P,0,69816,0,69816
2001,51,"Avella, Tony",5,,19,P,75350,75170,0,150520
2001,279,"Bader, Paul",5,,39,P,75350,0,0,75350
2001,81,"Badillo, Herman",1,,,P,356723,0,0,356723
2001,591,"Baez, Maria",5,,14,P,75350,14912,0,90262
2001,KH,"Baldwin-Ferguson, Imogene",5,,35,P,0,0,0,0
2001,258,"Banks, Steven R",5,,39,P,75350,0,0,75350
2001,DD,"Barron, Charles",5,,42,P,75350,17148,0,92498
2001,256,"Bastone, Terry A",5,,11,P,47820,0,0,47820
2001,25,"Benjamin, Michael A",5,,16,P,75280,32946,0,108226
2001,HL,"Berman, Herbert E",3,,,P,1487732,89128,0,1576860
2001,560,"Bernace, Victor A",5,,7,P,19520,0,0,19520
2001,321,"Bilal, Charles A",5,,28,P,0,0,0,0
2001,330,"Blake, James",5,,31,P,51676,0,0,51676
2001,508,"Bloodsaw, Daryl G",5,,7,P,37312,0,0,37312
2001,550,"Bouchard, Michelle",5,,3,P,0,65704,0,65704
2001,399,"Brewer, Gale A",5,,6,P,75350,75350,0,150700
2001,539,"Brook Krasny, Alec",5,,47,P,66304,0,0,66304
2001,543,"Brooks, Curtis",5,,12,P,0,0,0,0
2001,EC,"Brown, Everly D",5,,31,P,0,0,0,0
2001,517,"Brown, Michael E",5,,6,P,0,0,0,0
2001,F9,"Cammarata, Joseph F",5,,49,P,0,73868,0,73868
2001,ED,"Carrion, Jr., Adolfo",4,X,,P,346954,84848,0,431802
2001,306,"Carroll, John W",5,,39,P,75350,0,0,75350
2001,DT,"Castellanos, Francesca M",5,,10,P,21292,0,0,21292
2001,319,"Cermeli, Robert",5,,30,P,49572,0,0,49572
2001,394,"Chan, Louisa M",5,,25,P,29444,0,0,29444
2001,302,"Cheliotes, Arthur",5,,19,P,75350,0,0,75350
2001,CF,"Chen, Ethel T",5,,20,P,75350,0,0,75350
2001,98,"Chin, Margaret S",5,,1,P,90053,74070,0,164123
2001,287,"Chin, Rockwell J",5,,1,P,91333,75350,0,166683
2001,235,"Chou, Evergreen C",5,,20,P,0,0,0,0
2001,448,"Ciafone, John J",5,,22,P,0,0,0,0
2001,434,"Clarke, Amanda L",5,,31,P,0,0,0,0
2001,511,"Clarke, Yvette D",5,,40,P,3462,74460,0,77922
2001,369,"Cohn, Steven D",5,,33,P,73850,73310,0,147160
2001,366,"Colon, Willie",2,,,P,0,0,0,0
2001,420,"Comrie, Leroy G",5,,27,P,71388,0,0,71388
2001,483,"Conley, Joseph T",5,,26,P,75350,0,0,75350
2001,413,"Cooper-Gregory, Helen A",5,,27,P,75350,0,0,75350
2001,530,"Crowley, Elizabeth S",5,,30,P,74825,70271,0,145096
2001,351,"Curran, Robert E",5,,32,P,0,0,0,0
2001,476,"Curry, Anthony",5,,16,P,0,0,0,0
2001,EQ,"Davis, James E",5,,35,P,75350,47032,0,122382
2001,326,"de Blasio, Bill",5,,39,P,75350,67535,0,142885
2001,K4,"Del Giorno, Jon R",5,,49,P,75350,0,0,75350
2001,453,"Del Villar, Angel",5,,21,P,0,0,0,0
2001,569,"DeMarco Jr., Alexander A",5,,51,P,0,0,0,0
2001,501,"Detiege-Cormier, Roy-Pierre",5,,41,P,0,0,0,0
2001,449,"Diamondstone, Kenneth A",5,,33,P,75350,19596,0,94946
2001,C4,"DiBrienza, Stephen",2,,,P,1069324,0,267331,1336655
