Year,Total Population,Foreign-Born Population
1790,33131,-
1800,60515,-
1810,96373,-
1820,123706,"5,390"
1830,202589,"17,773"
1840,312710,-
1850,515547,"235,733"
1860,813669,"383,717"
1870,942292,"419,094"
1880,1206299,"478,670"
1890,1515301,"639,943"
1900,3437202,"1,270,080"
1910,4766883,"1,944,357"
1920,5620048,"2,028,160"
1930,6930446,"2,358,686"
1940,7454995,"2,138,657"
1950,7891957,"1,784,206"
1960,7783314,"1,558,690"
1970,7894798,"1,437,058"
1980,7071639,"1,670,199"
1990,7322564,"2,082,931"
2000,8008278,"2,871,032"
