NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,84,1,$485000.00,$485000.00,$485000.00,$485000.00
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        ,14,1,$480000.00,$480000.00,$480000.00,$480000.00
ARVERNE                  ,01 ONE FAMILY HOMES                        ,696,32,$161000.00,$297194.00,$310276.00,$390291.00
ARVERNE                  ,02 TWO FAMILY HOMES                        ,1528,112,$160000.00,$505043.00,$427868.00,$1170987.00
ARVERNE                  ,03 THREE FAMILY HOMES                      ,137,6,$165000.00,$414658.00,$506796.00,$582320.00
ASTORIA                  ,01 ONE FAMILY HOMES                        ,1979,54,$150000.00,$552234.00,$556000.00,$1207099.00
ASTORIA                  ,02 TWO FAMILY HOMES                        ,5665,74,$175000.00,$689831.00,$700000.00,$1600000.00
ASTORIA                  ,03 THREE FAMILY HOMES                      ,3069,44,$155000.00,$653181.00,$715000.00,$1070000.00
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,8775,246,$150000.00,$606888.00,$600000.00,$2225000.00
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,3002,74,$150000.00,$751116.00,$777500.00,$1110000.00
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,495,14,$300000.00,$814500.00,$872500.00,$1075000.00
BEECHHURST               ,01 ONE FAMILY HOMES                        ,1178,20,$257500.00,$679765.00,$650000.00,$1125000.00
BEECHHURST               ,02 TWO FAMILY HOMES                        ,131,2,$910000.00,$1235000.00,$1235000.00,$1560000.00
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,1007,25,$325000.00,$720756.00,$700000.00,$1225000.00
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,765,19,$430000.00,$737708.00,$700000.00,$1275000.00
BELLEROSE                ,01 ONE FAMILY HOMES                        ,3346,101,$150000.00,$445081.00,$440000.00,$780000.00
BELLEROSE                ,02 TWO FAMILY HOMES                        ,673,27,$153500.00,$525935.00,$517000.00,$1450000.00
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,734,18,$292000.00,$428607.00,$430000.00,$650000.00
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,378,7,$372138.00,$500948.00,$492000.00,$615500.00
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,193,5,$184925.00,$569985.00,$730000.00,$760000.00
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,719,25,$168256.00,$323210.00,$330000.00,$529881.00
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,74,1,$450000.00,$450000.00,$450000.00,$450000.00
