MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00007-7501,735-R1,"1 COENTIES
New York City, New York
",FINANCIAL,R9-CONDOPS,42,1920,36500,994000,27.2,4820000,132,1-00629-0029,"304 14 STREET
New York City, New York
",GREENWICH VILLAGE-WEST,C7-WALK-UP,73,1905,38376,1422003,37.1,7150000,186,2.55,1-00906-0015,"227 25 STREET
New York City, New York
",GRAMERCY,C4-WALK-UP,60,1900,32070,354297,11.05,1250000,39,2.95
1-00015-7501,1025-R1,"17 BATTERY PLACE
New York City, New York
",FINANCIAL,R4-ELEVATOR,500,0,554174,17000000,30.7,82400000,149,1-00913-0001,"471 3 AVENUE
New York City, New York
",MURRAY HILL,D6-ELEVATOR,311,1972,351560,11305238,32.2,54800000,156,3.3,1-01048-0020,"315 57 STREET
New York City, New York
",MIDTOWN WEST,D6-ELEVATOR,372,1965,392966,15729783,40,79100000,201,4.55
1-00015-7502,1557-R1,"20 WEST STREET
New York City, New York
",FINANCIAL,R4-ELEVATOR,282,1930,249076,9500000,38.1,47799993,192,1-00027-0009,"63 WALL STREET
New York City, New York
",FINANCIAL,D5-ELEVATOR,472,1929,390531,14699410,37.6,73900000,189,0.4,1-00056-0004,"90 WEST STREET
New York City, New York
",FINANCIAL,D5-ELEVATOR,410,1908,357000,12475757,34.9,62700000,176,0.3
1-00016-7501,308-R1,"377 RECTOR PLACE
New York City, New York
",TRIBECA,R4-ELEVATOR,239,1985,219495,7600000,34.6,38200001,174,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0,1-00016-0221,"201 WARREN STREET
New York City, New York
",TRIBECA,D8-ELEVATOR,151,1998,244617,8422163,34.4,42300000,173,0
1-00016-7502,313-R1,"320 ALBANY STREET
New York City, New York
",TRIBECA,R4-ELEVATOR,133,1986,139719,4830000,34.6,24300004,174,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0,,,,,,,,,,,,
1-00016-7503,385-R1,"250 END AVENUE
New York City, New York
",TRIBECA,R4-ELEVATOR,109,1985,105000,3360000,32,16299998,155,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0,,,,,,,,,,,,
1-00016-7504,360-R1,"300 ALBANY STREET
New York City, New York
",TRIBECA,R4-ELEVATOR,107,1986,87479,2800000,32,13600002,155,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0,,,,,,,,,,,,
1-00016-7505,371-R1,"380 RECTOR PLACE
New York City, New York
",TRIBECA,R4-ELEVATOR,247,1987,255845,8850000,34.6,44500013,174,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0,,,,,,,,,,,,
1-00016-7506,398-R1,"280 RECTOR PLACE
New York City, New York
",TRIBECA,R4-ELEVATOR,121,1985,106129,3300000,31.1,15999994,151,1-00016-0015,"50 BATTERY PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,208,1998,239165,6486300,27.1,31400000,131,0,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0
1-00016-7507,450-R1,"300 RECTOR PLACE
New York City, New York
",TRIBECA,R4-ELEVATOR,154,1986,126008,4020000,31.9,19500001,155,1-00016-0015,"50 BATTERY PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,208,1998,239165,6486300,27.1,31400000,131,0,1-00016-0080,"333 RECTOR PLACE
New York City, New York
",TRIBECA,D8-ELEVATOR,232,1985,219703,8670482,39.5,43600000,198,0
