Borough,Age,2000,2005,2010,2015,2020,2025,2030
NYC Total,0-4,540878,523904,527354,536810,544773,549039,546601
NYC Total,5-9,561115,525356,508693,508003,517690,527183,532339
NYC Total,10-14,530816,573889,537532,516532,516163,527453,538179
NYC Total,15-19,520641,556185,599903,559104,538550,539777,551975
NYC Total,20-24,589831,593361,634178,678911,634446,615873,618025
NYC Total,25-29,680659,679521,681653,726325,779142,729830,711752
NYC Total,30-34,687362,672297,671397,668645,712926,767718,720872
NYC Total,35-39,660901,648632,634406,628782,627212,671642,724652
NYC Total,40-44,602379,648361,635853,616916,612222,614546,659223
NYC Total,45-49,531118,569301,613077,596498,579089,578698,582104
NYC Total,50-54,481267,525717,563627,602521,586417,574608,575279
NYC Total,55-59,369105,429823,469524,499582,534469,527260,517756
NYC Total,60-64,314349,337431,393367,426211,453515,494191,488679
NYC Total,65-69,259167,272301,292957,338703,366944,400740,437360
NYC Total,70-74,235627,208394,219210,234013,270659,304701,333112
NYC Total,75-79,193221,190760,169123,176408,188542,230514,259599
NYC Total,80-84,128139,129823,128437,113183,118116,138872,169614
NYC Total,85+,121703,121080,121923,120090,111689,130410,152690
NYC Total,Total,8008278,8206135,8402213,8547236,8692564,8923055,9119811
Bronx,0-4,109732,104324,107103,111214,113080,112609,110878
Bronx,5-9,119767,109310,103915,104385,108442,110571,110221
Bronx,10-14,107816,121541,110953,103215,103710,108018,110252
Bronx,15-19,101208,110907,124493,111621,104176,104958,109243
Bronx,20-24,100352,104466,114380,125667,112843,105752,106659
Bronx,25-29,101403,104276,108679,116970,128883,115760,108383
Bronx,30-34,107055,99233,102038,104026,111945,123723,111307
Bronx,35-39,106501,103110,95630,96201,98072,105950,117190
Bronx,40-44,93820,103085,99797,90532,91099,93348,101012
Bronx,45-49,79039,87907,96699,91503,82971,84041,86212
Bronx,50-54,69671,75013,83504,89867,85040,77750,78838
Bronx,55-59,55965,61868,66629,72425,77973,74743,68435
Bronx,60-64,46373,49450,54658,57445,62454,68508,65756
Bronx,65-69,38072,39654,42313,45598,47923,53505,58736
Bronx,70-74,32751,30074,31298,32494,34970,38186,42606
Bronx,75-79,26627,25997,23917,24237,25169,28577,31180
Bronx,80-84,18009,17741,17341,15562,15765,17919,20253
Bronx,85+,18489,18130,17847,16942,15762,17702,19878
Bronx,Total,1332650,1366086,1401194,1409904,1420277,1441620,1457039
Brooklyn,0-4,182599,174319,175499,177989,178823,177588,174691
Brooklyn,5-9,189677,176236,168285,168178,170750,171945,170992
Brooklyn,10-14,182866,192815,179201,169909,169971,172931,174372
Brooklyn,15-19,177281,186933,197071,182011,172848,173320,176536
Brooklyn,20-24,183217,185013,195087,204247,188878,179953,180675
Brooklyn,25-29,197427,200154,202207,211946,222179,205867,196294
Brooklyn,30-34,192287,192217,194934,195495,205108,215643,200104
Brooklyn,35-39,189671,182777,182788,183945,184632,194409,204665
