Species Scientific Name,Species Common Name,Form,Growth Rate,Fall Color,Environmental Tolerances,Location Tolerances,Notes/Suggested Cultivars,Tree Size,Comments
Ginkgo biloba,Ginkgo,Upright,Slow,Yellow,"Salt, Drought, High Wind, Pollution and High pH Tolerant","Median Tree, Narrow Growing Space",'Autumn Gold' or 'Presedential Gold',Large (Mature Height > 50 ft),
Quercus spp. 'Fastigiata',Fastigiata Oak,Upright,Slow,Maroon,none,"Median Tree, Narrow Growing Space",Similar tree is Quercus robur,Large (Mature Height > 50 ft),
Liquidambar styraciflua,Sweetgum,Pyramidal,Medium,Yellow,Wet Site Tolerant,none,"Plant Spring Only, lawn pits only, look for 'Rotundiloba'",Large (Mature Height > 50 ft),
Metasequoia glyptostroboides,Dawn Redwood,Pyramidal,Medium,Orange/Brown,"Wet Site, Drought, High pH Tolerant","Median Tree, Narrow Growing Space",Can Grow 2 to 3 Feet per Year,Large (Mature Height > 50 ft),
Taxodium distichum,Baldcypress,Pyramidal,Medium,Orange/Brown,"Wet Site, Salt and High Wind Tolerant","Median Tree, Narrow Growing Space",Ideal For Wet Soils,Large (Mature Height > 50 ft),
Tilia cordata,Littleleaf Linden,Pyramidal,Medium,Yellow,Pollution Tolerant,Median Tree,'Greenspire',Large (Mature Height > 50 ft),
Gymnocladus dioicus,Coffeetree,Rounded,Medium,Yellow,Drought Tolerant,none,'Espresso',Large (Mature Height > 50 ft),
Gleditsia triacanthos var. inermis,Honeylocust,Rounded,Medium,Yellow,"Wet Site, Salt, Drought, High Wind, Pollution, and High pH Tolerant",Median Tree,'Halka',Large (Mature Height > 50 ft),
Liriodendron tulipifera,Tulip Tree,Pyramidal,Medium,Yellow,none,none,'Rotundiloba',Large (Mature Height > 50 ft),
Quercus rubra,Northern Red Oak,Rounded,Medium,Maroon,Salt Tolerant,none,Plant Spring Only,Large (Mature Height > 50 ft),
Quercus bicolor,Swamp White Oak,Rounded,Medium,Yellow,Wet Site and Drought Tolerant,Median Tree,Plant Spring Only,Large (Mature Height > 50 ft),
Quercus imbricaria,Shingle Oak,Rounded,Medium,Yellow,none,none,Plant Spring Only,Large (Mature Height > 50 ft),
Quercus palustris,Pin Oak,Rounded,Medium,Maroon,"Drought, High Wind, and Pollution Tolerant",Median Tree,Needs large tree pit,Large (Mature Height > 50 ft),
Quercus phellos,Willow Oak,Rounded,Slow,Yellow/Orange,Drought and Pollution Tolerant,Median Tree,Plant Spring Only,Large (Mature Height > 50 ft),
Tilia americana,American Linden,Rounded,Medium,Yellow,Shade and High pH Tolerant,none,'Redmond',Large (Mature Height > 50 ft),
Tilia x euchlora,Crimean Linden,Rounded,Medium,Yellow,Pollution Tolerant,none,Pest Resistant,Large (Mature Height > 50 ft),
Tilia tomentosa,Silver Linden,Rounded,Medium,Yellow,Salt and Shade Tolerant,none,'Green Mountain',Large (Mature Height > 50 ft),
Zelkova serrata,Japanese Zelkova,Vase–Like,Medium,Red/Bronze,"Drought, High Wind, Pollution, and High pH Tolerant","Median Tree, Small Tree Pit(<3ft), and Narrow Growing Space",'Halka',Large (Mature Height > 50 ft),
Celtis occidentalis,Hackberry,Rounded,Medium,Yellow,Salt and High pH Tolerant,none,'Magnifica',Large (Mature Height > 50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Fraxinus americana,White Ash,Pyramidal,Medium,Purple/Maroon,"Salt, Drought, Pollution and High pH Tolerant",Median Tree,'Windy City',Large (Mature Height > 50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Fraxinus pennsylvanica,Green Ash,Pyramidal,Medium,Yellow,"Salt, Drought, Pollution and High pH Tolerant",Median Tree,'Patmore',Large (Mature Height > 50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Platanus x acerifolia,London Plane,Rounded,Medium,Yellow,"Wet Site, Salt, Drought, High Wind, Pollution and High pH Tolerant",Median Tree,Tolerates Tough Conditions,Large (Mature Height > 50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Ulmus americana,American Elm,Vase–Like,Medium,Yellow,"Wet Site, Salt, Drought, Shade and High pH Tolerant",Median Tree,"'Homestead', 'Pioneer', or'Accolade'",Large (Mature Height > 50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Carpinus betulus,European Hornbeam,Upright,Medium,Yellow,"Salt, Drought, Pollution and Shade Tolerant","Small Tree Pit (<3 ft), Narrow Growing Space",'Fastigiata' cultivar is best for narrow spaces,Medium (Mature Height 35-50 ft),
Quercus robur,English Oak,Upright,Slow,Yellow,Salt and High pH Tolerant,"Small Tree Pit (<3 ft), Narrow Growing Space",Plant Spring Only,Medium (Mature Height 35-50 ft),
Corylus colurna,Turkish Filbert,Pyramidal,Medium,Yellow,Drought and High pH Tolerant,Small Tree Pit (<3 ft),Also known as Turkish Hazelnut,Medium (Mature Height 35-50 ft),
Nyssa sylvatica,Black Gum,Pyramidal,Medium,Red,Wet Site Tolerant,none,Should only be planted in extremly wet sites,Medium (Mature Height 35-50 ft),
Ostrya virginiana,American Hophornbeam,Rounded,Slow,Yellow,Shade and High pH Tolerant,Small Tree Pit (<3 ft),Plant Spring Only,Medium (Mature Height 35-50 ft),
Quercus acutissima,Sawtooth Oak,Rounded,Medium,Yellow,Salt and High pH Tolerant,Small Tree Pit (<3 ft),Plant Spring Only,Medium (Mature Height 35-50 ft),
Eucommia ulmoides,Hardy Rubber Tree,Rounded,Slow,Yellow,Salt and Drought Tolerant,Small Tree Pit (<3 ft),Tolerates Tough Conditions,Medium (Mature Height 35-50 ft),
Styphnolobium japonicum,Scholar Tree,Rounded,Medium,Cream,"Drought, High Wind, and Pollution Tolerant","Median Tree, Small Tree Pit (<3 ft)",'Regent',Medium (Mature Height 35-50 ft),
Acer rubrum,Red Maple,Rounded,Medium,Red,Wet Site and Shade Tolerant,none,'Redpointe' or 'Red Sunset',Medium (Mature Height 35-50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Ulmus parvifolia,Chinese Elm,Rounded,Medium,Yellow,Salt and High pH Tolerant,none,'Allee',Medium (Mature Height 35-50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Cercidiphyllum japonicum,Katsura Tree,Rounded,Medium,Yellow/Orange,Wet Site and Shade Tolerant,none,Tree Does Best In Lawn Pits,Medium (Mature Height 35-50 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Koelreuteria paniculata,Goldenraintree,Rounded,Medium,Yellow,"Salt, Drought, Pollution, High pH Tolerant",Small Tree Pit (<3 ft),Tolerates tough conditions,Intermediate (Mature Height 25-35 ft),
Maackia amurensis,Amur Maackia,Rounded,Slow,Yellow,Drought and High pH Tolerant,Small Tree Pit (<3 ft),"Fixes Its Own Nitrogen in the Soil, Late Bloomer",Intermediate (Mature Height 25-35 ft),
Pyrus calleryana,Callery Pear,Rounded,Medium,Maroon,"Salt, Drought, Pollution, and High pH Tolerant",Small Tree Pit (<3 ft),Plant sparingly,Intermediate (Mature Height 25-35 ft),
Acer truncatum,Shantung Maple,Rounded,Slow,Yellow,High pH Tolerant,Small Tree Pit (<3 ft),Spring foliage is purplish–red and changes to green,Intermediate (Mature Height 25-35 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Acer campestre,Hedge Maple,Rounded,Slow,Yellow,Salt and High pH Tolerant,Small Tree Pit (<3 ft),'Queen Elizabeth',Intermediate (Mature Height 25-35 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Amelanchier sp.,Serviceberry,Rounded,Slow,Red/ Yellow,Wet Site and Shade Tolerant,Small Tree Pit (<3 ft),"'Autumn Sunset,' 'Cumulus,' and 'White Pillar'",Small (Mature Height < 25 ft),
Cercis canadensis,Eastern Redbud,Rounded,Medium,Yellow,"Salt, Shade and High pH Tolerant","Median Tree, Small Tree Pit (<3 ft)",Does Best in Lawn Pits,Small (Mature Height < 25 ft),
Carpinus caroliniana,American Hornbeam,Rounded,Slow,Yellow/Orange,Shade Tolerant,Small Tree Pit (<3 ft),Plant Spring Only,Small (Mature Height < 25 ft),
Malus sp.,Crabapple,Rounded,Slow,Red/ yellow,Salt and Drought Tolerant,"Median Tree, Small Tree Pit (<3 ft)","M. zumi , and 'Donald Wyman,' 'Spring Snow' is seedless",Small (Mature Height < 25 ft),
Cotinus sp.,Smoke Tree,Rounded,Slow,Red/Bronze,none,Small Tree Pit (<3 ft),'Royal Purple' or 'Grace',Small (Mature Height < 25 ft),
Crataegus sp.,Hawthorn,Rounded,Medium,Maroon,Salt and Drought Tolerant,"Median Tree, Small Tree Pit (<3 ft)","'Winter King,' 'Princeton Sentry,' or 'Crimson Cloud'",Small (Mature Height < 25 ft),
Cornus mas,Cornelian Cherry,Rounded,Medium,Yellow,Salt Tolerant,Small Tree Pit (<3 ft),One of the first flowering spring trees,Small (Mature Height < 25 ft),
Lagerstroemia indica,Crapemyrtle,Rounded,Slow,Yellow/ Bronze,Drought and Pollution Tolerant,"Small Tree Pit (<3 ft), Narrow Growing Space",Tolerates Tough Conditions,Small (Mature Height < 25 ft),
Prunus virginiana 'Schubert',Schubert Cherry,Pyramidal,Medium,Maroon,"Salt, Drought, Pollution, and High pH Tolerant","Median Tree, Small Tree Pit (<3 ft)",Tolerates Tough Conditions,Small (Mature Height < 25 ft),
Syringa reticulata,Japanese Tree Lilac,Rounded,Medium,Yellow,"Salt, Drought, and Shade Tolerant","Median Tree, Small Tree Pit (<3 ft), Narrow Growing Space",'Ivory Silk',Small (Mature Height < 25 ft),
Prunus cerasifera,Purpleleaf Plum,Rounded,Medium,Maroon,Salt Tolerant,Small Tree Pit (<3 ft),"'Atropurpurea,' 'Thundercloud'",Small (Mature Height < 25 ft),
Prunus 'Okame',Okame Cherry,Rounded,Medium,Red/Bronze,none,Small Tree Pit (<3 ft),Earliest Blooming Cherry,Small (Mature Height < 25 ft),
Prunus padus,European Birdcherry,Rounded,Slow,Yellow/Bronze,none,Small Tree Pit (<3 ft),One of the First Trees to Leaf Out in the Spring,Small (Mature Height < 25 ft),
Prunus sargentii,Sargent Cherry,Rounded,Slow,Red/Bronze,none,Small Tree Pit (<3 ft),'Accolade' is Semi–double Flowering;,Small (Mature Height < 25 ft),
Prunus serrulata 'Kwanzan',Japanese Flowering Cherry,Rounded,Slow,Red/Orange,none,Small Tree Pit (<3 ft),Double–flowering,Small (Mature Height < 25 ft),
Prunus x yedoensis,Yoshino Cherry,Rounded,Medium,Yellow,none,Small Tree Pit (<3 ft),Tree Does Best in Lawn Pits,Small (Mature Height < 25 ft),
Acer ginnala,Amur Maple,Rounded,Slow,Red,High pH Tolerant,Small Tree Pit (<3 ft),Tolerates Tough Conditions,Small (Mature Height < 25 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
Fraxinus 'Leprechaun',Leprechaun Green Ash,Rounded,Slow,Yellow,Wet Site and Salt Tolerant,Small Tree Pit (<3 ft),Good for wet sites under wires,Small (Mature Height < 25 ft),"Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island"
