TOWN**,Amawalk,Bog Brook,Boyds Corner,Cross River,Croton Falls,Diverting,East Branch,Kensico,Lake Gilead,Lake Gleneida,Middle Branch,Muscoot,New Croton,Titicus,West Branch,Sub-total Town Acres Inside NYC Watershed,Town Acres Outside NYC Watershed,Total Town Acreage,% of each Town in NYC Watershed
Dutchess County,,,,,,,,,,,,,,,,,,,
Amenia,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,27921.6,27921.6,
,,,,,,,,,,,,,,,,,,,0%
Beekman,,,,,,,,,,,,,,,,,,,
,,,,,,,12.5603,,,,,,,,,,,,
,,,,,,,,,,,987.285,,,,,,,,
,,,,,,,,,,,,,,,,999.85,18669.7,19669.55,5.08%
City of Beacon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,3152.33,3152.33,0%
City of Poughkeepsie,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,3603.86,3603.86,0%
Clinton,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,24813.1,24813.1,0%
Dover,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,36032.1,36032.1,0%
East Fishkill,,,,,,,,,,,,,,,,,,,
,,,3269.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,2404.29,,,,,,,,
,,,,,,,,,,,,,,,149.38,5822.9,30962.6,36785.5,15.83%
Fishkill,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,20457.48,20457.48,0%
Hyde Park,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,25461.6,25461.6,0%
La Grange,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,25781.3,25781.3,0%
Milan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,23388.8,23388.8,0%
Northeast,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,28043.19,28043.19,0%
Pawling,,,,,,,,,,,,,,,,,,,
,,,,,,,12839.14138,,,,,,,,,,,,
