DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,37,53,21
01M450,EAST SIDE COMMUNITY SCHOOL,12,12,s
01M458,FORSYTH SATELLITE ACADEMY,s,s,s
01M509,MARTA VALLE HIGH SCHOOL,14,15,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,50,60,54
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",306,587,323
01M650,CASCADES HIGH SCHOOL,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,s,s,s
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,41,41,s
02M294,ESSEX STREET ACADEMY,s,s,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,s,s,s
02M298,PACE HIGH SCHOOL,s,s,s
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",135,135,8
02M303,"FACING HISTORY SCHOOL, THE",32,32,s
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",31,40,20
02M308,LOWER MANHATTAN ARTS ACADEMY,11,11,s
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",s,s,s
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",28,28,11
02M374,GRAMERCY ARTS HIGH SCHOOL,s,s,s
02M376,NYC ISCHOOL,80,105,20
02M392,MANHATTAN BUSINESS ACADEMY,s,s,s
02M393,BUSINESS OF SPORTS SCHOOL,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,s,s,s
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,224,334,215
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,50,56,28
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,108,161,92
