Borough,Grade,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MANHATTAN,9,18366,17150,16092,15537,14879,14380,14440,13884,13327,13725,13764
MANHATTAN,10,16631,16113,15107,14246,13782,13255,12860,12962,12475,12038,12451
MANHATTAN,11,13281,12256,11899,11213,10632,10330,9990,9755,9876,9555,9255
MANHATTAN,12,11423,12121,11190,10869,10251,9730,9461,9156,8950,9069,8780
MANHATTAN,Spec Ed,3554,3551,3435,3369,3290,3238,3250,3258,3251,3302,3367
MANHATTAN,GED (16-20),2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111
MANHATTAN,GED (21+),65,65,65,65,65,65,65,65,65,65,65
MANHATTAN,TOTAL,65431,63366,59900,57410,55010,53110,52177,51192,50055,49866,49792
BRONX,9,17323,17370,16319,16309,15783,15496,15509,15227,14867,14960,14781
BRONX,10,15851,14304,14340,13481,13461,13031,12796,12824,12587,12299,12393
BRONX,11,10932,10884,9834,9858,9280,9248,8961,8802,8851,8683,8498
BRONX,12,9566,9609,9568,8651,8673,8170,8135,7885,7747,7802,7654
BRONX,Spec Ed,5684,5623,5492,5406,5386,5343,5365,5366,5361,5388,5423
BRONX,GED (16-20),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
BRONX,GED (21+),28,28,28,28,28,28,28,28,28,28,28
BRONX,TOTAL,61384,59819,57581,55734,54611,53316,52793,52132,51442,51161,50777
BROOKLYN,9,25247,25311,23711,23274,22408,21925,21373,21013,20675,20556,20465
BROOKLYN,10,24953,23162,23232,21845,21454,20658,20259,19806,19486,19200,19127
BROOKLYN,11,15802,14932,13914,13958,13174,12948,12464,12245,12003,11815,11652
BROOKLYN,12,15740,15963,15074,14043,14084,13285,13057,12568,12340,12091,11901
BROOKLYN,Spec Ed,6520,6464,6282,6142,6093,5992,5935,5892,5875,5881,5939
BROOKLYN,GED (16-20),2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347
BROOKLYN,GED (21+),24,24,24,24,24,24,24,24,24,24,24
BROOKLYN,TOTAL,90633,88203,84585,81632,79584,77178,75460,73895,72750,71914,71456
QUEENS,9,21871,22236,21529,21390,21287,21049,21529,21631,21954,21990,20113
QUEENS,10,20181,19068,19406,18812,18681,18596,18426,18955,18925,19226,19332
QUEENS,11,15882,14953,14163,14432,14012,13900,13842,13754,14273,14104,14347
QUEENS,12,13687,14209,13379,12677,12920,12546,12443,12393,12318,12801,12629
QUEENS,Spec Ed,4577,4649,4649,4706,4826,4907,5032,5239,5452,5634,5632
QUEENS,GED (16-20),1477,1477,1477,1477,1477,1477,1477,1477,1477,1477,1477
QUEENS,GED (21+),11,11,11,11,11,11,11,11,11,11,11
QUEENS,TOTAL,77686,76603,74614,73504,73214,72485,72761,73459,74411,75244,73541
RICHMOND,9,4599,4525,4513,4411,4382,4469,4449,4514,4698,4792,4813
RICHMOND,10,4323,4403,4323,4304,4210,4172,4252,4237,4286,4474,4558
RICHMOND,11,3748,3545,3611,3527,3498,3424,3370,3434,3429,3445,3618
RICHMOND,12,3262,3219,3044,3102,3024,2994,2934,2881,2934,2934,2939
RICHMOND,Spec Ed,1330,1357,1393,1426,1459,1504,1539,1596,1663,1732,1813
RICHMOND,GED (16-20),400,400,400,400,400,400,400,400,400,400,400
RICHMOND,GED (21+),3,3,3,3,3,3,3,3,3,3,3
RICHMOND,TOTAL,17665,17451,17287,17173,16976,16965,16948,17065,17412,17780,18142
NEW YORK CITY,9,87406,86591,82164,80920,78740,77319,77301,76269,75521,76023,73936
NEW YORK CITY,10,81939,77049,76408,72688,71588,69710,68594,68785,67759,67237,67860
NEW YORK CITY,11,59645,56570,53421,52988,50595,49849,48627,47989,48432,47602,47370
NEW YORK CITY,12,53678,55121,52256,49341,48951,46725,46030,44883,44290,44698,43902
NEW YORK CITY,Spec Ed,21665,21645,21251,21049,21054,20985,21121,21352,21602,21938,22174
NEW YORK CITY,GED (16-20),8335,8335,8335,8335,8335,8335,8335,8335,8335,8335,8335
NEW YORK CITY,GED (21+),131,131,131,131,131,131,131,131,131,131,131
NEW YORK CITY,TOTAL,312799,305442,293966,285452,279394,273055,270139,267743,266070,265964,263708
