PROGRAM_LST_ID,PROGRAM_CODE,PROGRAM_NAME,ACTIVE_FLAG,AGENCY_NAME,DESCRIPTION,BOROUGH,PROG_CONTACT_LAST_NAME,PROG_CONTACT_FIRST_NAME,PROG_CONTACT_PHONE_NO,PROG_CONTACT_FAX_NO,PROG_CONTACT_EXTENSION,PROG_CONTACT_EMAIL,PROGRAM_ADDRESS_1,PROGRAM_ADDRESS_2,PROGRAM_CITY,PROGRAM_ZIP,OFFICE_MON_FROM_TIME,OFFICE_MON_TO_TIME,OFFICE_TUES_FROM_TIME,OFFICE_TUES_TO_TIME,OFFICE_WED_FROM_TIME,OFFICE_WED_TO_TIME,OFFICE_THURS_FROM_TIME,OFFICE_THURS_TO_TIME,OFFICE_FRI_FROM_TIME,OFFICE_FRI_TO_TIME,OFFICE_SAT_FROM_TIME,OFFICE_SAT_TO_TIME,OFFICE_SUN_FROM_TIME,OFFICE_SUN_TO_TIME
163,00A385PR,Family Support Center Inc. - G.P. - Brooklyn ,Y,Arab-American Family Support Center,General Preventive,Brooklyn,Alhusseini,Lena,7186438000,7186438167,,lena@aafscny.org,150 Court Street,,Brooklyn,11201,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
643,00A680PR,Family Support Center-Astoria,Y,Arab-American Family Support Center,General Preventive,Queens,Alhusseini,Lena,7186438000,,,,37-10 30th Street,,Long Island City,11101,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
644,00A681PR,Family Support Center-Jackson Heights,Y,Arab-American Family Support Center,General Preventive,Queens,Alhusseini,Lena,7186438000,,,,37-10 30th Street,,Long Island City,11101,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
169,00A415PR,All Childrens House Preventive Svcs. - G.P. - Man.,Y,Association to Benefit Children,General Preventive,Manhattan,Horchak-Andino,Kathy,6464596099,6464596087,,Khorchak-andino@a-b-c.org,1841 Park Avenue,3rd Floor,New York,10035,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
167,00A017PR,Astor Family Services - General Preventive - Bronx,Y,Astor Home for Children,General Preventive,Bronx,Weber,Ronna,7182313400,7186553503,,,750 Tilden Street,,Bronx,10467,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
510,00A661PR,Astor Family Support Services-FT/R,Y,Astor Home for Children,Family Treatment and Rehabilitation,Bronx,Weber,Ronna,7182313400,7186553503,,,750 Tilden Street,,New York,10467,,,,,,,,,,,,,,
640,00A673PR,General Preventive,Y,BoysTown,General Preventive,Brooklyn,Madlangbayan,Elaine,3473818181,3473818185,,elaine.madlangbayan@boystown.org,1360 Fulton Street,"Bldg B,Siute #511",Kings,11216,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
318,00A409PR,Family Enrichment Program - G.P. - Bronx,Y,Bronx Works ,General Preventive,Bronx,Morgenstern,Jonathan,7185083160,7182931946,,jmorgenstern@bronxworks.org,1130 Grand Concourse,,Bronx,10456,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
513,00A649PR,Bedford Stuyvesant Family Center -FT/R,Y,Brooklyn Community Services,Family Treatment and Rehabilitation,Brooklyn,Querbach,Jodi,7186229400,,,,20 New York Avenue,2nd Floor,Kings County,11216,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
171,00A037PR,Bedford Stuyvesant Family Ctr.- Gen. Prev. - Bklyn,Y,Brooklyn Community Services,General Preventive,Brooklyn,Querbach,Jodi,7186229400,,,,20 New York Avenue,2nd Floor,Brooklyn,11216,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
172,00A222PR,East New York Family Center - G.P. - Bklyn,Y,Brooklyn Community Services,General Preventive,Brooklyn,Querbach,Jodi,7186229400,7189224959,,,400 Liberty Avenue,2nd Floor,Brooklyn,11216,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
313,00A374PR,East Harlem Family Treatment/Rehabilitation,Y,Cardinal McCloskey ,Family Treatment and Rehabilitation,Manhattan,Luburic,Nadia ,2129871806,2123480504,,,205 East 122nd Street,2nd Floor,New York,10035,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,1:00 PM,,
312,00A331PR,Family Treatment /Rehabilitation Program - Bronx,Y,Cardinal McCloskey ,Family Treatment and Rehabilitation,Bronx,Luburic,Nadia,7185420255,7185420354,,,953 Southern Blvd,Room 303,Bronx,10459,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,1:00 PM,,
600,00A635PR,Special Medical Prevention Program,Y,Cardinal McCloskey ,Medically Fragile,Bronx,Luburic,Nadia,7185420255,,,,953 Southern Blvd.,Room 303,Bronx,10459,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,1:00 PM,,
218,00A311PR,Brownsville Family Support Center,Y,Catholic Charities Neighborhood Services ,General Preventive,Brooklyn,Rosario,Esther,7183852043,7183852179,,,1165 Rockaway Avenue,,Brooklyn,11236,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,
634,00A668PR,East New York Family Support Center,Y,Catholic Charities Neighborhood Services ,General Preventive,Brooklyn,Rodriguez,Gladys,7183852043,,,,1165 Rockaway Avenue,,Kings,11236,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
633,00A651PR,Far Rockaway FT/R and Support Center,Y,Catholic Charities Neighborhood Services ,Family Treatment and Rehabilitation,Queens,Zelaya,Theresa,7185265151,,,tzelaya@ccbq.org,1329 Beach Channel Drive,,Far Rockaway,11691,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
