Chapter,Chapter Description,URL
1,Posting Regulations for Vendors of Alcoholic Beverages,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter1.pdf
4,"Health, Safety and Well-Being of Rental Horses",http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter4.pdf
5,Inhalation Therapy Service,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter5.pdf
6,Food Units,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter6.pdf
7,Adjudicatory Hearings,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter7.pdf
8,"Examination, Licensing and Procedure Relating to Motion Picture Theatre Matrons",http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter8.pdf
9,Raw Salt-Cured Air-Dried Fish,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter9.pdf
10,Smoking Under the New York City Clean Indoor Air Act,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter10.pdf
11,Conservation of Water,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter11.pdf
12,Window Guards,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter12.pdf
16,Criteria for Issuing Special Vehicle Identification Permits to Disabled Persons,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter16.pdf
17,Tripartite General Orders,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter17.pdf
18,Resuscitation Equipment in Public Places,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter18.pdf
19,Waiting List Rules for Full-Term and Temporary Mobile Food Unit Permits and Full-Term Mobile Food Unit Permits Designated Exclusively for Use in Special Boroughs,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter19.pdf
20,Preference and/or Waiting List Rule for Full-Term Mobile Food Unit Permits,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter20.pdf
21,Rules Describing Health Academy Training Courses and Prescribing Fees to be Charged by the Department to Defray the Costs Incurred in Administering These Courses,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter21.pdf
22,Tattooists and Applying Tattoos,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter22.pdf
23,Food Service Establishment Sanitary Inspection Procedure,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter23.pdf
24,Automated External Defibrillators in Certain Public Places,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter24.pdf
25,Service Of Final Orders In Assisted Outpatient Treatment,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter25.pdf
26,Establishment and Maintenance of Separate Borough Specific Waiting Lists for Those Seeking Fresh Fruits and Vegetables Permits,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter26.pdf
27,Food Allergy Information,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter27.pdf
28,Restriction on the Sale of Certain Flavored Tobacco Products,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter28.pdf
29,Animal Population Control Program,http://www.nyc.gov/html/doh/downloads/pdf/about/healthcode/health-code-chapter29.pdf
