NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,1,$425000.00,$425000.00,$425000.00,$425000.00
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        ,1,$575000.00,$575000.00,$575000.00,$575000.00
ARVERNE                  ,01 ONE FAMILY HOMES                        ,35,$150000.00,$295315.00,$273667.00,$705000.00
ARVERNE                  ,02 TWO FAMILY HOMES                        ,156,$210000.00,$513853.00,$542337.00,$967337.00
ARVERNE                  ,03 THREE FAMILY HOMES                      ,8,$286500.00,$422919.00,$444500.00,$525000.00
ASTORIA                  ,01 ONE FAMILY HOMES                        ,48,$262896.00,$641873.00,$582500.00,$999900.00
ASTORIA                  ,02 TWO FAMILY HOMES                        ,139,$232500.00,$761839.00,$735000.00,$3100000.00
ASTORIA                  ,03 THREE FAMILY HOMES                      ,57,$162000.00,$751511.00,$770000.00,$2133334.00
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,259,$165898.00,$637605.00,$625000.00,$1451000.00
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,94,$151112.00,$779426.00,$800000.00,$1425550.00
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,9,$640000.00,$915117.00,$825000.00,$1262056.00
BEECHHURST               ,01 ONE FAMILY HOMES                        ,35,$304200.00,$960628.00,$892540.00,$3309312.00
BEECHHURST               ,02 TWO FAMILY HOMES                        ,3,$400000.00,$519000.00,$557000.00,$600000.00
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,14,$566000.00,$777821.00,$748000.00,$995000.00
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,15,$539300.00,$714087.00,$700000.00,$1177000.00
BELLEROSE                ,01 ONE FAMILY HOMES                        ,103,$275000.00,$493426.00,$473000.00,$880000.00
BELLEROSE                ,02 TWO FAMILY HOMES                        ,24,$422000.00,$533426.00,$503000.00,$810000.00
