GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
0K,GEN ED,-,-,-,58325,2616,22.3
0K,CTT,-,-,-,9751,469,20.8
0K,G&T,-,-,-,1282,63,20.3
01,GEN ED,-,-,-,60917,2651,23
01,CTT,-,-,-,9276,416,22.3
01,G&T,-,-,-,1647,70,23.5
02,GEN ED,-,-,-,58163,2497,23.3
02,CTT,-,-,-,9833,432,22.8
02,G&T,-,-,-,1324,57,23.2
03,GEN ED,-,-,-,56094,2360,23.8
03,CTT,-,-,-,9386,399,23.5
03,G&T,-,-,-,1880,79,23.8
04,GEN ED,-,-,-,54352,2169,25.1
04,CTT,-,-,-,9863,403,24.5
04,G&T,-,-,-,1987,81,24.5
05,GEN ED,-,-,-,54755,2145,25.5
05,CTT,-,-,-,8665,349,24.8
05,G&T,-,-,-,1839,76,24.2
06,GEN ED,-,-,-,50814,1918,26.5
06,CTT,-,-,-,9859,399,24.7
06,G&T,-,-,-,3247,109,29.8
07,GEN ED,-,-,-,51941,1900,27.3
07,CTT,-,-,-,9689,377,25.7
07,G&T,-,-,-,3140,105,29.9
08,GEN ED,-,-,-,53553,1943,27.6
08,CTT,-,-,-,9156,354,25.9
08,G&T,-,-,-,3448,116,29.7
09,GEN ED,-,-,-,2019,89,22.7
09,G&T,-,-,-,111,4,27.8
0K-09,SPEC ED,-,-,12:1,11034,1082,10.2
0K-09,SPEC ED,-,-,12:1:1,24799,2496,9.9
0K-09,SPEC ED,-,-,15:1,16,2,8
0K-09,SPEC ED,-,-,6:1:1,25,5,5
0K-09,SPEC ED,-,-,8:1:1,56,7,8
MS Core,GEN ED,ENGLISH,MS English Core,-,164919,6207,26.6
MS Core,GEN ED,MATH,MS Math Core,-,140192,5235,26.8
MS Core,GEN ED,MATH,Integrated Algebra,-,11900,423,28.1
MS Core,GEN ED,MATH,Geometry,-,304,14,21.7
MS Core,GEN ED,MATH,Trigonometry,-,376,13,28.9
MS Core,GEN ED,MATH,Math A,-,2450,88,27.8
MS Core,GEN ED,MATH,Math B,-,17,1,17
MS Core,GEN ED,MATH,Other Math,-,100,4,25
MS Core,GEN ED,SCIENCE,MS Science Core,-,139385,5153,27
MS Core,GEN ED,SCIENCE,Earth Science,-,6626,228,29.1
MS Core,GEN ED,SCIENCE,Living Environment,-,9093,340,26.7
MS Core,GEN ED,SCIENCE,Chemistry,-,22,2,11
MS Core,GEN ED,SCIENCE,Physics,-,370,14,26.4
MS Core,GEN ED,SCIENCE,Other Science,-,4515,172,26.3
MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,143209,5286,27.1
MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,4680,166,28.2
MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,3492,138,25.3
MS Core,GEN ED,SOCIAL STUDIES,Economics,-,24,1,24
MS Core,GEN ED,SOCIAL STUDIES,Participation in Government,-,26,1,26
MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,4901,187,26.2
MS Core,CTT,ENGLISH,MS English Core,-,28668,1125,25.5
MS Core,CTT,MATH,MS Math Core,-,24583,957,25.7
MS Core,CTT,MATH,Integrated Algebra,-,443,18,24.6
MS Core,CTT,MATH,Trigonometry,-,20,1,20
MS Core,CTT,MATH,Math A,-,220,9,24.4
MS Core,CTT,MATH,Math B,-,33,1,33
MS Core,CTT,MATH,Other Math,-,55,2,27.5
MS Core,CTT,SCIENCE,MS Science Core,-,24526,947,25.9
MS Core,CTT,SCIENCE,Earth Science,-,250,10,25
MS Core,CTT,SCIENCE,Living Environment,-,851,33,25.8
MS Core,CTT,SCIENCE,Physics,-,59,2,29.5
MS Core,CTT,SCIENCE,Other Science,-,1193,48,24.9
MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,23560,913,25.8
MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,559,23,24.3
MS Core,CTT,SOCIAL STUDIES,US History & Government,-,459,19,24.2
MS Core,CTT,SOCIAL STUDIES,Economics,-,27,1,27
MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,847,34,24.9
MS Core,SPEC ED,ENGLISH,MS English Core,-,8909,834,10.7
MS Core,SPEC ED,MATH,MS Math Core,-,8129,767,10.6
MS Core,SPEC ED,MATH,Integrated Algebra,-,74,8,9.3
MS Core,SPEC ED,MATH,Geometry,-,11,1,11
MS Core,SPEC ED,MATH,Trigonometry,-,10,1,10
MS Core,SPEC ED,MATH,Math A,-,70,6,11.7
MS Core,SPEC ED,MATH,Math B,-,12,1,12
MS Core,SPEC ED,MATH,Other Math,-,40,4,10
MS Core,SPEC ED,SCIENCE,MS Science Core,-,7836,741,10.6
MS Core,SPEC ED,SCIENCE,Earth Science,-,72,7,10.3
MS Core,SPEC ED,SCIENCE,Living Environment,-,225,20,11.3
MS Core,SPEC ED,SCIENCE,Chemistry,-,10,1,10
MS Core,SPEC ED,SCIENCE,Other Science,-,248,22,11.3
MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,7920,751,10.5
MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,119,10,11.9
MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,178,17,10.5
MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,275,25,11
09-12,GEN ED,ENGLISH,English 9,-,61454,2402,25.6
09-12,GEN ED,ENGLISH,English 10,-,60168,2206,27.3
09-12,GEN ED,ENGLISH,English 11,-,59949,2234,26.8
09-12,GEN ED,ENGLISH,English 12,-,49220,1884,26.1
09-12,GEN ED,ENGLISH,MS English Core,-,10539,425,24.8
09-12,GEN ED,ENGLISH,Other English,-,55215,2278,24.2
09-12,GEN ED,MATH,Integrated Algebra,-,86597,3490,24.8
09-12,GEN ED,MATH,Geometry,-,67789,2481,27.3
09-12,GEN ED,MATH,Trigonometry,-,37542,1365,27.5
09-12,GEN ED,MATH,Math A,-,8212,330,24.9
09-12,GEN ED,MATH,Math B,-,1998,87,23
09-12,GEN ED,MATH,Other Math,-,25599,983,26
09-12,GEN ED,SCIENCE,Earth Science,-,71625,2592,27.6
09-12,GEN ED,SCIENCE,Living Environment,-,116351,4403,26.4
09-12,GEN ED,SCIENCE,Chemistry,-,62968,2274,27.7
09-12,GEN ED,SCIENCE,Physics,-,32138,1168,27.5
09-12,GEN ED,SCIENCE,Other Science,-,60092,2296,26.2
09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,136017,5045,27
09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,74433,2741,27.2
09-12,GEN ED,SOCIAL STUDIES,Economics,-,12578,478,26.3
09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,35569,1295,27.5
09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,27046,1068,25.3
09-12,CTT,ENGLISH,English 9,-,10478,419,25
09-12,CTT,ENGLISH,English 10,-,9845,366,26.9
09-12,CTT,ENGLISH,English 11,-,7678,285,26.9
09-12,CTT,ENGLISH,English 12,-,4608,177,26
09-12,CTT,ENGLISH,MS English Core,-,2077,82,25.3
09-12,CTT,ENGLISH,Other English,-,9428,386,24.4
09-12,CTT,MATH,Integrated Algebra,-,20389,800,25.5
09-12,CTT,MATH,Geometry,-,6459,243,26.6
09-12,CTT,MATH,Trigonometry,-,1729,67,25.8
09-12,CTT,MATH,Math A,-,1040,45,23.1
09-12,CTT,MATH,Math B,-,157,6,26.2
09-12,CTT,MATH,Other Math,-,776,33,23.5
09-12,CTT,SCIENCE,Earth Science,-,12311,440,28
09-12,CTT,SCIENCE,Living Environment,-,21990,821,26.8
09-12,CTT,SCIENCE,Chemistry,-,2879,110,26.2
09-12,CTT,SCIENCE,Physics,-,1514,56,27
09-12,CTT,SCIENCE,Other Science,-,10653,391,27.2
09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,23233,851,27.3
09-12,CTT,SOCIAL STUDIES,US History & Government,-,9775,366,26.7
09-12,CTT,SOCIAL STUDIES,Economics,-,857,30,28.6
09-12,CTT,SOCIAL STUDIES,Participation in Government,-,3683,134,27.5
09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,4289,161,26.6
09-12,SPEC ED,ENGLISH,English 9,-,2841,236,12
09-12,SPEC ED,ENGLISH,English 10,-,1901,156,12.2
09-12,SPEC ED,ENGLISH,English 11,-,1883,159,11.8
09-12,SPEC ED,ENGLISH,English 12,-,1189,106,11.2
09-12,SPEC ED,ENGLISH,MS English Core,-,1075,95,11.3
09-12,SPEC ED,ENGLISH,Other English,-,2053,177,11.6
09-12,SPEC ED,MATH,Integrated Algebra,-,4792,384,12.5
09-12,SPEC ED,MATH,Geometry,-,931,76,12.3
09-12,SPEC ED,MATH,Trigonometry,-,191,16,11.9
09-12,SPEC ED,MATH,Math A,-,166,13,12.8
09-12,SPEC ED,MATH,Math B,-,56,5,11.2
09-12,SPEC ED,MATH,Other Math,-,337,29,11.6
09-12,SPEC ED,SCIENCE,Earth Science,-,2093,161,13
09-12,SPEC ED,SCIENCE,Living Environment,-,4091,323,12.7
09-12,SPEC ED,SCIENCE,Chemistry,-,168,16,10.5
09-12,SPEC ED,SCIENCE,Physics,-,39,3,13
09-12,SPEC ED,SCIENCE,Other Science,-,2418,189,12.8
09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,5018,400,12.5
09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,2209,178,12.4
09-12,SPEC ED,SOCIAL STUDIES,Economics,-,77,6,12.8
09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,869,73,11.9
09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,503,40,12.6
