PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets
NA,M,M03,2,11 BC Serenity Garden,626 East 11th Street,0.054,DPR,East Village,Avenues B & C
NA,B,B08,36,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,0.207,PRI,Crown Heights,Nostrand & New York Avenues
M382,M,M11,9,110th Street Block Association,1651 Madison Avenue,0.043,DPR,East Harlem,Active
M331,M,M11,8,117th Street Community Garden,172 E 117th Street,0.080,DPR,East Harlem,Active
NA,M,M03,2,11th Street Community Garden,422 East 11th Street,0.054,TPL,East Village,1st Avenue & Avenue A
NA,X,X12,15,211th Street Block Association.,Carlisle Place,0.182,NYRP,,At E. 211th Street
NA,X,X06,15,2120 Mapes Avenue HDFC,2124 Mapes Avenue,0.151,TPL,,At E. 181st Street
B535,B,B05,42,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,0.091,DPR,East New York,Active
M313A,M,M03,1,5th Street Slope Garden Club,626-27 East 5th Street,0.031,DPR,East Village,Active
NA,B,B07,38,6/15 Green,274 15th Street,0.287,TPL,Park Slope,corner of 6th Avenue & 15th Street
NA,B,B07,0,64th Street Community Garden,64th Street,NA,DOT,Sunset Park,West of 4th Avenue
M313,M,M03,1,6BC Botanical Garden,624-628 E 6th Street,0.171,DPR,East Village,Active
M293,M,M03,2,6th Street & Avenue B Garden,78-92 Avenue B,0.315,DPR,East Village,Active
B438,B,B16,41,700 Decatur Street Block Association,700 Decatur Street,0.114,DPR,Bed-Stuy,Active
X351,X,X03,17,811 Family and Friends Association,809 Courtlandt Avenue,0.063,DPR,,Active
Q495,Q,Q03,21,97th Street Block Association,33-28 97th Street,0.177,DPR,Corona,Active
M312,M,M03,2,9th Street Community Garden & Park,703 East 9th Street,0.390,DPR,East Village,Active
B507,B,B03,41,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,0.044,DPR,Bed-Stuy,Active
X350,X,X03,16,A. Badillo Community Rose Garden,924 Melrose Avenue,0.064,DPR,Melrose,Active
NA,B,B04,37,Aberdeen Street II Garden Projects,Aberdeen Street,0.253,NYRP,,
B533,B,B16,,Abib Newborn,495 Osborn Street,0.249,DPR,East New York,Active
NA,X,X09,18,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,NA,DOE,,Lafayette & Stickball Avenue
NA,M,M03,2,Alberts Garden,16-18 East 2nd Street,0.070,TPL,East Village,Bowery & 2nd Avenue
B439,B,B03,34,All People's Church of the Apostolic Faith Community Garden,149 Tompkins Avenue,0.064,DPR,Bed-Stuy,Active
NA,M,M03,2,"All Peoples Garden, Inc.",293-295 East 3rd Street,0.099,TPL,East Village,Avenues C & D
B409,B,B06,39,Amazing Garden,261-265 Columbia Street,0.103,DPR,Red Hook,Active
B440,B,B16,41,Amboy St. Garden,199 Amboy Street,0.391,DPR,,Active
B441,B,B03,36,American Heart,122 Hart Street,0.050,DPR,Bed-Stuy,Active
X339,X,X03,16,Angie Lee-Gonzalez & Luis Gonzalez Garden,1768 Bryant Avenue,0.131,DPR,,Active
NA,X,X05,15,Anthony Avenue Garden,2078 Anthony Avenue,0.054,TPL,,E. 180th Street & Burnside Avenue
Q470,Q,X01,,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,DPR,,
B443,B,B05,37,Atkins Gardeners,213 Atkins Avenue,0.068,DPR,East New York,Active
NA,M,M03,1,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,0.051,DOE,Lower East Side,Stanton Street
M342,M,M03,2,Avenue B Community Garden Association,200 Avenue B,0.050,DPR,East Village,Active
Q486,Q,Q12,28,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,0.092,DPR,,Active
NA,Q,Q12,,Back To Eden,144-29 Lakewood Avenue,NA,TPL,,At Inwood St
B410,B,B06,39,Backyard Garden,61-73 Hamilton Avenue,0.225,DPR,Red Hook,Active
NA,X,X07,11,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,0.066,TPL,,E. 201st Street & Bedford Park Boulevard
NA,X,X06,,Bathgate Garden,1836 Bathgate Avenue,NA,NYRP,,"E 175th & E 176th, just North of Cross Bronx"
R137A,R,R03,3,Bayview Habitat,Bayview Terrace,.276,DPR,,
NA,Q,Q14,31,Beach Channel High School,100-00 Beach Channel Drive,NA,DOE,Far Rockaway,At Beach 100 Street
NA,B,B03,41,Bed-Stuy Community Garden (Lola Bryant Community Garden),93-95 Malcolm X Avenue,0.073,NYRP,Bed-Stuy,Greene & Lexington Avenues
NA,B,B03,,Bed-Stuy Farm,404 Decatur Street,NA,DPR/PRI,,Btwn Malcolm X & Patchen Avenue
NA,X,X06,15,Belmont Little Farmers,2483 Belmont Avenue,0.100,TPL,Belmont,E. 189th Street & E. Fordam Rd.
B444,B,B01,34,Berry Street Garden,301-303 Berry Street,0.137,DPR,Williamsburg,Active
NA,X,X04,,Bettes Rose Garden,Teller Avenue,NA,NYRP,,E 164th & E 165th
B446,B,B05,42,Big Red Garden,436 Van Siclen Avenue,0.043,DPR,East New York,Active
NA,X,X12,18,Bissel Gardens,in Bissel Street,0.080,MTA,,from Barnes to Baychester Avenues
NA,M,M11,,Black Veterans For Social Justice,22 East 119th Street,NA,HRA,East Harlem,5th & Madison Avenues
Q487,Q,Q12,28,Block Association #81,Inwood Street,0.115,DPR,Jamaica,Active
M333,M,M10,7,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,DPR,Hamilton Heights,Active
NA,B,B02,,Bridge Plaza Community Garden,Bridge St,NA,NYRP,,Corner of Bridge St & Concord St
NA,B,B02,,Bridge Plaza Court,Bridge Plaza Court,NA,DPR/DOT,,Concord St & Nassau St
M334,M,M03,2,Brisas Del Caribe,237 E 3rd Street,0.060,DPR,East Village,Active
X246,X,X01,,Brook Park,494 East 141st Street,NA,DPR,,Active
B421,B,B02,35,Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,0.140,DPR,Clinton Hill,Active
NA,B,B02,33,Brooklyn Bears/Pacific Street Garden,Flatbush Avenue,NA,TPL,Park Slope,Atlantic Avenue & Pacific Street
B422,B,B02,33,Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,0.082,DPR,Downtown Brooklyn,Active
NA,B,B02,35,Brooklyn's Finest Garden,48 Lefferts Place,0.057,DPR,,Street James Pl & Grand Avenue
X315,X,X02,17,Bryant Hill Community Garden,899-999 Bryant Avenue,0.340,DPR,Hunt's Point,Active
B447,B,B05,42,C.A.U.S.A. Festival Garden,790 Blake Avenue,0.168,DPR,East New York,Active
NA,X,X05,14,C.E.S. 109 - The Angelo Sanchez Inspirational Garden,1771 Popham Avenue,NA,DOE,,
NA,X,X04,16,C.E.S. 126 - Literacy Garden,175 W 166th Street,NA,DOE,,Ogden Avenue & MLK Jr. Boulevard
NA,X,X03,0,C.E.S. 55,450 St. Pauls Place,NA,DOE,Mt. Eden,Park & Washington Avenues
NA,X,X04,16,C.E.S. 73,1020 Anderson Avenue,NA,TPL/DOE,,E 164th & E. 165th Streets.
X340,X,X03,16,C.S. 134X - Community Improvement Garden,1313-1311 Bristow Street,0.161,DPR,Morrisania,Active
NA,M,M10,9,C.S. 154 - Our Children's Garden,250 W 127th Street,0.066,DOE,,Frederick Douglass & Adam Clayton Powell Boulevards
NA,M,M10,9,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,NA,DOE,,At Harlem River Drive
NA,X,X06,15,C.S. 57 - Garden of Hope,2111 Crotona Avenue,NA,DOE,,E. 180th & E. 181st Streets.
NA,X,X06,0,C.S. 6 - West Farms School Garden,1000 East Tremont Avenue,NA,DOE,Tremont,Vyse & Bryant Avenues
NA,X,X03,15,C.S. 61 - The  Francisco Oller School,1550 Crotona  Park East,0.055,DOE,,At Charlotte Street
NA,Q,Q13,27,Cambria Heights Civic Association,227th Street,0.207,TPL,Cambria Heights,At Linden Boulevard
M359,M,M03,2,CAMPOS,640-644 East 12th Street,0.119,DPR,East Village,Active
M388,M,M11,9,Carolina Garden / formerly 116th Street Block Association,122nd Street,0.063,DPR,East Harlem,Active
