Facility Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Number of Spaces,Location 1
Parking Garage,363056,"THOMPSON, ALFREDO",GARFIELD SERVICE GARAGE,GARFIELD PLACE,187A-201 GARFIELD PLACE,,11215,7187889851,40,"187A 201 GARFIELD PLACE
BROOKLYN, NY 11215
(40.665557251366124, -73.97968153557434)"
Parking Lot,363308,"FIORE, GEORGE M",,31 AVENUE,44-16 31 AVENUE,,11103,7187264017,50,"44 16 31 AVENUE
L I CITY, NY 11103
(40.76286893025696, -73.91327185810974)"
Parking Lot,363400,"NAEGELE, DOROTHY",D NAEGELE,SENECA AVENUE,457-59 SENECA AVENUE,,11385,8137336894,25,"457 59 SENECA AVENUE
RIDGEWOOD, NY 11385
(40.70122489161548, -73.88334858436963)"
Parking Lot,363464,"ANTHONY'S PARKING LOT, LLC",,UNION AVENUE,307-11 UNION AVENUE,,11211,7188486579,25,"307 11 UNION AVENUE
BROOKLYN, NY 11211
(40.711589765255496, -73.95817675075642)"
Parking Garage,363695,"BETHON, JOHN",J BETHON GARAGE,DIAMOND STREET,46 DIAMOND STREET,,11222,7183832508,5,"46 DIAMOND STREET
BROOKLYN, NY 11222
(40.724369880482115, -73.94612061167136)"
Parking Lot,363732,ST JOSEPH'S COLLEGE N Y,,VANDERBILT AVENUE,210 VANDERBILT AVENUE,210-218 VANDERBILT AVE,11205,7186366820,75,"210 VANDERBILT AVENUE
BKLYN, NY 11205
(40.69110093274342, -73.96946772885231)"
Parking Garage,363740,841 GARAGE ASSOCIATES LIMITED PARTERSHIP,,UNION STREET,841-845 UNION STREET,,11215,7186388888,165,"841 845 UNION STREET
BROOKLYN, NY 11215
(40.665557251366124, -73.97968153557434)"
Parking Garage,363809,EXPERT TRANSIT CORP,OPERA GARAGE,HALSEY STREET,524 HALSEY STREET,540 HALSEY STREET,11233,7185744900,200,"524 HALSEY STREET
BROOKLYN, NY 11233
(40.68366871310675, -73.93339947620336)"
Parking Garage,363881,D M K GARAGE INC,,WAVERLY AVENUE,118 WAVERLY AVENUE,136,11205,7186246867,85,"118 WAVERLY AVENUE
BROOKLYN, NY 11205
(40.6941565023436, -73.96807185317047)"
Parking Garage,363961,44 STATE STREET CORP,,STATE STREET,38 STATE STREET,44 ST,11201,2128661000,90,"38 STATE STREET
BROOKLYN, NY 11201
(40.692063308957145, -73.99836233925282)"
Parking Garage,364407,HOMESTEAD EQUITIES INC,,PACIFIC STREET,341 PACIFIC STREET,,11217,9178462923,25,"341 PACIFIC STREET
BROOKLYN, NY 11217
(40.68702657564607, -73.98705378852914)"
Parking Lot,364804,"BOYCE-EL, IRVINE",,HALSEY STREET,670 HALSEY STREET,74,11233,7185748627,15,"670 HALSEY STREET
BROOKLYN, NY 11233
(40.68438847417989, -73.92715985173831)"
Parking Lot,365110,COMMERCIAL HOTEL INC,,SPRINGFIELD BOULEVARD,96-36 SPRINGFIELD BOULEVARD,,11429,7184686400,75,"96 36 SPRINGFIELD BOULEVARD
QUEENS VILLAGE, NY 11429
(40.70991312049415, -73.73864031609764)"
Parking Lot,365142,"POULOS, THEODORE",TEDDY'S PARKING SYSTEMS,BOND STREET,71-77 BOND STREET,,11217,7187457466,40,"71 77 BOND STREET
BKLYN, NY 11217
(40.68231210132245, -73.97956718857483)"
Parking Lot,365547,QUEENSBORO PARKING CORP,,BARNETT AVENUE,50-25 BARNETT AVENUE,,11104,7184783222,300,"50 25 BARNETT AVENUE
SUNNYSIDE, NY 11104
(40.74489336663561, -73.92054134530679)"
Parking Lot,365559,"BARDOUILLE, LILLIE",M & V PARKING,PITKIN AVENUE,2702 2716 PITKIN AVENUE,,11208,7188277662,90,"2702 2716 PITKIN AVENUE
BROOKLYN, NY 11208
(40.67401318266229, -73.87206493005243)"
Parking Lot,365621,ST JOSEPH'S COLLEGE NEW YORK,,VANDERBILT AVENUE,222 VANDERBILT AVENUE,226,11205,7186366820,45,"222 VANDERBILT AVENUE
BROOKLYN, NY 11205
(40.69073651458275, -73.96939603973945)"
Parking Garage,365792,CARMEL GARAGE INC,,YELLOWSTONE BOULEVARD,68-61 YELLOWSTONE BOULEVARD,,11375,2127511080,80,"68 61 YELLOWSTONE BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Lot,365949,EVERYBODY'S PLACE   L I C INC,,QUEENS BOULEVARD,32-32 QUEENS BOULEVARD,,11101,7187299798,50,"32 32 QUEENS BOULEVARD
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Lot,366200,"ATTARA, PATRICIA &  ATTARA, THERESA",,PACIFIC STREET,165 PACIFIC STREET,-167 PACIFIC ST,11201,7188753312,30,"165 PACIFIC STREET
BROOKLYN, NY 11201
(40.689453592452836, -73.99409468524269)"
Parking Lot,366315,"VOMVOLAKIS, ANGELA",,PACIFIC STREET,287 PACIFIC STREET,289,11201,7188336404,20,"287 PACIFIC STREET
BROOKLYN, NY 11201
(40.68783411450889, -73.98911606558731)"
Parking Lot,366601,"TRACHTMAN, WILLIAM",,INDIA STREET,152 INDIA STREET,,11222,7184499472,20,"152 INDIA STREET
BROOKLYN, NY 11222
(40.73236868520694, -73.95389811876164)"
Parking Lot,366728,STANLEY MAURER & LAURIE MAURER,176-8 COURT PARKING ASSOC,COURT STREET,176-178 COURT STREET,,11201,7186245226,16,"176 178 COURT STREET
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)"
Parking Lot,366735,"FOURTEENTH INVESTING, CORP",,DEGRAW STREET,449 DEGRAW STREET,449-53 DEGRAW STREET,11217,5704613983,24,"449 DEGRAW STREET
BROOKLYN, NY 11217
(40.68151354067212, -73.98939319478934)"
Parking Lot,366862,"TROMINO JR, JOHN",J&L PARKING,PACIFIC STREET,319 PACIFIC STREET,323 PACIFIC AVE,11201,9089570585,50,"319 PACIFIC STREET
BKLYN, NY 11201
(40.68736492073486, -73.98791162071217)"
Parking Garage,367147,"WOLF, RAYMOND ET AL",25-27 BEEKMAN ST    ASSOCIATES,BEEKMAN STREET,25 BEEKMAN STREET,,10038,2128661000,149,"25 BEEKMAN STREET
NEW YORK, NY 10038
(40.710815986920856, -74.00608072310474)"
Parking Garage,367195,NEW YORK PARKING 51ST STREET CORP,,EAST   51 STREET,251 EAST   51 STREET,,10022,2122473344,54,"251 51 STREET
NEW YORK, NY 10022
(40.755987611450855, -73.96914124378138)"
Parking Garage,367230,PROBE PARKING LLC,,EAST   46 STREET,300-302 EAST   46 STREET,,10017,2126869800,36,"300 302 EAST 46 STREET
NEW YORK, NY 10017
(40.75245652744684, -73.97297648087982)"
Parking Garage,367274,SUTTON PLACE GARAGE CORP,,SUTTON PLACE,35 SUTTON PLACE,,10022,2129562280,38,"35 SUTTON PLACE
NEW YORK, NY 10022
(40.75844601755347, -73.95989042300118)"
Parking Garage,367318,ALMAR GARAGE INC,,PARK AVENUE,700 PARK AVENUE,,10021,2127511080,51,"700 PARK AVENUE
NEW YORK, NY 10021
(40.76939975987034, -73.96519642297403)"
Parking Lot,367420,"SETTINERI, ALFRED",,61 STREET,1421 61 STREET,23,11219,7188516442,25,"1421 61 STREET
BKLYN, NY 11219
(40.62659556838732, -73.99634159113322)"
Parking Garage,367503,RAINBOW PARKING CORP,,EAST   71 STREET,300 EAST   71 STREET,,10021,2122493344,57,"300 71 STREET
NEW YORK, NY 10021
(40.76805110603209, -73.95879439174116)"
Parking Garage,367518,MANHATTAN PARKING SYSTEM W 58TH ST CORP,,EAST   67 STREET,200 EAST   67 STREET,,10021,2122493344,106,"200 67 STREET
NEW YORK, NY 10021
(40.63874635186466, -74.02756700598034)"
Parking Garage,367606,SUPPORT PARKING LLC.,,EAST   52 STREET,350 EAST   52 STREET,AKA 344-352 EAST 52 STREET,10022,2126869800,80,"350 52 STREET
NEW YORK, NY 10022
(40.75560596691341, -73.96640629091259)"
Parking Garage,367613,THE BERGER'S PARKING CORPORATION,196 GARAGE,EAST   75 STREET,196 EAST   75 STREET,,10021,2125358291,27,"196 75 STREET
NEW YORK, NY 10021
(40.77169805559608, -73.95925948967252)"
Parking Garage,367614,KINNEY SYSTEMS INC,OIL MARKET GARAGE,11 AVENUE,575 11 AVENUE,,10036,2128894444,300,"575 11 AVENUE
NEW YORK, NY 10036
(40.76168358024816, -73.99772750296306)"
Parking Lot,367661,JAY B REALTY CORP,,WEST   52 STREET,354 WEST   52 STREET,,10019,2122658189,18,"354 52 STREET
NEW YORK, NY 10019
(40.76417053118826, -73.98676789267377)"
